Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Anoopgarh,12/08/2017,0.9,Other,3725,4000,3862,
,16/08/2017,0.1,Other,3700,3700,3700,
,18/08/2017,0.3,Other,3100,3100,3100,
,21/08/2017,0.1,Other,4011,4011,4011,
,22/08/2017,0.6,Other,3900,4250,4075,
,24/08/2017,0.1,Other,3900,3900,3900,
,28/08/2017,0.1,Other,4150,4150,4150,
,29/08/2017,0.1,Other,3915,3915,3915,
Balotra,01/08/2017,0.07,Other,3900,4000,3950,
,02/08/2017,12.01,Other,3800,3900,3850,
,04/08/2017,11.04,Other,4000,4100,4050,
,05/08/2017,4.08,Other,4000,4100,4050,
,10/08/2017,27.04,Other,4000,4100,4050,
,11/08/2017,13.04,Other,3900,4000,3950,
,14/08/2017,17.09,Other,4300,4400,4350,
,29/08/2017,49,Other,4300,4400,4350,
,30/08/2017,16.03,Other,4500,4600,4550,
,31/08/2017,2,Other,4500,4700,4600,
Baran,01/08/2017,4.3,Other,4746,4746,4746,
,02/08/2017,4.2,Other,3150,3400,3400,
,03/08/2017,5.1,Other,3599,3599,3599,
,04/08/2017,4.3,Other,2700,3775,3200,
,05/08/2017,0.2,Other,3500,3500,3500,
,11/08/2017,3.4,Other,3125,3500,3315,
,12/08/2017,2,Other,2800,4000,3100,
,18/08/2017,2.6,Other,3655,3850,3850,
Barmer,03/08/2017,3.5,Other,3900,3950,3925,
,04/08/2017,0.5,Other,3950,4050,4000,
,05/08/2017,5,Other,3950,4050,4000,
,07/08/2017,4.3,Other,4100,4300,4200,
,08/08/2017,0.3,Other,4200,4400,4300,
,10/08/2017,15.7,Other,4250,4350,4300,
,12/08/2017,0.8,Other,4350,4450,4400,
,14/08/2017,0.3,Other,4450,4550,4500,
,16/08/2017,3,Other,4350,4450,4400,
,17/08/2017,3.5,Other,4400,4450,4425,
,18/08/2017,3.6,Other,4350,4450,4400,
,31/08/2017,1,Other,4200,4400,4300,
Beawar,08/08/2017,0.3,Other,3500,4000,3750,
,14/08/2017,0.9,Other,3500,4100,3800,
,18/08/2017,0.7,Other,3500,4000,3750,
,19/08/2017,2.3,Other,3800,4100,3950,
,24/08/2017,0.8,Other,4000,4400,4200,
,25/08/2017,0.3,Other,4500,4800,4650,
,29/08/2017,0.3,Other,4300,4650,4475,
,30/08/2017,0.5,Other,4300,4700,4500,
Bhadara,12/08/2017,0.1,Other,3205,3205,3205,
Bhilwara,08/08/2017,1,Other,3500,4000,3750,
,17/08/2017,0.5,Other,4200,4600,4400,
,19/08/2017,0.8,Other,4200,4600,4400,
Bhinmal,31/08/2017,10.5,Other,4200,4800,4600,
Bijay Nagar,02/08/2017,0.6,Other,3425,3636,3600,
,03/08/2017,0.7,Other,3405,3700,3600,
,08/08/2017,0.2,Other,3971,3971,3971,
,12/08/2017,0.3,Other,4055,4055,4055,
,16/08/2017,0.5,Other,3753,3753,3753,
,17/08/2017,0.8,Other,3232,4125,4000,
,19/08/2017,0.4,Other,3811,3910,3860,
,21/08/2017,0.4,Other,3380,3912,3800,
,24/08/2017,0.2,Other,4044,4500,4300,
,28/08/2017,1.5,Other,3441,5051,4500,
,29/08/2017,0.5,Other,4225,4870,4700,
,30/08/2017,0.7,Other,3200,4463,4200,
,31/08/2017,0.8,Other,3435,5001,4600,
Bikaner (Grain),01/08/2017,0.3,Other,3401,3501,3451,
,02/08/2017,1.9,Other,3201,3851,3526,
,03/08/2017,3.4,Other,3500,3900,3700,
,04/08/2017,1.8,Other,3301,3725,3513,
,10/08/2017,31.3,Other,3525,4161,3843,
,12/08/2017,3.3,Other,3901,4411,4156,
,14/08/2017,3.6,Other,4001,4470,4235,
,16/08/2017,1,Other,4001,4001,4001,
,18/08/2017,0.7,Other,4262,4262,4262,
,22/08/2017,8,Other,4051,4222,4136,
,23/08/2017,0.5,Other,4701,4701,4701,
,24/08/2017,0.7,Other,4455,4455,4455,
,26/08/2017,0.5,Other,4351,4351,4351,
,29/08/2017,1.5,Other,4391,4391,4391,
Bundi,01/08/2017,0.9,Other,3900,4001,3951,
,03/08/2017,0.4,Other,3500,3795,3648,
,04/08/2017,0.2,Other,3672,4020,3846,
,12/08/2017,0.1,Other,4401,4401,4401,
,14/08/2017,0.3,Other,4070,4070,4070,
,17/08/2017,0.3,Other,3951,4256,4104,
,18/08/2017,0.4,Other,3830,3830,3830,
,22/08/2017,0.7,Other,3801,4446,4124,
,23/08/2017,0.8,Other,4400,4761,4581,
,24/08/2017,1,Other,4300,4450,4375,
,26/08/2017,0.1,Other,4650,4650,4650,
,28/08/2017,1.4,Other,4155,4732,4443,
,29/08/2017,0.1,Other,4680,4680,4680,
,30/08/2017,0.3,Other,4472,4572,4522,
,31/08/2017,0.2,Other,3850,3850,3850,
Chaksu,02/08/2017,0.5,Other,2900,2900,2900,
,05/08/2017,0.3,Other,3000,3000,3000,
,09/08/2017,15,Other,3600,3900,3800,
,16/08/2017,1.1,Other,3901,4121,4000,
,17/08/2017,0.5,Other,4115,4115,4115,
,19/08/2017,1.5,Other,4120,4200,4150,
,21/08/2017,0.1,Other,3511,3511,3511,
,22/08/2017,0.9,Other,3475,3500,3485,
,23/08/2017,5.6,Other,3200,3200,3200,
,26/08/2017,0.5,Other,4000,4000,4000,
,28/08/2017,3.2,Other,4462,4462,4462,
,29/08/2017,3,Other,3770,3770,3770,
,30/08/2017,3.6,Other,3950,4376,4350,
Deedwana,22/08/2017,5.6,Other,4400,4500,4450,
,23/08/2017,2,Other,4300,4700,4500,
,26/08/2017,4,Other,4450,4570,4550,
,29/08/2017,7,Other,4700,4900,4800,
,31/08/2017,3.3,Other,4300,4500,4400,
Degana,01/08/2017,2.7,Local,3600,3850,3700,
,03/08/2017,2.6,Local,3600,3700,3650,
,04/08/2017,1.5,Local,3700,3971,3800,
,05/08/2017,3.1,Local,2500,3700,3500,
,09/08/2017,0.2,Local,4300,4300,4300,
,10/08/2017,1.2,Local,3800,3800,3800,
,11/08/2017,3.2,Local,4000,4177,4100,
,12/08/2017,1,Local,4350,4500,4400,
,14/08/2017,4.7,Local,4200,4450,4250,
,16/08/2017,1.8,Local,3900,4300,4100,
,17/08/2017,3.3,Local,3550,4100,3560,
,18/08/2017,7.4,Local,3871,4341,4000,
,19/08/2017,9.5,Local,4000,4200,4100,
,22/08/2017,4.4,Local,4300,4500,4400,
,23/08/2017,7.8,Local,4150,4700,4500,
,24/08/2017,2,Local,4000,4000,4000,
,25/08/2017,3.3,Local,4290,4671,4550,
,26/08/2017,8.1,Local,4300,4725,4476,
,28/08/2017,3.4,Local,4200,4600,4550,
,30/08/2017,2.9,Local,4000,4000,4000,
,31/08/2017,4,Local,4000,4565,4400,
Deoli,04/08/2017,0.9,Other,3000,3400,3200,
,16/08/2017,0.9,Other,4127,4500,4314,
,17/08/2017,0.1,Other,4150,4150,4150,
,26/08/2017,0.6,Other,4350,4350,4350,
,30/08/2017,0.6,Other,4200,4400,4300,
Gajsinghpur,01/08/2017,0.2,Other,3200,3200,3200,
,02/08/2017,0.05,Other,3300,3300,3300,
,04/08/2017,0.2,Other,3101,3200,3200,
,05/08/2017,0.1,Other,3126,3126,3126,
,10/08/2017,0.1,Other,3400,3450,3450,
,14/08/2017,0.2,Other,3815,3815,3815,
,16/08/2017,0.05,Other,3790,3790,3790,
,30/08/2017,0.1,Other,3400,3400,3400,
Gharsana,02/08/2017,0.1,Other,3500,3500,3500,
,03/08/2017,6.5,Other,3501,4051,4000,
,04/08/2017,0.5,Other,3801,3801,3801,
,08/08/2017,6,Other,3221,3500,3350,
,09/08/2017,0.5,Other,3650,4131,4000,
,10/08/2017,1.4,Other,3546,4171,3950,
,11/08/2017,2.8,Other,3000,4270,3950,
,14/08/2017,2.5,Other,3350,4596,4500,
,16/08/2017,2.3,Other,3450,4400,4275,
,17/08/2017,1.5,Other,4041,4501,4350,
,21/08/2017,5,Other,4043,4618,4550,
