Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Anoopgarh,02/01/2017,2.9,Other,3400,4291,3896,
,03/01/2017,3.8,Other,3850,4111,3980,
,04/01/2017,4.3,Other,3850,4200,4025,
,05/01/2017,9.6,Other,3850,4291,4065,
,06/01/2017,2.5,Other,3725,4360,4043,
,07/01/2017,1,Other,4100,4525,4313,
,09/01/2017,3.2,Other,3780,4400,4090,
,10/01/2017,2.3,Other,3700,4275,3988,
,11/01/2017,3.8,Other,3750,4280,4015,
,12/01/2017,1.6,Other,3871,4151,4011,
,13/01/2017,3.3,Other,3100,4050,3575,
,14/01/2017,1.5,Other,3160,4250,3705,
,16/01/2017,1,Other,3500,4100,3800,
,17/01/2017,1.4,Other,3800,4400,4100,
,19/01/2017,1.4,Other,3800,4365,4082,
,20/01/2017,2.2,Other,3000,4400,3700,
,21/01/2017,1.1,Other,3912,4400,4156,
,23/01/2017,2.4,Other,3200,4380,3790,
,24/01/2017,2.8,Other,3200,4271,3736,
,25/01/2017,1.2,Other,4250,4300,4275,
,27/01/2017,0.5,Other,4270,4270,4270,
,28/01/2017,2.4,Other,3125,4400,3825,
,30/01/2017,2.5,Other,3880,4349,4015,
,31/01/2017,3.7,Other,3000,4490,3745,
Atru,17/01/2017,0.5,Other,3570,3750,3570,
Balotra,02/01/2017,104.02,Other,4100,4800,4200,
,03/01/2017,70.08,Other,4100,4200,4150,
,04/01/2017,22.09,Other,4000,4100,4050,
,05/01/2017,21.06, ,NR,NR,NR,
,06/01/2017,76.04,Other,4100,4200,4150,
,07/01/2017,21.06,Other,4000,4100,4050,
,09/01/2017,61.8,Other,4100,4200,4150,
,10/01/2017,22.06,Other,4000,4100,4050,
,11/01/2017,36.08,Other,4100,4200,4150,
,12/01/2017,28.07,Other,4000,4100,4050,
,13/01/2017,40.03,Other,4100,4200,4150,
,14/01/2017,1.55,Other,4000,4150,4050,
,16/01/2017,56,Other,4100,4200,4150,
,17/01/2017,144, ,NR,NR,NR,
,18/01/2017,75.08, ,NR,NR,NR,
,19/01/2017,28.05,Other,4100,4200,4150,
,20/01/2017,56.05,Other,4000,4100,4050,
,23/01/2017,82.02,Other,4100,4150,4130,
,24/01/2017,34.06,Other,4200,4300,4250,
,25/01/2017,73.06,Other,4000,4050,4005,
,26/01/2017,2.04, ,NR,NR,NR,
,27/01/2017,4,Other,3900,4000,3950,
,28/01/2017,52.09,Other,3900,4000,3950,
,30/01/2017,86.01,Other,4100,4200,4150,
,31/01/2017,28.01,Other,4100,4200,4150,
Baran,18/01/2017,0.1,Other,4050,4050,4050,
,28/01/2017,0.4,Other,2701,3777,3351,
Barmer,02/01/2017,7.3,Other,4200,4400,4300,
,03/01/2017,6.2,Other,4300,4400,4350,
,04/01/2017,13.1,Other,4375,4400,4385,
,05/01/2017,11.2,Other,4200,4400,4300,
,06/01/2017,17.6,Other,4200,4300,4250,
,07/01/2017,4.3,Other,4200,4300,4250,
,09/01/2017,6.9,Other,4200,4250,4225,
,10/01/2017,3.8,Other,4100,4200,4150,
,13/01/2017,0.2,Other,4150,4200,4175,
,14/01/2017,2.1,Other,4100,4300,4200,
,16/01/2017,4.4,Other,4300,4325,4315,
,17/01/2017,4.2,Other,4200,4400,4300,
,18/01/2017,14.2,Other,4200,4400,4300,
,19/01/2017,6.9,Other,4200,4400,4300,
,20/01/2017,14.6,Other,4200,4300,4250,
,21/01/2017,5,Other,4200,4400,4300,
,23/01/2017,9.1,Other,4200,4400,4300,
,24/01/2017,5.1,Other,4200,4400,4300,
,25/01/2017,16.1,Other,4150,4200,4175,
,27/01/2017,15.3,Other,4100,4150,4125,
,28/01/2017,6.1,Other,4100,4150,4125,
,30/01/2017,8.9,Other,4100,4200,4150,
,31/01/2017,10.5,Other,4100,4250,4175,
Beawar,01/01/2017,35.2,Other,4100,4600,4350,
,02/01/2017,15.4,Other,4100,4600,4350,
,03/01/2017,24,Other,4100,4600,4350,
,04/01/2017,37.4,Other,4100,4600,4350,
,05/01/2017,25.1,Other,4100,4600,4350,
,06/01/2017,28.1,Other,4100,4600,4350,
,09/01/2017,76.6,Other,4100,4500,4300,
,10/01/2017,37,Other,4100,4500,4300,
,11/01/2017,33.6,Other,4100,4400,4250,
,12/01/2017,24.7,Other,4100,4300,4200,
,13/01/2017,17.2,Other,4000,4300,4150,
,14/01/2017,19,Other,4000,4200,4100,
,15/01/2017,10.3,Other,4000,4200,4100,
,16/01/2017,2.6,Other,4000,4200,4100,
,17/01/2017,28.5,Other,4000,4200,4100,
,18/01/2017,23.4,Other,4000,4350,4150,
,19/01/2017,23.8,Other,3800,4300,4050,
,20/01/2017,7.4,Other,4000,4300,4150,
,23/01/2017,25.7,Other,4000,4300,4150,
,24/01/2017,33.8,Other,4000,4375,4175,
,27/01/2017,28.1,Other,4000,4300,4150,
,28/01/2017,10.3,Other,4000,4300,4150,
,29/01/2017,16.2,Other,4000,4300,4150,
,30/01/2017,8,Other,4000,4300,4150,
,31/01/2017,15,Other,4250,4300,4275,
Bhadara,02/01/2017,1,Other,3790,4050,3920,
,03/01/2017,2.5,Other,3500,3910,3705,
,04/01/2017,0.2,Other,3896,3896,3896,
,05/01/2017,0.8,Other,3587,3982,3784,
,06/01/2017,2.3,Other,3662,3901,3782,
,07/01/2017,2.1,Other,3590,4130,3860,
