Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Anoopgarh,01/02/2019,1.9,Other,5286,5291,5289,
,02/02/2019,2.5,Other,5300,5300,5300,
,09/02/2019,8.1,Other,3981,4001,3991,
,11/02/2019,2.4,Other,5280,5320,5300,
,12/02/2019,1.2,Other,5272,5294,5283,
,14/02/2019,3.5,Other,5231,5268,5250,
,15/02/2019,2.9,Other,5100,5200,5151,
,16/02/2019,0.1,Other,4801,4801,4801,
,18/02/2019,2.1,Other,5220,5241,5231,
,19/02/2019,2,Other,5197,5197,5197,
,22/02/2019,5.5,Other,5225,5225,5225,
,23/02/2019,1.9,Other,5180,5180,5180,
,25/02/2019,1.9,Other,5051,5100,5076,
Atru,20/02/2019,0.5,Other,3800,3800,3800,
Balotra,01/02/2019,1.05,Other,5300,5400,5350,
,02/02/2019,1.02,Other,5300,5400,5350,
,04/02/2019,2,Other,5300,5400,5350,
,11/02/2019,0.05,Other,5300,5400,5350,
,12/02/2019,0.05,Other,5300,5400,5350,
,28/02/2019,7,Other,5300,5400,5350,
Barmer,04/02/2019,0.2,Other,5100,5300,5200,
,05/02/2019,0.1,Other,5200,5300,5250,
,07/02/2019,1.1,Other,5200,5300,5250,
,08/02/2019,1,Other,5200,5300,5250,
,15/02/2019,1,Other,5200,5300,5250,
,18/02/2019,0.4,Other,5200,5300,5250,
,19/02/2019,0.4,Other,5200,5300,5250,
,20/02/2019,3,Other,5200,5300,5250,
,23/02/2019,3.2,Other,5200,5300,5250,
,27/02/2019,0.2,Other,5100,5200,5150,
,28/02/2019,1.5,Other,5175,5200,5185,
Beawar,06/02/2019,1.2,Other,3500,4800,4150,
,26/02/2019,2.1,Other,4500,5300,4950,
,28/02/2019,0.7,Other,4500,5300,4900,
Bhadara,06/02/2019,1,Other,5200,5270,5235,
,13/02/2019,4,Other,4500,4500,4500,
Bhinmal,11/02/2019,1,Other,5661,5661,5661,
,13/02/2019,0.1,Other,5775,5775,5775,
Bijay Nagar,02/02/2019,1.5,Other,2635,4100,3900,
,04/02/2019,1.2,Other,1500,4300,4100,
,05/02/2019,0.2,Other,3300,3300,3300,
