Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Anoopgarh,09/05/2019,0.8,Other,5525,5525,5525,
,10/05/2019,1,Other,5311,5721,5516,
,11/05/2019,0.1,Other,5150,5150,5150,
,18/05/2019,0.5,Other,5500,5500,5500,
,21/05/2019,0.2,Other,5600,5600,5600,
,22/05/2019,0.1,Other,5200,5200,5200,
,24/05/2019,0.1,Other,5500,5500,5500,
,29/05/2019,0.9,Other,5601,5700,5651,
Baran,23/05/2019,1,Other,5000,5000,5000,
,30/05/2019,1.4,Other,5300,5351,5300,
Barmer,02/05/2019,2.6,Other,5750,5850,5800,
,16/05/2019,0.7,Other,5950,6050,6000,
,21/05/2019,0.7,Other,6050,6150,6100,
,27/05/2019,4.9,Other,5750,5850,5800,
,28/05/2019,5,Other,5750,5850,5800,
,30/05/2019,2.5,Other,5750,5850,5800,
Beawar,30/05/2019,1,Other,5500,5600,5550,
Bikaner (Grain),08/05/2019,2.9,Other,5725,5881,5803,
,13/05/2019,0.2,Other,5841,5841,5841,
,14/05/2019,8.9,Other,4500,4700,4600,
,15/05/2019,0.7,Other,5801,5801,5801,
,16/05/2019,0.2,Other,5801,5801,5801,
,20/05/2019,5,Other,6152,6381,6267,
,22/05/2019,1,Other,5201,5201,5201,
,25/05/2019,1.1,Other,6111,6111,6111,
,27/05/2019,1.5,Other,5602,5602,5602,
,31/05/2019,0.3,Other,6201,6201,6201,
Bilara,02/05/2019,0.8,Other,5100,5850,5475,
,09/05/2019,2,Other,5100,5800,5450,
Chaksu,01/05/2019,1.8,Other,3500,3500,3500,
,04/05/2019,1,Other,3500,3500,3500,
,08/05/2019,1.7,Other,3500,3800,3750,
,10/05/2019,1.1,Other,3580,3580,3580,
,17/05/2019,3.1,Other,5310,5310,5310,
,20/05/2019,2,Other,3500,3500,3500,
,21/05/2019,0.3,Other,3600,3600,3600,
,23/05/2019,1,Other,2800,3200,3100,
,25/05/2019,2.5,Other,3300,4000,3500,
,28/05/2019,2.7,Other,3200,3400,3300,
,29/05/2019,2,Other,2700,2700,2700,
,30/05/2019,1.5,Other,3300,3300,3300,
Deedwana,20/05/2019,20,Other,5700,5900,5800,
,21/05/2019,25,Other,5800,5900,5850,
,22/05/2019,5, ,NR,NR,NR,
Degana,01/05/2019,11.9,Local,5650,5900,5850,
,02/05/2019,1.4,Local,5450,5850,5650,
,03/05/2019,4.2,Local,5500,5800,5700,
,11/05/2019,3.5,Local,5800,5800,5800,
,15/05/2019,1.5,Local,6100,6100,6100,
,16/05/2019,1,Local,6300,6300,6300,
,18/05/2019,1.7,Local,6100,6100,6100,
,20/05/2019,3.3,Local,5971,6300,6100,
,21/05/2019,7.7,Local,5800,6200,6000,
,22/05/2019,5.7,Local,6100,6300,6200,
,24/05/2019,8.1,Local,6000,6000,6000,
,25/05/2019,6.3,Local,5800,6200,6000,
,27/05/2019,0.8,Local,6000,6000,6000,
,28/05/2019,2,Local,5640,5640,5640,
Deoli,27/05/2019,0.1,Other,4875,5900,5388,
Gajsinghpur,14/05/2019,0.1,Other,5501,5501,5501,
,18/05/2019,0.3,Other,5525,5525,5525,
Gharsana,02/05/2019,0.1,Other,5401,5401,5401,
,07/05/2019,0.2,Other,5100,5100,5100,
,10/05/2019,0.2,Other,5271,5271,5271,
,14/05/2019,2.5,Other,5786,5816,5800,
,16/05/2019,0.2,Other,5200,5200,5200,
,17/05/2019,1,Other,5896,5896,5896,
,20/05/2019,0.1,Other,5031,5031,5031,
,21/05/2019,0.5,Other,5160,5351,5300,
,22/05/2019,0.9,Other,5891,5896,5893,
,23/05/2019,0.1,Other,5401,5401,5401,
,27/05/2019,0.5,Other,5800,5800,5800,
,28/05/2019,1.1,Other,5400,5871,5731,
Hanumangarh Town,22/05/2019,0.3,Other,5500,5500,5500,
Jaitaran,20/05/2019,4,Other,6500,6500,6500,
Jaitsar,28/05/2019,1,Other,5150,5150,5150,
Jodhpur (Grain)(Mandor),01/05/2019,10.8,Other,5200,5900,5600,
,02/05/2019,6.2,Other,5600,5860,5730,
,03/05/2019,1.6,Other,5100,6000,5700,
,04/05/2019,6.1,Other,5500,5900,5800,
,06/05/2019,0.4,Other,5400,5900,5800,
,07/05/2019,3,Other,5500,5900,5750,
,09/05/2019,3.8,Other,5500,6000,5850,
,10/05/2019,1.3,Other,5400,5960,5700,
,11/05/2019,2.3,Other,5650,5950,5800,
,13/05/2019,4.7,Other,5000,6000,5700,
,14/05/2019,3.2,Other,5800,6150,5975,
,16/05/2019,0.7,Other,5700,6200,6000,
,17/05/2019,2.6,Other,5700,6200,6000,
,18/05/2019,0.1,Other,5950,6100,6050,
,20/05/2019,0.5,Other,5800,6200,6100,
,21/05/2019,3.7,Other,5900,6100,6000,
,22/05/2019,0.4,Other,5900,6200,6100,
,23/05/2019,5.5,Other,5850,6150,6050,
,24/05/2019,1.9,Other,5700,6300,6200,
,26/05/2019,1.5,Other,5800,6200,6100,
,27/05/2019,1,Other,5800,6200,6100,
,28/05/2019,2.3,Other,5100,6500,6200,
,29/05/2019,3.9,Other,5800,6280,6100,
,30/05/2019,2.2, ,NR,NR,NR,
