Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Jagtial,14/07/2016,0.1,Hybrid,7300,7300,7300,
,29/07/2016,0.1,Local,6000,6000,6000,
Karimnagar,30/07/2016,0.2,Local,5250,5250,5250,
Khammam,01/07/2016,0.3,Local,5452,5452,5452,
,05/07/2016,0.1,Local,5240,5240,5240,
,11/07/2016,0.1,Local,5200,5200,5200,
,12/07/2016,0.2,Local,5061,5061,5061,
,13/07/2016,0.1,Local,5148,5148,5148,
,14/07/2016,0.6,Local,5100,5100,5100,
,15/07/2016,506.1,Local,5061,5061,5061,
,18/07/2016,0.1,Local,4900,4900,4900,
,19/07/2016,0.6,Local,5024,5024,5024,
,20/07/2016,0.8,Local,5050,5050,5050,
,21/07/2016,0.6,Local,5026,5026,5026,
,22/07/2016,0.1,Local,5000,5000,5000,
,25/07/2016,0.7,Local,4800,4800,4800,
,26/07/2016,0.6,Local,4700,4700,4700,
,27/07/2016,1,Local,4700,4700,4700,
,28/07/2016,0.7,Local,4400,4400,4400,
,29/07/2016,0.3,Local,4525,4525,4525,
,30/07/2016,0.2,Local,4550,4550,4550,
Narayanpet,18/07/2016,0.3,Local,4850,5051,4950,
,20/07/2016,0.5,Local,5100,5111,5105,
,22/07/2016,0.1,Local,4888,4968,4928,
,23/07/2016,0.1,Local,4818,4818,4818,
,25/07/2016,1.3,Local,5081,5081,5081,
,26/07/2016,1,Local,4505,5121,4813,
,27/07/2016,0.8,Local,4481,5136,4808,
,28/07/2016,0.5,Local,4868,5150,5009,
,29/07/2016,1.7,Local,4680,5168,4924,
,30/07/2016,0.8,Local,4660,5158,4909,
Suryapeta,01/07/2016,0.9,Local,4009,5059,4909,
,02/07/2016,0.1,Local,4259,4259,4259,
,05/07/2016,4.6,Local,3689,5059,4347,
,09/07/2016,2.2,Local,3289,5033,3489,
,11/07/2016,2.9,Local,3233,5150,4176,
,12/07/2016,1.9,Local,3309,4421,4321,
,13/07/2016,5.9,Local,2609,5116,4063,
,15/07/2016,1.7,Local,3489,4339,4339,
,16/07/2016,0.3,Local,3696,4601,4400,
,18/07/2016,4.8,Local,3019,4893,4389,
,19/07/2016,0.8,Local,3009,4893,3759,
Tirumalagiri,18/07/2016,0.4,Bold,4416,4416,4416,
Warangal,05/07/2016,0.2,Local,5390,5390,5390,
,11/07/2016,0.4,Local,5000,5100,5100,
,12/07/2016,0.3,Local,5110,5110,5110,
,13/07/2016,0.3,Local,5160,5160,5160,
,14/07/2016,0.2,Local,5300,5300,5300,
,18/07/2016,0.3,Local,5190,5190,5190,
,20/07/2016,0.2,Local,4525,4525,4525,
,21/07/2016,0.3,Local,4750,4750,4750,
,22/07/2016,0.3,Local,4710,4710,4710,
,27/07/2016,0.3,Local,4000,4000,4000,
