Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Choppadandi,14/06/2016,0.1,Hybrid,5910,5910,5910,
Karimnagar,06/06/2016,0.1,Local,6800,7110,7110,
,08/06/2016,0.1,Local,5590,5690,5690,
,16/06/2016,0.1,Local,6200,6690,6690,
,22/06/2016,0.2,Local,6320,6320,6320,
,28/06/2016,0.2,Local,6000,6800,6000,
Kesamudram,17/06/2016,0.9,Local,5000,5590,5200,
,22/06/2016,0.3,Local,5400,5400,5400,
,23/06/2016,0.8,Local,5250,5900,5250,
,24/06/2016,0.1,Local,5100,5100,5100,
Khammam,08/06/2016,0.6,Local,5650,5650,5650,
,09/06/2016,0.1,Local,5650,5650,5650,
,10/06/2016,0.1,Local,5700,5700,5700,
,14/06/2016,0.1,Local,5700,5700,5700,
,15/06/2016,0.1,Local,5650,5650,5650,
,16/06/2016,0.1,Local,5700,5700,5700,
,17/06/2016,0.2,Local,5600,5600,5600,
,22/06/2016,0.2,Local,5411,5411,5411,
,23/06/2016,0.3,Local,5500,5500,5500,
,24/06/2016,0.2,Local,5500,5500,5500,
,28/06/2016,0.2,Local,5400,5400,5400,
,30/06/2016,0.1,Local,5481,5481,5481,
Narayanpet,01/06/2016,0.2,Local,5300,5300,5300,
,03/06/2016,0.5,Local,4329,5412,5150,
,04/06/2016,0.5,Local,4729,4729,4729,
,10/06/2016,0.4,Local,4860,5275,5067,
,21/06/2016,0.1,Local,5270,5270,5270,
,22/06/2016,0.7,Local,5269,5269,5269,
,28/06/2016,0.1,Local,5343,5343,5343,
,30/06/2016,0.1,Local,5309,5309,5309,
Nizamabad,10/06/2016,0.1,Hybrid,4721,4721,4721,
Siddipet,14/06/2016,0.1,Local,5701,5701,5701,
Suryapeta,01/06/2016,0.1,Local,6029,6029,6029,
,03/06/2016,0.1,Local,3949,3949,3949,
,06/06/2016,0.5,Local,3859,5454,4519,
,07/06/2016,0.6,Local,4619,4789,4739,
,08/06/2016,0.1,Local,3889,3889,3889,
,09/06/2016,0.7,Local,3919,4859,4459,
,10/06/2016,0.8,Local,4119,6105,5389,
,11/06/2016,0.3,Local,5363,5729,5729,
,13/06/2016,0.5,Local,4089,5209,5209,
,14/06/2016,1.7,Local,5069,5293,5089,
,15/06/2016,0.5,Local,5029,5209,5209,
,16/06/2016,1.2,Local,4021,5169,5169,
,17/06/2016,2.2,Local,4189,5211,4619,
,18/06/2016,0.4,Local,4959,5119,5119,
,20/06/2016,1.5,Local,4519,5389,5350,
,21/06/2016,3.6,Local,3359,5589,3359,
,22/06/2016,4.1,Local,2890,5594,4709,
,23/06/2016,3.4,Local,4589,5659,5659,
,24/06/2016,0.1,Local,4809,4809,4809,
,25/06/2016,1.1,Local,4489,5469,5350,
,27/06/2016,2.1,Local,4119,5653,4696,
,28/06/2016,0.6,Local,5189,5293,5219,
,29/06/2016,0.1,Local,4989,4989,4989,
,30/06/2016,2.7,Local,4249,5173,4619,
Warangal,03/06/2016,0.3,Local,6400,6400,6400,
,08/06/2016,0.3,Local,5575,5575,5575,
,09/06/2016,0.2,Local,5790,5790,5790,
,14/06/2016,0.2,Local,4950,4950,4950,
,15/06/2016,0.2,Local,5590,5590,5590,
,16/06/2016,0.2,Local,7011,7011,7011,
,17/06/2016,0.1,Local,6511,6511,6511,
,20/06/2016,0.2,Local,6400,6400,6400,
,22/06/2016,0.2,Local,6170,6170,6170,
,23/06/2016,0.2,Local,5330,5330,5330,
,27/06/2016,0.2,Local,6400,6400,6400,
,30/06/2016,0.1,Local,6021,6021,6021,
