Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Khammam,05/08/2019,1.1,Local,5600,6000,6000,
,06/08/2019,3.6,Local,2600,6000,5850,
,08/08/2019,1.8,Local,5500,6020,6020,
,09/08/2019,0.7,Local,5890,5990,5990,
,13/08/2019,0.1,Local,5500,5500,5500,
,14/08/2019,1.6, ,NR,NR,NR,
,16/08/2019,4.5,Local,4600,6011,6011,
,17/08/2019,1.1,Local,5950,5950,5950,
,19/08/2019,1.1,Local,5750,6050,6050,
,20/08/2019,2.1,Local,5400,6025,6025,
,21/08/2019,0.5,Local,5750,5950,5950,
,22/08/2019,3, ,NR,NR,NR,
,26/08/2019,1.1,Local,5500,6200,5975,
,27/08/2019,0.7,Local,5800,6075,5800,
,29/08/2019,2.4,Local,4000,5850,5850,
,31/08/2019,0.7,Local,5775,5775,5775,
Narayanpet,07/08/2019,0.15,Local (Whole),6603,6603,6603,
,08/08/2019,0.1,Local (Whole),4890,4890,4890,
,13/08/2019,2.4,Local (Whole),3812,6011,3812,
,14/08/2019,9.3,Local (Whole),3806,6055,3855,
,16/08/2019,15.6,Local (Whole),3000,6112,3909,
,17/08/2019,17.8,Local (Whole),2401,6209,4532,
,19/08/2019,36,Local (Whole),3629,6555,5760,
,20/08/2019,25.2,Local (Whole),3305,6705,6676,
,21/08/2019,40.6,Local (Whole),3966,6752,6626,
,22/08/2019,28.7,Local (Whole),4205,6880,6826,
,23/08/2019,25.3,Local (Whole),3659,6919,5809,
,24/08/2019,18.2,Local (Whole),2805,6929,5819,
,27/08/2019,36.7, ,NR,NR,NR,
,28/08/2019,60.4,Local (Whole),3605,6255,5980,
,29/08/2019,38.8,Local (Whole),4650,6269,6176,
,31/08/2019,27.5,Local (Whole),4960,6275,6128,
Suryapeta,06/08/2019,0.1,Local,3813,3813,3813,
,08/08/2019,0.1,Local,3882,3882,3882,
,09/08/2019,0.2,Local,2859,4552,2859,
,10/08/2019,0.2,Local,4194,4932,4716,
,12/08/2019,0.1,Local,3649,3649,3649,
,19/08/2019,1.6,Local,2889,5373,4293,
,21/08/2019,0.1,Local,4039,4039,4039,
,23/08/2019,0.2,Local,4914,5373,4914,
,27/08/2019,1.1,Local,3429,5355,5355,
,28/08/2019,0.4,Local,5421,5589,5421,
,29/08/2019,3.3,Local,3529,6159,5609,
,31/08/2019,4.8,Local,3596,6711,5289,
Tanduru,16/08/2019,0.7,Ankola,5211,5211,5211,
,17/08/2019,1.5,Ankola,5058,5355,5301,
,19/08/2019,14.9,Ankola,5031,5958,5457,
,20/08/2019,23.1,Ankola,5004,5869,5715,
,22/08/2019,27.8,Ankola,4500,6017,5841,
,23/08/2019,21.4,Ankola,5058,6003,5580,
,26/08/2019,58.9,Ankola,4005,5917,5787,
,27/08/2019,45.2,Ankola,5058,5922,5617,
,28/08/2019,53.5,Ankola,4050,5777,5427,
,29/08/2019,53.5,Ankola,4817,5777,5538,
,31/08/2019,69.3,Ankola,4401,6001,5355,
Tirumalagiri,21/08/2019,0.4,Local,4041,5121,4851,
,26/08/2019,0.4,Local,5706,5706,5706,
,27/08/2019,0.6,Local,5508,5508,5508,
,28/08/2019,1.8,Local,3016,5759,5629,
,29/08/2019,13.6,Local,3426,5869,5629,
,31/08/2019,27.2,Local,3469,5789,5489,
Warangal,05/08/2019,8,Local,2896,6112,5895,
,08/08/2019,2,Local,6310,6310,6310,
,10/08/2019,2,Local,6156,6156,6156,
,13/08/2019,1,Local,5575,5575,5575,
,16/08/2019,1,Local,5555,5555,5555,
,19/08/2019,12,Local,6300,6300,6300,
,20/08/2019,3,Local,3055,6212,5235,
,23/08/2019,3,Local,5633,5816,5816,
,26/08/2019,5,Local,6389,6453,6452,
,28/08/2019,2,Local,5902,5902,5902,
,29/08/2019,5,Local,6135,6155,6155,
,31/08/2019,21,Local,5465,5729,5502,
Zaheerabad,26/08/2019,5,Local,6009,6309,6009,
