Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Jangaon,04/12/2019,4,Local,3619,5519,3619,
,11/12/2019,3,Local,6055,6055,6055,
,27/12/2019,0.6,Local,4251,4251,4251,
Khammam,03/12/2019,2.5,Local,4200,5400,5400,
,04/12/2019,0.72,Local,1800,6000,5900,
,09/12/2019,2.5,Local,5400,6216,6150,
,10/12/2019,2.7,Local,6000,6275,6275,
,11/12/2019,2.4,Local,2800,6200,6000,
,13/12/2019,2.4,Local,6100,6100,6100,
,16/12/2019,1.7,Local,5200,6100,5200,
,17/12/2019,0.4,Local,6100,6100,6100,
,18/12/2019,0.8,Local,5900,5900,5900,
,19/12/2019,0.4,Local,5850,6250,6000,
,20/12/2019,2.1,Local,5500,6350,6350,
,23/12/2019,0.4,Local,6611,6711,6611,
,27/12/2019,2.6,Local,5750,6700,6500,
,30/12/2019,1.6,Local,6300,7011,6300,
,31/12/2019,1.8,Local,6550,7054,6550,
Suryapeta,02/12/2019,1.1,Local,2349,5873,5592,
,05/12/2019,0.6, ,NR,NR,NR,
,07/12/2019,0.5,Local,5319,5742,5319,
,09/12/2019,2.5,Local,3339,5861,5626,
,10/12/2019,1,Local,5022,5913,5913,
,11/12/2019,1.4,Local,2691,6075,5961,
,12/12/2019,1.7,Local,1706,6143,4856,
,13/12/2019,1.2,Local,2862,6272,5463,
,14/12/2019,0.5,Local,4761,5972,5972,
,16/12/2019,2.2,Local,2486,6143,5506,
,17/12/2019,1.1,Local,5256,6186,6155,
,18/12/2019,1.4,Local,4046,6156,4622,
,19/12/2019,0.4,Local,5350,6156,6156,
,20/12/2019,1.6,Local,3591,6246,5511,
,23/12/2019,2.6,Local,1665,6246,6246,
,27/12/2019,1.7,Local,2376,6419,6419,
,28/12/2019,1.7,Local,5806,6606,5956,
,30/12/2019,1.2,Local,4046,6773,4046,
,31/12/2019,2.6,Local,4694,6944,6944,
Warangal,05/12/2019,0.5,Local,4822,5515,5515,
,06/12/2019,0.1,Local,6003,6003,6003,
,07/12/2019,0.5,Local,5402,5525,5525,
,09/12/2019,0.1,Local,5002,5002,5002,
,11/12/2019,0.6,Local,3522,6122,6022,
,17/12/2019,0.9,Local,4022,6129,5822,
,19/12/2019,0.4,Local,6435,6435,6435,
,20/12/2019,0.1,Local,6250,6250,6250,
,24/12/2019,0.1,Local,6006,6006,6006,
,28/12/2019,0.5,Local,6309,6309,6309,
,30/12/2019,0.6,Local,6622,6653,6653,
,31/12/2019,2.5,Local,6452,6852,6666,
Zaheerabad,02/12/2019,5.5,Local,5454,6303,6303,
,03/12/2019,5.5,Local,5454,6303,6303,
,04/12/2019,1.5,Local,5450,5500,5500,
,06/12/2019,4,Local,5950,5950,5950,
,07/12/2019,10.5,Local,5656,6203,5885,
,09/12/2019,2,Local,5800,6002,6000,
,11/12/2019,0.5,Local,5426,5426,5426,
,13/12/2019,0.5,Local,5800,5800,5800,
,14/12/2019,1,Local,5818,5818,5818,
,16/12/2019,5.5,Local,5426,5860,5860,
,19/12/2019,3,Local,5756,6010,5858,
,20/12/2019,1,Local,5850,5850,5850,
,21/12/2019,13.5,Local,5600,6226,5900,
,24/12/2019,1.5,Local,6100,6100,6100,
,30/12/2019,0.5,Local,6652,6652,6652,
