Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Athani,03/04/2016,10,Jowar ( White),2500,2500,2500,
,10/04/2016,11,Jowar ( White),2400,2400,2400,
,18/04/2016,9,Jowar ( White),2000,2000,2000,
,21/04/2016,1,Jowar ( White),2500,2500,2500,
,23/04/2016,10,Jowar ( White),2500,2500,2500,
,28/04/2016,8,Jowar ( White),2500,2500,2500,
,30/04/2016,8,Jowar ( White),2500,2500,2500,
Badami,04/04/2016,4,Jowar Hybrid,1000,1300,1200,
,11/04/2016,5,Jowar Hybrid,1000,1300,1200,
,18/04/2016,4,Jowar Hybrid,1000,1300,1200,
,25/04/2016,3,Jowar Hybrid,1000,1300,1200,
Bagalakot,02/04/2016,6,Jowar ( White),2050,2050,2050,
,13/04/2016,1,Jowar Hybrid,1011,1011,1011,
,18/04/2016,13,Jowar ( White),1901,2150,2079,
Bangalore,01/04/2016,3,Jowar ( White),2200,2400,2300,
,02/04/2016,9,Jowar ( White),2200,2400,2300,
,04/04/2016,28,Jowar ( White),2200,2400,2300,
,05/04/2016,12,Jowar ( White),2200,2400,2300,
,06/04/2016,30,Jowar ( White),2200,2400,2300,
,07/04/2016,16,Jowar ( White),2200,2400,2300,
,11/04/2016,9,Jowar ( White),2200,2400,2300,
,12/04/2016,6,Jowar ( White),2200,2400,2300,
,13/04/2016,21,Jowar ( White),2200,2400,2300,
,15/04/2016,53,Jowar ( White),2200,2400,2300,
,18/04/2016,3,Jowar ( White),2200,2400,2300,
,21/04/2016,10,Jowar ( White),2200,2400,2300,
,22/04/2016,6,Jowar ( White),2200,2400,2300,
,25/04/2016,22,Jowar ( White),2200,2400,2300,
,26/04/2016,16,Jowar ( White),2200,2400,2300,
,28/04/2016,23,Jowar ( White),2200,2400,2300,
,29/04/2016,14,Jowar ( White),2200,2400,2300,
,30/04/2016,13,Jowar ( White),2200,2400,2300,
Basava Kalayana,04/04/2016,18,Hybrid,1260,1300,1280,
,,,Jowar ( White),1900,2351,2100,
,,,Jowar (Yellow),1600,1850,1700,
,05/04/2016,8,Hybrid,1250,1300,1275,
,,,Jowar ( White),1900,2100,2000,
,,,Jowar (Yellow),1600,1700,1650,
,06/04/2016,12,Hybrid,1260,1285,1270,
,,,Jowar ( White),2000,2000,2000,
,,,Jowar (Yellow),1550,1750,1600,
,09/04/2016,9,Hybrid,1250,1285,1275,
,,,Jowar (Yellow),1500,1801,1650,
,11/04/2016,8,Hybrid,1250,1281,1271,
,,,Jowar ( White),2000,2000,2000,
,,,Jowar (Yellow),1600,1850,1700,
,27/04/2016,6,Hybrid,1260,1300,1285,
,,,Jowar (Yellow),1600,1600,1600,
Belgaum,01/04/2016,2,Jowar ( White),1800,2800,2600,
,02/04/2016,1,Jowar ( White),1700,2700,2500,
,03/04/2016,2,Jowar ( White),1700,2700,2500,
,04/04/2016,15,Jowar ( White),1700,2700,2500,
,06/04/2016,2,Jowar ( White),1800,2600,2400,
,07/04/2016,1,Jowar ( White),1800,2600,2400,
,09/04/2016,14,Jowar ( White),1900,2700,2500,
,10/04/2016,2,Jowar ( White),1900,2700,2500,
,13/04/2016,1,Jowar ( White),1800,2600,2400,
,15/04/2016,1,Jowar ( White),1800,2600,2400,
,16/04/2016,1,Jowar ( White),1900,3000,2600,
,17/04/2016,1,Jowar ( White),1900,3000,2600,
,18/04/2016,1,Jowar ( White),1900,3000,2600,
,20/04/2016,1,Jowar ( White),1900,2800,2400,
,21/04/2016,1,Jowar ( White),1900,2800,2400,
,22/04/2016,10,Jowar ( White),1900,2800,2400,
,23/04/2016,1,Jowar ( White),1800,2700,2500,
,24/04/2016,1,Jowar ( White),1800,2700,2500,
,25/04/2016,1,Jowar ( White),1800,2700,2500,
,27/04/2016,1,Jowar ( White),1700,2600,2400,
,28/04/2016,1,Jowar ( White),1700,2600,2400,
,29/04/2016,2,Jowar ( White),1700,2600,2400,
,30/04/2016,3,Jowar ( White),1800,2700,2500,
Bellary,01/04/2016,10,Jowar ( White),1169,1875,1378,
,02/04/2016,7,Local,786,1900,1391,
,04/04/2016,17,Jowar Hybrid,1099,2019,1378,
,05/04/2016,16,Jowar ( White),980,2167,1397,
,06/04/2016,9,Jowar ( White),1206,1701,1407,
,11/04/2016,19,Jowar Hybrid,601,1986,1391,
,12/04/2016,14,Jowar ( White),1126,1970,1446,
,13/04/2016,11,Jowar ( White),1089,1992,1437,
,15/04/2016,9,Jowar Hybrid,1011,1719,1450,
,16/04/2016,6,Jowar ( White),1005,2017,1424,
,18/04/2016,14,Jowar ( White),1006,1950,1438,
,21/04/2016,6,Jowar ( White),1307,1678,1427,
,22/04/2016,8,Jowar Hybrid,1312,1416,1375,
,23/04/2016,2,Jowar ( White),1242,1632,1403,
,25/04/2016,12,Jowar ( White),1029,1863,1459,
,26/04/2016,9,Jowar ( White),1022,1947,1493,
,27/04/2016,3,Jowar ( White),1414,1862,1510,
,28/04/2016,4,Jowar ( White),1343,1951,1491,
,29/04/2016,3,Jowar ( White),1426,1643,1463,
,30/04/2016,4,Jowar ( White),1404,1887,1496,
Bidar,01/04/2016,15,Jowar ( White),2900,3200,3000,
,02/04/2016,15,Jowar ( White),2900,3200,3000,
,04/04/2016,13,Jowar ( White),2900,3200,3000,
,05/04/2016,16,Jowar ( White),2900,3200,3000,
,06/04/2016,13,Jowar ( White),2900,3200,3000,
,11/04/2016,16,Jowar ( White),2900,3200,3000,
,12/04/2016,15,Jowar ( White),2900,3200,3000,
,13/04/2016,15,Jowar ( White),2900,3200,3000,
,16/04/2016,15,Jowar ( White),2900,3200,3000,
,18/04/2016,25,Jowar ( White),2900,3200,3000,
,21/04/2016,15,Jowar ( White),2900,3200,3000,
,23/04/2016,16,Jowar ( White),2900,3300,3000,
,25/04/2016,16,Jowar ( White),2900,3300,3000,
,26/04/2016,17,Jowar ( White),2900,3300,3000,
,27/04/2016,16,Jowar ( White),2900,3300,3100,
,28/04/2016,12,Jowar ( White),2900,3200,3000,
,29/04/2016,11,Jowar ( White),2900,3300,3100,
,30/04/2016,12,Jowar ( White),2950,3350,3100,
Bijapur,02/04/2016,2,Jowar ( White),2500,2800,2600,
,04/04/2016,4,Jowar ( White),2500,2800,2600,
,05/04/2016,1,Jowar ( White),2500,2800,2600,
,06/04/2016,1,Jowar ( White),2500,2800,2600,
,12/04/2016,1,Jowar ( White),2400,2800,2600,
,22/04/2016,1,Jowar ( White),2600,2800,2700,
,23/04/2016,11,Jowar ( White),2600,2800,2700,
Chittapur,11/04/2016,4,Local,2000,3010,2800,
,13/04/2016,1,Local,2900,3200,2900,
,18/04/2016,1,Jowar ( White),3005,3005,3005,
,20/04/2016,2,Jowar ( White),2200,2910,2900,
,25/04/2016,1,Jowar ( White),2740,2800,2740,
Davangere,29/04/2016,5,Jowar Hybrid,1900,2000,1950,
Dharwar,02/04/2016,1,Jowar ( White),2111,2111,2111,
,04/04/2016,3,Jowar ( White),2000,2000,2000,
,12/04/2016,3,Hybrid,1900,1900,1900,
Gadag,01/04/2016,21,Jowar ( White),1031,2025,1605,
,02/04/2016,48,Jowar ( White),921,2189,1600,
,04/04/2016,26,Jowar ( White),1015,2429,1692,
,05/04/2016,22,Jowar ( White),1035,2109,1773,
,06/04/2016,37,Jowar ( White),1034,2009,1591,
,09/04/2016,31,Jowar ( White),1023,2463,1739,
,11/04/2016,28,Jowar ( White),1011,2015,1699,
,12/04/2016,17,Jowar ( White),1161,2026,1661,
,13/04/2016,34,Jowar ( White),1011,2451,1839,
,15/04/2016,34,Jowar ( White),1124,2439,1741,
,16/04/2016,36,Jowar ( White),1023,2623,1777,
,18/04/2016,21,Jowar ( White),1011,2323,1743,
,22/04/2016,1,Jowar ( White),1481,1712,1639,
,23/04/2016,37,Jowar ( White),1132,2563,1703,
,25/04/2016,14,Jowar ( White),1011,1969,1667,
