Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Athani,03/08/2016,7,Jowar ( White),2000,2500,2100,
,11/08/2016,8,Jowar ( White),3000,3000,3000,
,14/08/2016,1,Jowar ( White),2000,2000,2000,
,20/08/2016,8,Jowar ( White),2500,2500,2500,
,27/08/2016,29,Jowar ( White),2500,2500,2500,
,,,Jowar Hybrid,1700,1700,1700,
,28/08/2016,1,Jowar ( White),2000,2500,2200,
,31/08/2016,9,Jowar ( White),2500,2500,2500,
Badami,01/08/2016,3,Jowar Hybrid,1000,1300,1200,
,08/08/2016,2,Jowar Hybrid,1000,1300,1200,
,16/08/2016,2,Jowar Hybrid,1000,1300,1200,
,22/08/2016,3,Jowar Hybrid,1000,1300,1200,
,30/08/2016,3,Jowar Hybrid,1000,1300,1200,
Bagalakot,25/08/2016,9,Jowar ( White),1600,1850,1689,
Bangalore,01/08/2016,31,Jowar ( White),2250,2500,2375,
,02/08/2016,14,Jowar ( White),2250,2500,2375,
,03/08/2016,35,Jowar ( White),2250,2500,2375,
,04/08/2016,18,Jowar ( White),2250,2500,2375,
,05/08/2016,39,Jowar ( White),2250,2500,2375,
,08/08/2016,11,Jowar ( White),2250,2500,2375,
,09/08/2016,13,Jowar ( White),2250,2500,2375,
,10/08/2016,16,Jowar ( White),2250,2500,2375,
,11/08/2016,20,Jowar ( White),2250,2500,2375,
,16/08/2016,41,Jowar ( White),2250,2500,2375,
,17/08/2016,14,Jowar ( White),2250,2500,2375,
,18/08/2016,8,Jowar ( White),2250,2500,2375,
,19/08/2016,6,Jowar ( White),2250,2500,2375,
,20/08/2016,7,Jowar ( White),2250,2500,2375,
,22/08/2016,3,Jowar ( White),2250,2500,2375,
,23/08/2016,5,Jowar ( White),2250,2500,2375,
,24/08/2016,18,Jowar ( White),2250,2500,2375,
,25/08/2016,1,Jowar ( White),2250,2500,2375,
,26/08/2016,7,Jowar ( White),2250,2500,2375,
,27/08/2016,3,Jowar ( White),2250,2500,2375,
,29/08/2016,25,Jowar ( White),2250,2500,2375,
Basava Kalayana,01/08/2016,11,Hybrid,1550,1580,1575,
,,,Jowar ( White),2221,2900,2221,
,,,Jowar (Yellow),1575,1650,1575,
,03/08/2016,5,Hybrid,1550,1571,1561,
,,,Jowar (Yellow),1450,1600,1550,
,04/08/2016,6,Hybrid,1540,1580,1565,
,,,Jowar ( White),1700,2100,1700,
,,,Jowar (Yellow),1500,1551,1500,
,05/08/2016,15,Hybrid,1530,1600,1561,
,,,Jowar ( White),1850,2000,1990,
,,,Jowar (Yellow),1500,1771,1650,
,06/08/2016,7,Hybrid,1520,1550,1530,
,,,Jowar ( White),1900,2500,1900,
,,,Jowar (Yellow),1550,1700,1550,
,09/08/2016,7,Hybrid,1500,1535,1525,
,,,Jowar ( White),2051,2300,2200,
,,,Jowar (Yellow),1500,1551,1500,
,10/08/2016,6,Hybrid,1450,1550,1500,
,,,Jowar ( White),1781,2300,1781,
,,,Jowar (Yellow),1500,1500,1500,
,11/08/2016,9,Hybrid,1481,1570,1550,
,,,Jowar ( White),2201,2201,2201,
,,,Jowar (Yellow),1536,1575,1540,
,12/08/2016,9,Hybrid,1511,1550,1545,
,,,Jowar ( White),2181,2181,2181,
,,,Jowar (Yellow),1500,1725,1500,
,13/08/2016,13,Hybrid,1515,1582,1541,
,,,Jowar (Yellow),1480,1600,1551,
,16/08/2016,10,Hybrid,1500,1551,1541,
,,,Jowar ( White),1900,2041,1900,
,,,Jowar (Yellow),1500,1501,1500,
,17/08/2016,7,Hybrid,1530,1550,1540,
,,,Jowar (Yellow),1500,1641,1550,
,19/08/2016,10,Hybrid,1520,1550,1535,
,,,Jowar (Yellow),1500,1530,1500,
,20/08/2016,5,Hybrid,1520,1550,1531,
,,,Jowar (Yellow),1450,1550,1450,
,23/08/2016,10,Hybrid,1450,1550,1531,
,,,Jowar ( White),2101,2101,2101,
,,,Jowar (Yellow),1400,1540,1500,
,24/08/2016,9,Hybrid,1500,1560,1550,
,,,Jowar ( White),1900,2100,1900,
,,,Jowar (Yellow),1400,1500,1400,
,25/08/2016,6,Hybrid,1525,1601,1550,
,,,Jowar ( White),1900,1900,1900,
,,,Jowar (Yellow),1300,1550,1500,
,26/08/2016,6,Hybrid,1450,1550,1500,
,,,Jowar (Yellow),1400,1500,1400,
,27/08/2016,8,Hybrid,1450,1570,1500,
,,,Jowar ( White),1900,2000,1900,
,,,Jowar (Yellow),1400,1500,1400,
,30/08/2016,10,Hybrid,1450,1600,1550,
,,,Jowar ( White),1950,2500,2200,
,,,Jowar (Yellow),1300,1500,1450,
Belgaum,01/08/2016,2,Jowar ( White),2300,2500,2400,
,03/08/2016,1,Jowar ( White),2200,2400,2300,
,04/08/2016,1,Jowar ( White),2200,2400,2300,
,05/08/2016,2,Jowar ( White),2200,2400,2300,
,06/08/2016,1,Jowar ( White),2100,2400,2200,
,07/08/2016,13,Jowar ( White),2100,2400,2200,
,10/08/2016,1,Jowar ( White),2300,2500,2400,
,11/08/2016,1,Jowar ( White),2300,2500,2400,
,12/08/2016,1,Jowar ( White),2300,2500,2400,
,13/08/2016,1,Jowar ( White),2200,2400,2300,
,14/08/2016,1,Jowar ( White),2200,2400,2300,
,17/08/2016,10,Jowar ( White),2200,2500,2300,
,18/08/2016,6,Jowar ( White),2200,2500,2300,
,19/08/2016,1,Jowar ( White),2200,2500,2300,
,20/08/2016,7,Jowar ( White),2100,2400,2200,
,21/08/2016,2,Jowar ( White),2100,2400,2200,
,22/08/2016,1,Jowar ( White),2100,2400,2200,
,24/08/2016,2,Jowar ( White),2200,2500,2300,
,25/08/2016,1,Jowar ( White),2200,2500,2300,
,26/08/2016,3,Jowar ( White),2200,2500,2300,
,27/08/2016,10,Jowar ( White),2100,2400,2200,
,28/08/2016,1,Jowar ( White),2100,2400,2200,
,31/08/2016,1,Jowar ( White),2200,2600,2300,
