Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Athani,02/11/2016,1,Jowar ( White),1300,1400,1300,
,08/11/2016,9,Jowar ( White),2500,2500,2500,
,22/11/2016,1,Jowar ( White),2200,2200,2200,
,27/11/2016,1,Jowar ( White),2000,2000,2000,
,29/11/2016,9,Jowar ( White),2500,2500,2500,
Aurad,30/11/2016,11,Jowar ( White),2345,2861,2675,
Badami,07/11/2016,2,Jowar Hybrid,1000,1300,1200,
,14/11/2016,3,Jowar Hybrid,1000,1300,1200,
,21/11/2016,2,Jowar Hybrid,1000,1300,1200,
,28/11/2016,3,Jowar Hybrid,1000,1300,1200,
Bangalore,02/11/2016,21,Jowar ( White),2350,2800,2575,
,05/11/2016,43,Jowar ( White),2350,2800,2575,
,07/11/2016,16,Jowar ( White),2350,2800,2575,
,08/11/2016,14,Jowar ( White),2350,2800,2575,
,09/11/2016,16,Jowar ( White),2350,2800,2575,
,10/11/2016,24,Jowar ( White),2350,2800,2575,
,11/11/2016,40,Jowar ( White),2350,2800,2575,
,14/11/2016,19,Jowar ( White),2350,2800,2575,
,15/11/2016,52,Jowar ( White),2350,2800,2575,
,18/11/2016,40,Jowar ( White),2350,2800,2575,
,22/11/2016,2,Jowar ( White),2500,3000,2750,
,23/11/2016,58,Jowar ( White),2500,3000,2750,
,24/11/2016,40,Jowar ( White),2500,3000,2750,
,28/11/2016,32,Jowar ( White),2500,3000,2750,
,29/11/2016,7,Jowar ( White),2500,2700,2600,
,30/11/2016,23,Jowar ( White),2200,2600,2400,
Basava Kalayana,02/11/2016,30,Hybrid,1050,1225,1200,
,,,Jowar ( White),1851,2690,1851,
,,,Jowar (Yellow),1100,1401,1250,
,03/11/2016,18,Hybrid,1050,1220,1160,
,,,Jowar (Yellow),1100,1551,1341,
,04/11/2016,14,Hybrid,1041,1140,1110,
,,,Jowar (Yellow),1400,1400,1400,
,05/11/2016,20,Hybrid,1000,1160,1125,
,,,Jowar (Yellow),1250,1500,1400,
,07/11/2016,27,Hybrid,1060,1200,1140,
,,,Jowar (Yellow),1140,1501,1250,
,08/11/2016,21,Hybrid,1040,1150,1120,
,,,Jowar (Yellow),1250,1800,1500,
,26/11/2016,8,Hybrid,1150,1470,1350,
,,,Jowar ( White),2200,2200,2200,
,,,Jowar (Yellow),1500,1900,1750,
,28/11/2016,7,Hybrid,1170,1300,1185,
,,,Jowar (Yellow),1500,1800,1600,
,30/11/2016,18,Hybrid,1150,1300,1250,
,,,Jowar ( White),2750,2800,2750,
,,,Jowar (Yellow),1701,2151,2000,
Belgaum,02/11/2016,1,Jowar ( White),2200,2560,2400,
,03/11/2016,2,Jowar ( White),2200,2560,2400,
,04/11/2016,1,Jowar ( White),2200,2560,2400,
,05/11/2016,3,Jowar ( White),2100,2500,2300,
,06/11/2016,11,Jowar ( White),2100,2800,2500,
,07/11/2016,1,Jowar ( White),2100,2800,2500,
,09/11/2016,2,Jowar ( White),2100,2800,2400,
,10/11/2016,1,Jowar ( White),2100,2800,2400,
,11/11/2016,2,Jowar ( White),2100,2800,2400,
