Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Athani,18/09/2017,1,Jowar ( White),1750,2000,1800,
,26/09/2017,6,Jowar ( White),2000,2600,2400,
,30/09/2017,6,Jowar ( White),2000,2600,2500,
Badami,04/09/2017,1,Jowar Hybrid,1000,1300,1200,
,11/09/2017,22,Jowar ( White),1700,1700,1700,
,,,Jowar Hybrid,1000,1300,1200,
,18/09/2017,2,Jowar Hybrid,1000,1300,1200,
,25/09/2017,1,Jowar Hybrid,1000,1300,1200,
,26/09/2017,10,Jowar ( White),1100,1100,1100,
Bagalakot,23/09/2017,1,Jowar Hybrid,1025,1025,1025,
,25/09/2017,1,Jowar ( White),1011,1011,1011,
Bangalore,01/09/2017,27,Jowar ( White),2000,2800,2400,
,04/09/2017,9,Jowar ( White),2000,2800,2400,
,05/09/2017,13,Jowar ( White),2000,2800,2400,
,06/09/2017,13,Jowar ( White),2000,2800,2400,
,07/09/2017,23,Jowar ( White),2000,2800,2400,
,08/09/2017,17,Jowar ( White),2000,2800,2400,
,11/09/2017,71,Jowar ( White),2000,2800,2400,
,12/09/2017,4,Jowar ( White),2000,2800,2400,
,15/09/2017,28,Jowar ( White),2000,2800,2400,
,16/09/2017,10,Jowar ( White),2200,2800,2500,
,18/09/2017,19,Jowar ( White),2200,2800,2500,
,20/09/2017,27,Jowar ( White),2200,2800,2500,
,21/09/2017,17,Jowar ( White),2200,2800,2500,
,22/09/2017,11,Jowar ( White),2200,2800,2500,
,25/09/2017,16,Jowar ( White),2200,2800,2500,
,26/09/2017,11,Jowar ( White),2200,2600,2400,
,27/09/2017,23,Jowar ( White),2200,2600,2400,
,28/09/2017,30,Jowar ( White),2200,2600,2400,
Basava Kalayana,01/09/2017,2,Hybrid,1250,1330,1280,
,,,Jowar ( White),2100,2300,2100,
,,,Jowar (Yellow),1700,1700,1700,
,04/09/2017,4,Hybrid,1250,1326,1300,
,,,Jowar ( White),1851,2201,2100,
,06/09/2017,4,Hybrid,1050,1361,1300,
,,,Jowar ( White),1940,2100,2051,
,,,Jowar (Yellow),1501,1501,1501,
,07/09/2017,1,Hybrid,1180,1300,1250,
,,,Jowar ( White),2000,2100,2000,
,08/09/2017,5,Hybrid,1101,1350,1252,
,,,Jowar ( White),1900,2100,2001,
,09/09/2017,3,Hybrid,1100,1354,1250,
,,,Jowar ( White),1500,2251,2150,
,,,Jowar (Yellow),1680,1700,1680,
,11/09/2017,2,Hybrid,1225,1300,1250,
,,,Jowar ( White),2101,2301,2200,
,12/09/2017,3,Hybrid,1150,1300,1250,
,,,Jowar ( White),1620,2050,2000,
,13/09/2017,5,Hybrid,1150,1300,1225,
,,,Jowar ( White),2021,2401,2201,
,14/09/2017,1,Hybrid,1200,1280,1225,
,,,Jowar ( White),2141,2141,2141,
,15/09/2017,2,Hybrid,1150,1250,1200,
,,,Jowar ( White),1726,2260,2100,
,16/09/2017,2,Hybrid,1001,1200,1100,
,,,Jowar ( White),1500,2121,2000,
,18/09/2017,1,Hybrid,900,1150,1041,
,,,Jowar ( White),1500,2000,1500,
,19/09/2017,2,Hybrid,1000,1101,1050,
,22/09/2017,3,Hybrid,820,1150,1100,
,,,Jowar ( White),1850,2025,1900,
,23/09/2017,2,Hybrid,1000,1270,1025,
,,,Jowar ( White),2000,2200,2100,
,25/09/2017,3,Hybrid,1000,1118,1050,
,26/09/2017,2,Hybrid,1000,1050,1030,
,,,Jowar ( White),1800,2100,1800,
,27/09/2017,1,Hybrid,700,1081,1000,
,,,Jowar ( White),2000,2150,2000,
,28/09/2017,3,Hybrid,901,1030,1000,
,,,Jowar ( White),1600,2200,1600,
Belgaum,01/09/2017,1,Jowar ( White),2300,2600,2500,
,03/09/2017,2,Jowar ( White),2200,2400,2300,
,04/09/2017,2,Jowar ( White),2200,2400,2300,
,06/09/2017,1,Jowar ( White),2300,2600,2400,
,07/09/2017,15,Jowar ( White),2300,2600,2400,
,08/09/2017,4,Jowar ( White),2300,2600,2400,
,09/09/2017,1,Jowar ( White),2200,2500,2300,
,10/09/2017,1,Jowar ( White),2200,2500,2300,
,13/09/2017,1,Jowar ( White),2300,2700,2400,
,14/09/2017,5,Jowar ( White),2300,2700,2400,
,15/09/2017,1,Jowar ( White),2300,2700,2400,
,16/09/2017,2,Jowar ( White),2200,2600,2500,
,17/09/2017,9,Jowar ( White),2200,2600,2500,
,18/09/2017,1,Jowar ( White),2200,2600,2500,
,20/09/2017,2,Jowar ( White),2300,2500,2500,
,21/09/2017,1,Jowar ( White),2300,2600,2500,
,22/09/2017,1,Jowar ( White),2300,2600,2500,
,23/09/2017,2,Jowar ( White),2200,2400,2300,
,24/09/2017,1,Jowar ( White),2200,2400,2300,
,25/09/2017,2,Jowar ( White),2200,2400,2300,
,27/09/2017,2,Jowar ( White),2300,2500,2400,
,28/09/2017,3,Jowar ( White),2300,2500,2400,
,30/09/2017,2,Jowar ( White),2400,2800,2600,
Bellary,01/09/2017,23,Jowar ( White),1226,2166,1547,
,04/09/2017,9,Jowar ( White),1295,2322,1646,
,06/09/2017,1,Jowar ( White),1580,1827,1706,
,07/09/2017,6,Jowar ( White),1123,2060,1574,
,08/09/2017,6,Jowar ( White),1411,2525,1726,
,11/09/2017,5,Jowar ( White),1133,1862,1465,
,12/09/2017,4,Jowar ( White),1133,1900,1502,
,13/09/2017,186,Jowar ( White),1112,1961,1368,
,14/09/2017,16,Jowar ( White),1188,1780,1505,
,15/09/2017,3,Jowar ( White),1206,1768,1415,
,16/09/2017,2,Jowar ( White),1116,1686,1351,
,18/09/2017,5,Jowar ( White),1129,1941,1440,
,21/09/2017,4,Jowar ( White),666,1864,1248,
,22/09/2017,3,Jowar ( White),787,1826,1339,
,23/09/2017,4,Jowar ( White),1005,1870,1335,
,25/09/2017,24,Local,1211,2081,1378,
,26/09/2017,4,Jowar ( White),1000,1760,1345,
,27/09/2017,3,Jowar ( White),1009,1711,1208,
,28/09/2017,2,Jowar ( White),1090,2082,1325,
Bidar,01/09/2017,11,Jowar ( White),2900,3100,3000,
,04/09/2017,23,Jowar ( White),2000,3200,2800,
,05/09/2017,21,Jowar ( White),1900,2900,2600,
,06/09/2017,32,Jowar ( White),1900,3200,2800,
,08/09/2017,33,Jowar ( White),1950,3100,2800,
,09/09/2017,35,Jowar ( White),1900,3100,2800,
,11/09/2017,33,Jowar ( White),1950,3150,2800,
,12/09/2017,28,Jowar ( White),2800,3200,3000,
,13/09/2017,25,Jowar ( White),2800,3200,2900,
,14/09/2017,34,Jowar ( White),2800,3200,2900,
,15/09/2017,25,Jowar ( White),2800,3100,2900,
,16/09/2017,35,Jowar ( White),2800,3100,2900,
,18/09/2017,28,Jowar ( White),2800,3200,2900,
,20/09/2017,18,Jowar ( White),2800,3100,2900,
,21/09/2017,33,Jowar ( White),2800,3100,2900,
,22/09/2017,29,Jowar ( White),2850,3150,2950,
