Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Badarwas,02/02/2016,6.5,Other,5300,5400,5350,
Badwaha,17/02/2016,0.2,Jowar ( White),1340,1340,1340,
Badwani,01/02/2016,14,Jowar ( White),1250,1250,1250,
,03/02/2016,17.9,Jowar ( White),1250,1350,1250,
,10/02/2016,13,Jowar ( White),1250,1250,1250,
,16/02/2016,14,Jowar ( White),1250,1250,1250,
,26/02/2016,8.3,Jowar ( White),1250,1250,1250,
,27/02/2016,11.7,Jowar ( White),1150,1150,1150,
Balwadi,02/02/2016,3.4,Other,1400,15700,1500,
,03/02/2016,3.5,Other,1400,1570,1500,
,07/02/2016,1,Other,1400,1570,1500,
,11/02/2016,2,Other,1200,1500,1300,
Betul,01/02/2016,19,Other,1281,1300,1291,
,02/02/2016,8,Jowar ( White),1285,1338,1299,
,03/02/2016,66, ,NR,NR,NR,
,04/02/2016,62,Other,1290,1300,1291,
,05/02/2016,14,Other,1280,1281,1280,
,06/02/2016,2,Other,1284,1284,1284,
,08/02/2016,1,Jowar ( White),1350,1350,1350,
,09/02/2016,3, ,NR,NR,NR,
,10/02/2016,25,Jowar ( White),1298,1321,1320,
,11/02/2016,50,Jowar ( White),1303,1324,1321,
,12/02/2016,60,Jowar ( White),1280,1335,1310,
,15/02/2016,15,Jowar ( White),1312,1320,1315,
,17/02/2016,10, ,NR,NR,NR,
,20/02/2016,15,Jowar ( White),1246,1271,1260,
,23/02/2016,5,Jowar ( White),1280,1283,1281,
,24/02/2016,55,Jowar ( White),1275,1290,1285,
,25/02/2016,2,Jowar ( White),1265,1265,1265,
,26/02/2016,171,Jowar ( White),1276,1295,1290,
,27/02/2016,2,Jowar ( White),1275,1275,1275,
Bhopal,05/02/2016,7.5,Other,1600,1650,1600,
Burhanpur,01/02/2016,3.5,Jowar Hybrid,1310,1325,1313,
,02/02/2016,2.3,Jowar Hybrid,1310,1314,1311,
,03/02/2016,0.9, ,NR,NR,NR,
,04/02/2016,4.4,Jowar Hybrid,1275,1315,1310,
,05/02/2016,0.7,Jowar Hybrid,1301,1312,1306,
,08/02/2016,2.4,Jowar Hybrid,1298,1330,1311,
,09/02/2016,1.1, ,NR,NR,NR,
,10/02/2016,2.8,Jowar Hybrid,1311,1319,1315,
,11/02/2016,0.5,Jowar Hybrid,1308,1314,1314,
,12/02/2016,0.5,Jowar Hybrid,1305,1310,1306,
,15/02/2016,2.7,Jowar Hybrid,1300,1320,1318,
,16/02/2016,1.9,Jowar Hybrid,1297,1334,1332,
,17/02/2016,1.8,Jowar Hybrid,1330,1336,1333,
,18/02/2016,2.4,Jowar Hybrid,1326,1354,1349,
,19/02/2016,3.2,Jowar Hybrid,1337,1421,1341,
,23/02/2016,1,Jowar Hybrid,1336,1340,1340,
,24/02/2016,7.9,Jowar Hybrid,1300,1351,1343,
,25/02/2016,0.2,Jowar Hybrid,1333,1340,1340,
,26/02/2016,1.5,Jowar Hybrid,1322,1340,1340,
,29/02/2016,0.2,Jowar Hybrid,1336,1336,1336,
Dabra,15/02/2016,5,Other,NR,1570,NR,
,26/02/2016,3, ,NR,NR,NR,
Dhamnod,02/02/2016,6,Jowar ( White),1250,1250,1250,
,08/02/2016,12,Jowar ( White),1200,1220,1220,
,11/02/2016,14,Jowar ( White),1311,1311,1311,
,13/02/2016,6,Jowar ( White),1321,1321,1321,
Guna,01/02/2016,0.7,Other,3905,4010,3905,
,02/02/2016,0.4,Other,4200,4200,4200,
,03/02/2016,4,Other,3500,4600,4105,
,10/02/2016,1.6,Other,3800,4590,4560,
,11/02/2016,2.1,Other,1195,2555,1195,
,12/02/2016,0.5,Other,2000,4800,2000,
,18/02/2016,0.1,Other,5030,5030,5030,
,20/02/2016,8.7,Other,2200,3255,2450,
,26/02/2016,0.1,Other,2155,2155,2155,
,27/02/2016,2.6,Other,1150,1150,1150,
Jabalpur,04/02/2016,0.1,Other,1130,1130,1130,
,10/02/2016,0.1,Other,1100,1100,1100,
Jobat,04/02/2016,7.25,Other,1000,1200,1100,
Kasrawad,02/02/2016,13.9,Jowar ( White),1570,1570,1570,
Katni,08/02/2016,0.8,Other,1240,1240,1240,
