Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Badwani,04/03/2016,3.5, ,NR,NR,NR,
Betul,01/03/2016,52,Jowar ( White),1280,1316,1280,
,02/03/2016,17,Jowar ( White),1264,1270,1265,
,03/03/2016,8,Jowar ( White),1279,1281,1281,
,05/03/2016,65,Jowar ( White),1272,1290,1285,
,08/03/2016,4,Jowar ( White),1280,1283,1282,
,09/03/2016,31, ,NR,NR,NR,
,10/03/2016,14,Jowar ( White),1221,1285,1270,
,11/03/2016,62,Jowar ( White),1275,1282,1280,
,14/03/2016,14,Jowar ( White),1281,1283,1282,
,15/03/2016,1280,Jowar ( White),1280,1280,1280,
,16/03/2016,35,Jowar ( White),1279,1290,1280,
,17/03/2016,19,Jowar ( White),1280,1289,1285,
,18/03/2016,20, ,NR,NR,NR,
,19/03/2016,20,Jowar ( White),1266,1281,1280,
,22/03/2016,14,Jowar ( White),1290,1291,1291,
Burhanpur,01/03/2016,1.1,Jowar Hybrid,1325,1340,1331,
,02/03/2016,2.5,Jowar Hybrid,1315,1451,1350,
,03/03/2016,3.5,Jowar Hybrid,1320,1321,1321,
,04/03/2016,0.5,Jowar Hybrid,1315,1326,1326,
,08/03/2016,0.1,Jowar Hybrid,1300,1300,1300,
,09/03/2016,0.6,Jowar Hybrid,1300,1325,1322,
,10/03/2016,2,Jowar Hybrid,1300,1326,1321,
,11/03/2016,11.3,Jowar Hybrid,1326,NR,1336,
,14/03/2016,0.6,Jowar Hybrid,1100,1325,1324,
,15/03/2016,4.7,Jowar Hybrid,1237,1336,1292,
,16/03/2016,1,Jowar Hybrid,1285,1325,1314,
,17/03/2016,0.8,Jowar Hybrid,1325,1326,1326,
,18/03/2016,4.9, ,NR,NR,NR,
,21/03/2016,0.5,Jowar Hybrid,1314,1340,1340,
,22/03/2016,0.4,Jowar Hybrid,1451,1451,1451,
,28/03/2016,1,Jowar Hybrid,1338,1341,1340,
,29/03/2016,3.4,Jowar Hybrid,1333,1337,1336,
,30/03/2016,2.2, ,NR,NR,NR,
,31/03/2016,1.4,Other,1325,1331,1326,
Guna,03/03/2016,0.1,Other,4605,4605,4605,
,11/03/2016,3.3,Other,2200,2500,2350,
,15/03/2016,3,Other,2200,2500,2300,
Jabalpur,08/03/2016,1.1,Other,1442,1442,1442,
,11/03/2016,0.2,Other,1051,1051,1051,
Khargone,01/03/2016,9,Other,1328,1345,1336,
,02/03/2016,7,Other,1280,1341,1311,
,03/03/2016,1.3,Other,1310,1345,1312,
,04/03/2016,3.5,Other,1336,1340,1340,
,05/03/2016,3,Other,1326,1351,1341,
,08/03/2016,75.6,Other,1250,1350,1316,
,09/03/2016,4, ,NR,NR,NR,
,10/03/2016,7,Other,1335,1380,1340,
,11/03/2016,2.5,Other,1275,1341,1315,
,12/03/2016,4,Other,1359,1460,1380,
,14/03/2016,11,Other,1331,1375,1336,
,15/03/2016,7.5,Other,1340,1627,1375,
,16/03/2016,9.5,Other,1368,1375,1370,
,17/03/2016,4.9,Other,1341,1367,1351,
,18/03/2016,4.5,Other,1300,1361,1334,
,19/03/2016,9,Other,1331,1371,1350,
,21/03/2016,9,Other,1311,1332,1328,
,22/03/2016,9,Other,1333,1356,1347,
,24/03/2016,4,Other,1332,1350,1350,
,29/03/2016,4.5,Other,1308,1332,1315,
,30/03/2016,7.5,Other,1290,1344,1326,
Lahar,04/03/2016,0.3,Other,1240,1260,1250,
,15/03/2016,1.7,Other,1266,1266,1266,
Lashkar,02/03/2016,2.1,Jowar ( White),1390,2300,1790,
,03/03/2016,23.5,Jowar ( White),1325,2100,2050,
,04/03/2016,0.9,Jowar ( White),2400,2400,2400,
,06/03/2016,3.4,Jowar ( White),1250,1800,1700,
,11/03/2016,1.5, ,NR,NR,NR,
,12/03/2016,1.7, ,NR,NR,NR,
,17/03/2016,0.9, ,NR,NR,NR,
,19/03/2016,16, ,NR,NR,NR,
Neemuch,15/03/2016,0.1,Other,1701,1701,1701,
,16/03/2016,0.4,Other,1570,1570,1570,
Pandhurna,10/03/2016,1,Other,1255,1255,1255,
,18/03/2016,2.1, ,NR,NR,NR,
,26/03/2016,2,Other,1260,1260,1260,
,28/03/2016,20,Other,1240,1260,1250,
,29/03/2016,10, ,NR,NR,NR,
,30/03/2016,10,Other,1275,1275,1275,
Saunsar,08/03/2016,2.1,Jowar Hybrid,1600,1600,1600,
Sendhwa,14/03/2016,11.5, ,NR,NR,NR,
Sheopurkalan,03/03/2016,0.5,Other,1201,1251,1251,
Sidhi,19/03/2016,5,Other,1575,1575,1575,
