Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Alampur,02/12/2017,5.6, ,NR,NR,NR,
,08/12/2017,0.5,Other,1040,1040,1040,
,09/12/2017,1,Other,1040,1040,1040,
,12/12/2017,2,Other,950,1040,950,
,14/12/2017,4,Other,950,1020,1000,
,16/12/2017,2.5,Other,1200,1200,1200,
,19/12/2017,10,Other,900,1200,1150,
,26/12/2017,2,Other,1050,1050,1050,
,30/12/2017,2.2,Other,1100,1150,1100,
Aron,04/12/2017,0.4,Other,NR,NR,2290,
,16/12/2017,0.1,Other,NR,NR,2605,
,27/12/2017,0.2,Other,NR,NR,2200,
Ashta,13/12/2017,1,Other,2803,2803,2803,
Badwaha,27/12/2017,1.9,Jowar ( White),1060,1060,1060,
Betul,01/12/2017,0.4,Jowar ( White),1109,1109,1109,
,04/12/2017,1.6,Jowar ( White),1035,1081,1051,
,06/12/2017,1.1,Jowar ( White),1000,1080,1076,
,07/12/2017,1.5,Jowar ( White),1081,1081,1081,
,08/12/2017,0.5,Jowar ( White),1080,1080,1080,
,11/12/2017,2.1,Jowar ( White),1072,1075,1073,
,12/12/2017,1,Jowar ( White),1074,1074,1074,
,13/12/2017,0.6,Jowar ( White),1060,1072,1066,
,14/12/2017,2.2,Jowar ( White),1060,1088,1066,
,15/12/2017,1.6,Jowar ( White),1045,1066,1056,
,16/12/2017,0.9,Jowar ( White),1055,1072,1060,
,19/12/2017,2.6,Jowar ( White),1073,1076,1073,
,20/12/2017,2.6,Jowar ( White),1026,1056,1052,
,21/12/2017,1.4,Jowar ( White),1061,1071,1070,
,27/12/2017,2.9,Jowar ( White),1091,1131,1104,
,28/12/2017,0.2,Jowar ( White),1091,1091,1091,
,29/12/2017,1.4,Jowar ( White),1061,1065,1065,
,30/12/2017,1.2,Jowar ( White),1050,1066,1062,
Bhopal,05/12/2017,1.6,Other,1724,2330,1739,
,13/12/2017,2.7,Other,1600,1750,1750,
Burhanpur,04/12/2017,27.7,Jowar Hybrid,1007,1118,1048,
,05/12/2017,34.5,Jowar Hybrid,1020,1130,1051,
,06/12/2017,16.5,Jowar Hybrid,1023,1138,1054,
,07/12/2017,7,Jowar Hybrid,1062,1140,1071,
,08/12/2017,3.1,Jowar Hybrid,1020,1111,1042,
,11/12/2017,16.6,Jowar Hybrid,1020,1132,1043,
,12/12/2017,12.2,Jowar Hybrid,1063,1140,1096,
,13/12/2017,30.9,Jowar Hybrid,1030,1200,1070,
,14/12/2017,12,Jowar Hybrid,1030,1192,1102,
,15/12/2017,20,Jowar Hybrid,1012,1190,1100,
,18/12/2017,20.7,Jowar Hybrid,1035,1171,1120,
,19/12/2017,5.3,Jowar Hybrid,1100,1211,1128,
,20/12/2017,20.5,Jowar Hybrid,1095,1250,1141,
,22/12/2017,17,Jowar Hybrid,1080,1135,1101,
,26/12/2017,12.5,Jowar Hybrid,1070,1100,1071,
,27/12/2017,4.9,Jowar Hybrid,1071,1164,1090,
,30/12/2017,6.7,Jowar Hybrid,1053,1150,1100,
Dabra,08/12/2017,2.5,Other,1115,1115,1115,
,12/12/2017,6.5,Other,1178,1215,1200,
,14/12/2017,5.5,Other,1225,1230,1230,
,16/12/2017,5,Other,1210,1220,1220,
,19/12/2017,11,Other,1225,1235,1230,
,20/12/2017,0.5,Other,1240,1240,1240,
,21/12/2017,6,Other,1215,1235,1225,
,26/12/2017,7,Other,1220,1260,1250,
,30/12/2017,2.4,Other,1100,1200,1150,
Dewas,04/12/2017,0.1,Annigeri,1138,1138,1138,
,11/12/2017,0.1,Annigeri,1510,1510,1510,
,27/12/2017,0.1,Annigeri,850,850,850,
,28/12/2017,0.1,Annigeri,1071,1071,1071,
Ganjbasoda,01/12/2017,11.4,Jowar ( White),1500,2100,2060,
,04/12/2017,12,Jowar ( White),1000,2800,2210,
,05/12/2017,23.2,Jowar ( White),1300,2820,2470,
,06/12/2017,39.3,Jowar ( White),1300,2705,2200,
,07/12/2017,22.2,Jowar ( White),1830,2960,2205,
,08/12/2017,14.2,Jowar ( White),1200,3010,2505,
,11/12/2017,29.6,Jowar ( White),1830,2900,2700,
,12/12/2017,12.2,Jowar ( White),2000,2910,2400,
,13/12/2017,17.3,Jowar ( White),2200,3190,2730,
,14/12/2017,9.8,Jowar ( White),1680,3005,2400,
,15/12/2017,42.1,Jowar ( White),1992,3160,2900,
,18/12/2017,15.2,Jowar ( White),2410,2900,2750,
,19/12/2017,63.5,Jowar ( White),1300,3400,3051,
,20/12/2017,74.2,Jowar ( White),1550,3350,3000,
,21/12/2017,57.4,Jowar ( White),1270,3700,2930,
,22/12/2017,92.6,Jowar ( White),1600,3651,3210,
,26/12/2017,18.9,Jowar ( White),1000,3800,3310,
,27/12/2017,54,Jowar ( White),1751,3390,3200,
,28/12/2017,42.7,Jowar ( White),1400,4100,3501,
,29/12/2017,38.8,Jowar ( White),2200,3392,3205,
,30/12/2017,10.5,Jowar ( White),1600,3100,2660,
Gohad,02/12/2017,0.7,Other,1565,2360,1565,
,04/12/2017,0.48,Other,1120,1120,1120,
,06/12/2017,0.78,Other,1145,1145,1145,
,07/12/2017,1.43,Other,1130,2475,1130,
,08/12/2017,0.66,Other,1125,2500,1125,
,09/12/2017,6.06,Other,1140,2485,1705,
,11/12/2017,0.86,Other,1050,1575,1050,
,12/12/2017,3.16,Other,1165,1165,1165,
,13/12/2017,0.48,Other,1525,1845,1525,
,14/12/2017,0.46,Other,1125,1160,1125,
