Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Betul,01/07/2017,5.6,Jowar ( White),1375,1390,1380,
,03/07/2017,3.7,Jowar ( White),1325,1390,1380,
,04/07/2017,4.3,Jowar ( White),1380,1388,1385,
,05/07/2017,3.8,Jowar ( White),1370,1385,1380,
,06/07/2017,9.2,Jowar ( White),1379,1387,1383,
,07/07/2017,14.2,Jowar ( White),1375,1405,1400,
,08/07/2017,8.1,Jowar ( White),1371,1388,1373,
,10/07/2017,1.3,Jowar ( White),1300,1360,1360,
,11/07/2017,1.3,Jowar ( White),1300,1350,1300,
,12/07/2017,3.4, ,NR,NR,NR,
,13/07/2017,5.7,Jowar ( White),1350,1393,1390,
,14/07/2017,1.9,Jowar ( White),1351,1399,1388,
,15/07/2017,2.7,Jowar ( White),1380,1395,1387,
,17/07/2017,3.5,Jowar ( White),1380,1400,1395,
,19/07/2017,2.4,Jowar ( White),1381,1396,1390,
,20/07/2017,7.5,Jowar ( White),1375,1381,1380,
,21/07/2017,3.6,Jowar ( White),1370,1372,1372,
,22/07/2017,8.9,Jowar ( White),1360,1375,1370,
,24/07/2017,4.7,Jowar ( White),1365,1376,1375,
,25/07/2017,20.2,Jowar ( White),2800,3950,3700,
,26/07/2017,5.4,Jowar ( White),1341,1382,1370,
,29/07/2017,4.7,Jowar ( White),1366,1377,1375,
,31/07/2017,4.6,Jowar ( White),1356,1400,1370,
Bhopal,05/07/2017,1,Other,1260,1260,1260,
Bina,04/07/2017,1,Jowar (Yellow),1850,1850,1850,
Burhanpur,03/07/2017,2.7,Jowar Hybrid,1200,1365,1349,
,04/07/2017,3,Jowar Hybrid,1365,1380,1377,
,05/07/2017,1.3,Jowar Hybrid,1331,1380,1362,
,06/07/2017,4.3,Jowar Hybrid,1250,1370,1341,
,07/07/2017,2.9,Jowar Hybrid,1403,1439,1431,
,10/07/2017,9.5,Jowar Hybrid,1328,1380,1363,
,11/07/2017,3,Jowar Hybrid,1157,1415,1370,
,12/07/2017,6.1,Jowar Hybrid,1411,1460,1445,
,13/07/2017,1.2,Jowar Hybrid,1350,1418,1418,
,14/07/2017,1.5,Jowar Hybrid,1365,1474,1446,
,17/07/2017,1.5,Jowar Hybrid,1370,1525,1511,
,18/07/2017,5,Jowar Hybrid,1432,1563,1543,
,19/07/2017,7.5,Jowar Hybrid,1448,1508,1490,
,20/07/2017,2.2,Jowar Hybrid,1308,1600,1476,
,21/07/2017,1.7,Jowar Hybrid,1227,1500,1361,
,24/07/2017,3.6,Jowar Hybrid,1448,1469,1450,
,25/07/2017,1.7,Jowar Hybrid,1227,1500,1361,
,26/07/2017,2.5,Jowar Hybrid,1426,1499,1482,
,27/07/2017,0.2,Jowar Hybrid,1441,1441,1441,
,28/07/2017,0.8,Jowar Hybrid,1420,1441,1430,
Dabra,04/07/2017,0.4,Other,1501,1700,1700,
Ganjbasoda,03/07/2017,1.1,Jowar ( White),1200,1400,1250,
,04/07/2017,6.6,Jowar ( White),812,1800,1550,
,05/07/2017,2.5,Jowar ( White),1400,1410,1405,
,06/07/2017,1.5,Jowar ( White),1050,1160,1100,
,07/07/2017,2.8,Jowar ( White),700,1650,1200,
,12/07/2017,0.4,Jowar ( White),1050,1150,1100,
,20/07/2017,5.5,Jowar ( White),1000,1200,1150,
Guna,03/07/2017,0.5,Other,2895,2895,2895,
,06/07/2017,0.4,Other,1005,2400,2105,
,08/07/2017,0.2,Other,1705,1705,1705,
,11/07/2017,0.5,Other,2325,2325,2325,
,14/07/2017,0.6,Other,1805,2800,2100,
,18/07/2017,0.7,Other,905,2415,2415,
,19/07/2017,0.2,Other,2080,2080,2080,
,20/07/2017,1.1,Other,2245,2700,2245,
,26/07/2017,0.2,Other,1400,1400,1400,
Indore,22/07/2017,3.1,Jowar ( White),1489,1701,1701,
Khargone,05/07/2017,5.1,Other,1290,1322,1322,
,06/07/2017,0.6,Other,1278,1321,1321,
,07/07/2017,2.3,Other,1315,1356,1356,
,13/07/2017,0.6,Other,1331,1418,1418,
,19/07/2017,2.3,Other,1286,1341,1341,
,20/07/2017,2,Other,1310,1310,1310,
,21/07/2017,3,Other,1320,1320,1320,
,22/07/2017,4.5,Other,1251,1321,1310,
,24/07/2017,4.5,Other,1315,1320,1320,
,29/07/2017,3.5,Other,1370,1370,1370,
Mhow,22/07/2017,0.1,Other,1461,1461,1461,
,29/07/2017,0.1,Other,1267,1267,1267,
Pandhurna,12/07/2017,3.6, ,NR,NR,NR,
,20/07/2017,6, ,NR,NR,NR,
,24/07/2017,2, ,NR,NR,NR,
,25/07/2017,6, ,NR,NR,NR,
,26/07/2017,4, ,NR,NR,NR,
,27/07/2017,2, ,NR,NR,NR,
Saunsar,04/07/2017,0.3,Jowar Hybrid,1652,1652,1652,
,11/07/2017,0.5,Jowar Hybrid,1375,1375,1375,
,18/07/2017,0.6,Jowar Hybrid,1665,1665,1665,
,25/07/2017,0.2,Jowar Hybrid,1652,1652,1652,
Sheopurkalan,15/07/2017,0.2,Other,1400,1400,1400,
