Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aatpadi,17/12/2016,1,Other,1800,2500,2150,
,31/12/2016,2,Other,2000,2600,2300,
Achalpur,01/12/2016,67,Other,1400,1500,1450,
,02/12/2016,6,Other,1550,1650,1600,
,03/12/2016,6,Other,1550,1600,1575,
,05/12/2016,6,Other,1550,1600,1575,
,06/12/2016,8,Other,1550,1650,1600,
,08/12/2016,101,Other,1350,1450,1400,
,09/12/2016,7,Other,1375,1425,1400,
,10/12/2016,2,Other,1375,1425,1400,
,15/12/2016,50,Other,1250,1610,1430,
,17/12/2016,1,Other,1450,1500,1475,
,20/12/2016,3,Other,1400,1600,1500,
,22/12/2016,35,Other,1300,1730,1515,
,23/12/2016,1,Other,1550,1650,1600,
,24/12/2016,2,Other,1500,1700,1600,
,26/12/2016,1,Other,1500,1700,1600,
,27/12/2016,2,Other,1500,1700,1600,
,29/12/2016,30,Other,1350,1550,1450,
Ahmednagar,07/12/2016,2,Other,1800,2350,2105,
,08/12/2016,5,Other,2000,2500,2280,
,09/12/2016,3,Other,2000,2300,2170,
,13/12/2016,5,Other,1701,2601,2305,
,14/12/2016,11,Other,1700,2250,2095,
,16/12/2016,6,Other,2000,2375,2200,
,28/12/2016,18,Other,1800,2400,2235,
Ahmedpur,02/12/2016,2,Jowar (Yellow),2000,2200,2100,
,,,Other,1100,2000,1550,
,03/12/2016,3,Jowar (Yellow),2000,2200,2100,
,,,Other,1100,2000,1550,
,13/12/2016,7,Other,1100,1900,1500,
,16/12/2016,1,Jowar (Yellow),1651,2100,1875,
,,,Other,1100,1851,1475,
,17/12/2016,13,Other,1100,1600,1350,
,21/12/2016,6,Other,1100,1726,1413,
,22/12/2016,8,Other,1225,1305,1275,
,23/12/2016,10,Other,1140,1425,1282,
,24/12/2016,6,Other,1150,1860,1505,
,26/12/2016,1,Jowar (Yellow),2000,2000,2000,
,,,Other,1100,1160,1130,
,27/12/2016,1,Other,1140,1580,1360,
Akhadabalapur,24/12/2016,1,Other,1625,1625,1625,
Akkalkuwa,06/12/2016,1,Other,1335,1350,1345,
,08/12/2016,1,Other,1335,1350,1340,
,09/12/2016,1,Other,1350,1400,1370,
,16/12/2016,1,Other,1335,1350,1341,
,19/12/2016,2,Other,1200,1300,1250,
,20/12/2016,3,Other,1520,1650,1550,
Akluj,14/12/2016,3,Other,2700,2700,2700,
Akola,01/12/2016,3, ,NR,NR,NR,
,02/12/2016,1, ,NR,NR,NR,
,03/12/2016,20,Other,1325,1510,1420,
,05/12/2016,1, ,NR,NR,NR,
,06/12/2016,1, ,NR,NR,NR,
,08/12/2016,1, ,NR,NR,NR,
,09/12/2016,3, ,NR,NR,NR,
,10/12/2016,3, ,NR,NR,NR,
,13/12/2016,2, ,NR,NR,NR,
