Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aatpadi,10/06/2017,2,Other,1700,2000,1850,
,24/06/2017,2,Other,1900,2100,2000,
Aheri,06/06/2017,2,Other,1500,1500,1500,
,21/06/2017,1,Other,1900,1900,1900,
,29/06/2017,1,Other,1900,1900,1900,
Ahmednagar,06/06/2017,7,Other,1650,1850,1790,
,07/06/2017,4,Other,1700,1700,1700,
,09/06/2017,2,Other,1650,1800,1700,
,12/06/2017,11,Other,1675,2500,2245,
,13/06/2017,7,Other,1701,1881,1835,
,14/06/2017,7,Other,1725,2200,2105,
,16/06/2017,10,Other,1725,2500,2315,
,19/06/2017,13,Other,1701,2400,2210,
,22/06/2017,22,Other,1725,2000,1965,
,23/06/2017,12,Other,1750,1800,1785,
,24/06/2017,8,Other,1700,2000,1935,
,27/06/2017,25,Other,1650,2050,1875,
,28/06/2017,6,Other,1750,1950,1905,
,29/06/2017,7,Other,1700,2000,1900,
,30/06/2017,14,Other,1800,1995,1930,
Ahmedpur,08/06/2017,7,Other,1260,1701,1480,
,09/06/2017,3,Other,1250,1450,1350,
,12/06/2017,7,Other,1260,2025,1642,
,14/06/2017,5,Other,1260,1272,1266,
,15/06/2017,3,Other,1250,2101,1675,
,16/06/2017,1,Other,1250,1700,1450,
,17/06/2017,2,Other,1250,1500,1375,
,19/06/2017,7,Other,1200,1400,1350,
,20/06/2017,1,Other,1250,1400,1325,
,21/06/2017,5,Other,1260,1276,1268,
,22/06/2017,3,Other,1220,1460,1340,
,23/06/2017,1,Other,1250,1350,1300,
,28/06/2017,9,Other,1260,1750,1510,
,29/06/2017,1,Other,1250,1500,1325,
,30/06/2017,3,Other,1250,1600,1425,
Akhadabalapur,09/06/2017,2,Other,1500,1500,1500,
,12/06/2017,2,Other,1500,1500,1500,
,13/06/2017,4,Other,1500,1550,1525,
,27/06/2017,3,Other,1500,1600,1550,
,28/06/2017,4,Other,1400,1500,1450,
Akluj,30/06/2017,1,Other,1401,1401,1401,
Akola,01/06/2017,3,Other,1350,1450,1400,
,02/06/2017,6,Other,1200,1425,1310,
,03/06/2017,5,Other,1350,1530,1440,
,06/06/2017,3,Other,1450,1800,1625,
,07/06/2017,11,Other,1300,1500,1400,
,08/06/2017,15,Other,1350,1580,1465,
,09/06/2017,11,Other,1350,1450,1400,
,10/06/2017,10,Other,1330,1450,1390,
,12/06/2017,3,Other,1375,1650,1510,
,13/06/2017,5,Other,1375,1600,1490,
,14/06/2017,4,Other,1350,1450,1400,
,15/06/2017,10,Other,1360,1400,1380,
,16/06/2017,3,Other,1350,1475,1410,
,17/06/2017,2,Other,1325,1400,1360,
,19/06/2017,1,Other,1350,1450,1400,
,20/06/2017,3,Other,1350,1450,1400,
,21/06/2017,10,Other,1350,1500,1425,
,22/06/2017,2,Other,1350,1425,1385,
,23/06/2017,3,Other,1375,1625,1500,
,24/06/2017,8,Other,1375,1575,1475,
,27/06/2017,13,Other,1350,1500,1425,
,28/06/2017,6,Other,1300,1575,1435,
,29/06/2017,5,Other,1370,1525,1450,
Akot,01/06/2017,7,Other,1200,1415,1308,
,09/06/2017,8,Other,1200,1375,1275,
,10/06/2017,7,Other,1390,1465,1428,
,12/06/2017,2,Other,1300,1400,1350,
,13/06/2017,6,Other,1300,1450,1400,
,14/06/2017,6,Other,1350,1450,1400,
,22/06/2017,3,Other,1275,1416,1400,
,23/06/2017,7,Other,1397,1520,1500,
Amalner,02/06/2017,6, ,NR,NR,NR,
,03/06/2017,3, ,NR,NR,NR,
,05/06/2017,6, ,NR,NR,NR,
,06/06/2017,1, ,NR,NR,NR,
,07/06/2017,3, ,NR,NR,NR,
,08/06/2017,2, ,NR,NR,NR,
,09/06/2017,2, ,NR,NR,NR,
,10/06/2017,3,Other,1375,1472,1472,
,12/06/2017,3, ,NR,NR,NR,
,13/06/2017,4, ,NR,NR,NR,
,14/06/2017,3, ,NR,NR,NR,
,16/06/2017,5, ,NR,NR,NR,
,17/06/2017,3, ,NR,NR,NR,
,19/06/2017,4, ,NR,NR,NR,
,20/06/2017,3, ,NR,NR,NR,
,21/06/2017,4, ,NR,NR,NR,
,22/06/2017,3, ,NR,NR,NR,
,23/06/2017,1, ,NR,NR,NR,
,24/06/2017,3, ,NR,NR,NR,
,27/06/2017,3, ,NR,NR,NR,
,28/06/2017,3, ,NR,NR,NR,
,29/06/2017,5, ,NR,NR,NR,
,30/06/2017,4, ,NR,NR,NR,
Amarawati,12/06/2017,2,Other,1600,2100,1850,
,17/06/2017,1,Other,1800,2100,1950,
,28/06/2017,2,Other,1800,2100,1950,
Ambad (Vadigodri),01/06/2017,6,Other,1650,1900,1850,
,02/06/2017,6,Other,1650,1826,1700,
,03/06/2017,5,Other,1465,1600,1511,
,06/06/2017,10,Other,1650,1912,1672,
,07/06/2017,10,Other,1510,1850,1665,
,08/06/2017,7,Other,1451,1650,1650,
,09/06/2017,8,Other,1501,1776,1630,
,10/06/2017,7,Other,1250,1761,1669,
,12/06/2017,11,Other,1560,1781,1651,
,13/06/2017,5,Other,1650,1800,1761,
,14/06/2017,10,Other,1650,1900,1800,
,15/06/2017,8,Other,1651,1900,1700,
,16/06/2017,7,Other,1656,1900,1810,
,20/06/2017,12,Other,1650,1900,1720,
,21/06/2017,7,Other,1545,1800,1605,
,22/06/2017,12,Other,1465,1919,1551,
,23/06/2017,4,Other,1500,1676,1550,
,27/06/2017,11,Other,1500,1920,1650,
,28/06/2017,8,Other,1101,1881,1600,
,29/06/2017,7,Other,1541,1776,1601,
,30/06/2017,7,Other,1561,1846,1661,
Ambejaogai,02/06/2017,2,Jowar (Yellow),2000,2800,2500,
,07/06/2017,1,Jowar (Yellow),2000,2750,2500,
,12/06/2017,1,Jowar (Yellow),2400,2600,2500,
,17/06/2017,1,Other,1500,1600,1550,
,21/06/2017,1,Jowar (Yellow),2500,2880,2700,
,28/06/2017,1,Jowar (Yellow),2300,2450,2400,
,29/06/2017,1,Other,1550,1650,1600,
Anajngaon,10/06/2017,1,Other,1250,1550,1350,
,13/06/2017,1,Other,1250,1550,1350,
,24/06/2017,1,Other,1250,1550,1350,
,27/06/2017,1,Other,1250,1550,1350,
Aurangabad,01/06/2017,4,Other,1450,1750,1600,
,07/06/2017,2,Other,1500,1850,1675,
,08/06/2017,6,Other,1500,1650,1575,
,09/06/2017,4,Other,1550,1850,1700,
,10/06/2017,4,Other,1550,1850,1700,
,12/06/2017,3,Other,1550,1700,1625,
,13/06/2017,4,Other,1550,1650,1600,
,14/06/2017,9,Other,1550,1725,1632,
,15/06/2017,5,Other,1550,1770,1660,
,16/06/2017,8,Other,1600,1900,1750,
,17/06/2017,5,Other,1650,1970,1785,
,19/06/2017,7,Other,1650,2200,1770,
,21/06/2017,5,Other,1550,1850,1700,
,22/06/2017,3,Other,1600,1800,1680,
,23/06/2017,1,Other,1730,1750,1740,
,24/06/2017,5,Other,1600,1900,1730,
,27/06/2017,2,Other,1600,1650,1625,
,28/06/2017,3,Other,1600,1900,1740,
,29/06/2017,4,Other,1600,1871,1735,
,30/06/2017,2,Other,1600,1600,1600,
Balapur,04/06/2017,2,Other,1200,1600,1400,
,11/06/2017,4,Other,1200,1600,1400,
,18/06/2017,1,Other,1300,1600,1400,
,25/06/2017,3,Other,1300,1400,1300,
Baramati,08/06/2017,12, ,NR,NR,NR,
,12/06/2017,21, ,NR,NR,NR,
,19/06/2017,40, ,NR,NR,NR,
,22/06/2017,37, ,NR,NR,NR,
,26/06/2017,17, ,NR,NR,NR,
,29/06/2017,25, ,NR,NR,NR,
Beed,02/06/2017,20,Other,1650,1700,1700,
,03/06/2017,4,Other,1650,1935,1650,
,06/06/2017,10,Other,1680,1845,1845,
,07/06/2017,6,Other,1650,1650,1650,
,09/06/2017,28,Other,1650,1825,1761,
,10/06/2017,26,Other,1650,1971,1650,
,12/06/2017,12,Other,1650,1866,1700,
,13/06/2017,6,Other,1650,2100,1700,
,14/06/2017,15,Other,1650,1830,1671,
,15/06/2017,4,Other,1650,1800,1671,
,16/06/2017,4,Other,1650,1701,1650,
,17/06/2017,10,Other,1650,1825,1680,
,19/06/2017,6,Other,1689,1720,1710,
,20/06/2017,7,Other,1650,1941,1650,
,21/06/2017,4,Other,1650,1716,1700,
,22/06/2017,8,Other,1650,1975,1700,
,23/06/2017,13,Other,1650,1980,1700,
,27/06/2017,8,Other,1650,2116,1700,
,28/06/2017,7,Other,1680,1900,1700,
,29/06/2017,21,Other,1650,1800,1700,
Bhokar,02/06/2017,14,Other,1220,1505,1350,
,03/06/2017,4,Other,1300,1476,1400,
,06/06/2017,11,Other,1300,1500,1400,
,07/06/2017,8,Other,1200,1550,1400,
,09/06/2017,10,Other,1300,1550,1350,
,10/06/2017,7,Other,1150,1520,1400,
,12/06/2017,9,Other,1220,1576,1400,
,13/06/2017,14,Other,1220,1610,1500,
,14/06/2017,7,Other,1300,1576,1400,
,16/06/2017,8,Other,1200,1630,1400,
,17/06/2017,6,Other,1300,1670,1500,
,19/06/2017,3,Other,1300,1640,1450,
,20/06/2017,5,Other,1300,1670,1450,
,21/06/2017,7,Other,1300,1680,1500,
,23/06/2017,21,Other,1500,1600,1550,
,24/06/2017,7,Other,1300,1670,1500,
,27/06/2017,4,Other,1480,1711,1500,
,28/06/2017,5,Other,1220,1715,1500,
,30/06/2017,6,Other,1400,1700,1450,
Bhokardan,03/06/2017,1,Other,1600,1625,1615,
,26/06/2017,1,Other,1510,1550,1540,
Bhokardan(Pimpalgaon Renu),06/06/2017,1,Other,1500,1550,1550,
,13/06/2017,1,Other,1525,1550,1530,
,27/06/2017,1,Other,1515,1530,1520,
Bhusaval,02/06/2017,1,Other,1300,1300,1300,
,06/06/2017,1,Other,1300,1300,1300,
,10/06/2017,1,Other,1200,1300,1200,
,16/06/2017,1,Other,1300,1300,1300,
,19/06/2017,1,Other,1200,1300,1200,
,21/06/2017,130,Other,1300,1300,1300,
Buldhana(Dhad),02/06/2017,1,Other,1100,1700,1500,
,09/06/2017,1,Other,1600,1700,1650,
,14/06/2017,1,Other,1100,1600,1400,
,16/06/2017,1,Other,1100,1600,1400,
,23/06/2017,1,Other,1100,1300,1200,
,25/06/2017,1,Other,1100,1400,1250,
Chakur,08/06/2017,1,Other,1800,1800,1800,
,12/06/2017,1,Other,1130,1131,1130,
Chalisgaon,07/06/2017,7,Jowar ( White),1200,1435,1400,
,12/06/2017,5,Jowar ( White),1100,1425,1400,
,13/06/2017,7,Jowar ( White),1100,1400,1380,
,14/06/2017,10,Jowar ( White),1200,1350,1300,
,15/06/2017,8,Jowar ( White),1200,1350,1300,
,16/06/2017,7,Jowar ( White),1380,1690,1400,
,20/06/2017,6,Jowar ( White),1300,1400,1350,
,21/06/2017,8,Jowar ( White),1300,1400,1350,
,22/06/2017,7,Jowar ( White),1221,1600,1400,
,23/06/2017,8,Jowar ( White),1300,1479,1400,
,27/06/2017,9,Jowar ( White),1300,1475,1400,
,28/06/2017,7,Jowar ( White),1200,1555,1400,
,29/06/2017,7,Jowar ( White),1300,1511,1400,
,30/06/2017,7,Jowar ( White),1200,1640,1600,
Chandur Bazar,11/06/2017,5,Other,1458,1662,1521,
Chikali,12/06/2017,1, ,NR,NR,NR,
,13/06/2017,1, ,NR,NR,NR,
,15/06/2017,1, ,NR,NR,NR,
,28/06/2017,1,Other,1500,1875,1687,
Chopada,12/06/2017,1,Other,1851,1900,1900,
,14/06/2017,1,Other,2000,2000,2000,
,15/06/2017,1,Other,1800,2000,1818,
,16/06/2017,1, ,NR,NR,NR,
,17/06/2017,1,Other,1830,1831,1831,
,19/06/2017,2,Other,1800,1900,1900,
,20/06/2017,1,Other,1600,1600,1600,
,21/06/2017,1, ,NR,NR,NR,
,22/06/2017,3,Other,1751,1801,1800,
,23/06/2017,3,Other,1361,1411,1367,
,27/06/2017,1, ,NR,NR,NR,
,28/06/2017,1,Other,1800,1875,1861,
Deoulgaon Raja,01/06/2017,1,Other,1499,1600,1551,
,02/06/2017,1,Other,1300,1525,1525,
,06/06/2017,2,Other,1500,1640,1550,
,07/06/2017,2,Other,1400,1550,1500,
,08/06/2017,7,Other,1201,1550,1400,
,09/06/2017,2,Other,1300,1511,1500,
,10/06/2017,3,Other,1300,1711,1500,
,12/06/2017,1,Other,1400,1776,1750,
,13/06/2017,3,Other,1500,1650,1600,
,14/06/2017,1,Other,1550,1665,1600,
,15/06/2017,2,Other,1400,1700,1600,
,17/06/2017,3,Other,1300,1800,1740,
,19/06/2017,3,Other,1200,1551,1450,
,20/06/2017,1,Other,1400,1600,1500,
,21/06/2017,2,Other,1100,1600,1400,
,23/06/2017,1,Other,1411,1901,1800,
,27/06/2017,5,Other,1400,1755,1600,
,28/06/2017,1,Other,1400,1651,1500,
,29/06/2017,2,Other,1200,1675,1501,
,30/06/2017,3,Other,1400,1650,1500,
Devala,14/06/2017,1,Other,1150,1611,1551,
,19/06/2017,1,Other,1405,1681,1590,
,22/06/2017,1,Other,1483,1571,1483,
Dhadgaon,05/06/2017,1,Other,1300,1400,1350,
,06/06/2017,2,Other,1300,1400,1350,
,07/06/2017,3,Other,1300,1400,1350,
,08/06/2017,3,Other,1300,1400,1350,
,09/06/2017,3,Other,1300,1450,1400,
,12/06/2017,4,Other,1300,1400,1350,
,13/06/2017,2,Other,1400,1450,1425,
,14/06/2017,3,Other,1400,1450,1425,
,15/06/2017,3,Other,1400,1450,1425,
,16/06/2017,3,Other,1400,1450,1425,
,19/06/2017,4,Other,1400,1450,1425,
,20/06/2017,4,Other,1400,1450,1425,
,22/06/2017,2,Other,1400,1450,1425,
,23/06/2017,2,Other,1400,1450,1425,
Dharangaon,08/06/2017,1,Other,1411,1411,1411,
,13/06/2017,3,Other,1258,1258,1258,
,15/06/2017,1,Other,1450,1450,1450,
,20/06/2017,2,Other,1350,1421,1365,
,24/06/2017,1,Other,1300,1425,1350,
,29/06/2017,1,Other,1455,1455,1455,
Dharni,03/06/2017,15,Other,1400,1500,1450,
,08/06/2017,20,Other,1400,1500,1450,
,10/06/2017,16,Other,1400,1500,1450,
,16/06/2017,20,Other,1400,1500,1450,
,19/06/2017,11,Other,1400,1500,1450,
,22/06/2017,18,Other,1400,1500,1450,
,29/06/2017,21,Other,1300,1400,1350,
Dhule,01/06/2017,1, ,NR,NR,NR,
,03/06/2017,1,Other,1441,1551,1505,
,07/06/2017,1,Other,1300,1400,1400,
,08/06/2017,1,Other,1250,1601,1550,
,12/06/2017,1,Other,1250,1601,1550,
,17/06/2017,1, ,NR,NR,NR,
,20/06/2017,1, ,NR,NR,NR,
,21/06/2017,1, ,NR,NR,NR,
,22/06/2017,7,Other,1215,1536,1414,
,27/06/2017,1,Other,1235,1390,1340,
,29/06/2017,2, ,NR,NR,NR,
Digras,28/06/2017,1,Other,1625,1625,1625,
,29/06/2017,1,Other,1695,1695,1695,
,30/06/2017,2,Other,1595,1595,1595,
Dondaicha,01/06/2017,11,Other,1800,1831,1825,
,02/06/2017,1,Other,1811,1877,1877,
,07/06/2017,1,Other,1800,1861,1802,
,08/06/2017,2,Other,1800,1981,1895,
,09/06/2017,6,Other,1751,1941,1851,
,12/06/2017,1, ,NR,NR,NR,
,13/06/2017,2,Other,1700,1963,1899,
,16/06/2017,2,Other,1700,1900,1864,
,22/06/2017,2, ,NR,NR,NR,
,27/06/2017,3,Other,1800,1890,1890,
,29/06/2017,1, ,NR,NR,NR,
,30/06/2017,4,Other,1761,1840,1834,
Dondaicha(Sindhkheda),14/06/2017,2,Other,1770,1850,1800,
,15/06/2017,1,Other,1765,1765,1765,
,19/06/2017,2,Other,1750,1781,1772,
,20/06/2017,1,Other,1600,1779,1757,
,21/06/2017,2,Other,1525,1751,1725,
,22/06/2017,2,Other,1811,1830,1819,
,23/06/2017,2,Other,1750,1830,1792,
Dound,01/06/2017,1,Jowar ( White),4551,4750,4750,
,08/06/2017,1,Jowar ( White),1350,1700,1600,
,09/06/2017,1,Jowar ( White),1751,2101,1900,
,11/06/2017,3,Jowar ( White),1300,2251,1700,
,12/06/2017,1,Jowar ( White),1500,2121,1800,
,13/06/2017,22,Jowar ( White),1650,2400,2200,
,16/06/2017,3,Jowar ( White),1681,2361,2021,
,18/06/2017,3,Jowar ( White),1651,2100,1800,
,19/06/2017,1,Jowar ( White),1751,1875,1751,
,20/06/2017,61,Jowar ( White),1500,2400,2000,
,22/06/2017,2,Jowar ( White),1300,2351,1950,
,23/06/2017,2,Jowar ( White),1699,2451,1900,
,25/06/2017,3,Jowar ( White),1700,2525,1850,
,26/06/2017,1,Jowar ( White),1700,2121,2000,
,27/06/2017,64,Jowar ( White),1650,2300,2000,
,30/06/2017,1,Jowar ( White),1625,2000,1800,
Dudhani,01/06/2017,6,Jowar ( White),1645,1940,1770,
