Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aatpadi,11/11/2017,2,Other,1700,2100,1900,
,18/11/2017,1,Other,1800,2100,1950,
,25/11/2017,1,Other,1800,2100,1950,
Ahmednagar,01/11/2017,8,Other,1750,2100,1850,
,02/11/2017,17,Other,1725,2100,1912,
,06/11/2017,15,Other,1500,1700,1600,
,08/11/2017,21,Other,1400,1935,1667,
,09/11/2017,17,Other,1550,1700,1625,
,11/11/2017,7,Other,1550,2100,1825,
,12/11/2017,12,Other,1550,1800,1675,
,14/11/2017,12,Other,1575,1850,1712,
,15/11/2017,24,Other,1550,1850,1700,
,20/11/2017,18,Other,1600,2100,1850,
,22/11/2017,16,Other,1525,2100,1812,
,23/11/2017,13,Other,1550,2000,1775,
,24/11/2017,18,Other,1550,2000,1775,
,27/11/2017,16,Other,1500,2050,1775,
,28/11/2017,17,Other,1500,1800,1650,
,30/11/2017,3,Other,1600,1900,1775,
Ahmedpur,01/11/2017,2,Other,800,1000,900,
,02/11/2017,10,Other,1000,1400,1200,
,03/11/2017,6,Other,1000,1600,1300,
,06/11/2017,14,Other,1000,1100,1050,
,07/11/2017,10,Other,1000,1400,1200,
,08/11/2017,4,Other,1050,2000,1525,
,09/11/2017,2,Other,1000,1600,1380,
,10/11/2017,8,Other,1000,1440,1220,
,11/11/2017,5,Other,1000,1200,1100,
,13/11/2017,6,Other,1000,1400,1200,
,14/11/2017,5,Other,900,1042,971,
,15/11/2017,3,Other,1000,1800,1400,
,16/11/2017,3,Other,1000,1100,1050,
,17/11/2017,1,Other,1025,2000,1515,
,20/11/2017,12,Other,1000,1600,1300,
,21/11/2017,2,Other,1000,1400,1200,
,22/11/2017,9,Other,900,2070,1485,
,23/11/2017,9,Other,900,2070,1425,
,24/11/2017,9,Other,900,2070,1485,
,25/11/2017,9,Other,900,2070,1425,
,28/11/2017,4,Other,1000,1200,1100,
,29/11/2017,3,Other,1000,1200,1100,
,30/11/2017,2,Other,1000,1100,1050,
Akhadabalapur,03/11/2017,1,Other,1500,1500,1500,
,04/11/2017,3,Other,1700,1700,1700,
,06/11/2017,1,Other,1600,1600,1600,
,07/11/2017,1,Other,1600,1600,1600,
,08/11/2017,1,Other,1600,1600,1600,
,14/11/2017,3,Other,1500,1550,1525,
,16/11/2017,3,Other,1600,1600,1600,
,18/11/2017,3,Other,1500,1600,1550,
,22/11/2017,4,Other,1600,1700,1650,
,27/11/2017,1,Other,1600,1600,1600,
Akkalkuwa,30/11/2017,1,Other,1100,1261,1212,
Akluj,22/11/2017,7,Other,2000,2350,2100,
Akola,01/11/2017,36,Other,1030,1125,1080,
,02/11/2017,15,Other,975,1060,1020,
,03/11/2017,21,Other,1010,1200,1105,
