Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Annur,02/08/2016,11.3,Other,2000,2300,2200,
Ariyalur Market,18/08/2016,2.19,Other,2561,2561,2561,
Karamadai,05/08/2016,9.5,Other,1800,2000,1900,
,10/08/2016,4,Other,1800,2000,1900,
Thiruppur,04/08/2016,5.3,Other,2300,2500,2400,
,05/08/2016,0.96,Other,2500,5000,4000,
,06/08/2016,7.25,Other,2550,2650,2600,
,10/08/2016,4.17,Other,2500,2700,2600,
,17/08/2016,6.5,Other,2500,2700,2600,
,18/08/2016,0.65,Other,2500,2700,2600,
,24/08/2016,2.8,Other,2500,2700,2600,
,29/08/2016,5.6,Other,2500,2700,2600,
,31/08/2016,12.53,Other,2500,2700,2600,
Vellore,02/08/2016,0.34,Other,1460,2890,2890,
,08/08/2016,0.34,Other,1520,1520,1520,
,11/08/2016,0.54,Other,1401,2489,1401,
,12/08/2016,0.36,Other,1729,1729,1729,
,18/08/2016,1,Other,1410,2440,1410,
,22/08/2016,0.42,Other,2700,2700,2700,
,23/08/2016,0.25,Other,2520,2520,2520,
,24/08/2016,0.08,Other,1780,1780,1780,
,29/08/2016,0.28,Other,1310,2389,1310,
