Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Thiruppur,05/10/2016,1.4,Other,2600,2800,2700,
,06/10/2016,1.65,Other,2400,2600,2500,
,19/10/2016,17.05,Other,2500,2700,2600,
,22/10/2016,13.45,Other,2600,2800,2700,
,26/10/2016,14.2,Other,2500,3000,2700,
Vellore,06/10/2016,0.74,Other,1300,2089,1625,
,13/10/2016,0.15,Other,1625,1625,1625,
,17/10/2016,0.35,Other,1650,2110,1650,
,19/10/2016,0.01,Other,1625,1780,1780,
,20/10/2016,0.04,Other,1625,1625,1625,
,21/10/2016,0.12,Other,1659,1659,1659,
,24/10/2016,0.75,Other,1625,2025,1625,
,27/10/2016,0.42,Other,1625,1920,1835,
