Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ariyalur Market,03/04/2017,7.55,Other,4500,4890,4600,
,06/04/2017,0.27,Other,4500,4900,4600,
,10/04/2017,0.07,Other,4000,4910,4500,
,12/04/2017,0.09,Other,4300,4990,4500,
,20/04/2017,0.07,Other,4000,4950,4200,
,28/04/2017,7.5,Other,1450,2000,1690,
Karamadai,10/04/2017,16,Other,2000,2300,2150,
Thiruppur,06/04/2017,2.4,Other,2400,2800,2600,
,19/04/2017,8.05,Other,2400,2800,2600,
Vellore,03/04/2017,0.03,Other,2630,2630,2630,
,04/04/2017,0.17,Other,2189,2580,2500,
,10/04/2017,1.31,Other,1625,1765,1725,
,13/04/2017,0.13,Other,2510,2510,2510,
,19/04/2017,0.07,Other,1625,1750,1700,
,27/04/2017,0.02,Other,2869,2869,2869,
