Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Sahebganj,02/04/2016,1.2,Masur Dal,7400,8200,7800,
,03/04/2016,2.8,Masur Dal,7400,8200,7800,
,06/04/2016,0.4,Masur Dal,7400,8200,7800,
,07/04/2016,2,Other,7400,8200,7800,
,09/04/2016,0.8,Masur Dal,7400,8200,7800,
,13/04/2016,0.8, ,NR,NR,NR,
,14/04/2016,2.4,Masur Dal,7400,8200,7800,
,20/04/2016,0.4,Masur Dal,7400,8200,7800,
,21/04/2016,0.8,Masur Dal,7400,8200,7800,
,23/04/2016,0.8,Masur Dal,7600,8400,8200,
,24/04/2016,3,Masur Dal,7800,8400,8200,
,27/04/2016,0.4,Other,7400,8400,7800,
,28/04/2016,3.8,Masur Dal,7600,8600,8200,
,29/04/2016,2.8,Masur Dal,7600,8400,8200,
,30/04/2016,1.2,Masur Dal,7600,8400,8200,
Simdega,03/04/2016,2,Masur Dal,6255,6500,6300,
,06/04/2016,1.5,Masur Dal,6240,6500,6300,
,08/04/2016,2, ,NR,NR,NR,
,10/04/2016,2,Masur Dal,6245,6500,6300,
,11/04/2016,1.5,Masur Dal,6240,6500,6300,
,14/04/2016,1.5,Masur Dal,6240,6500,6300,
,18/04/2016,2,Masur Dal,6245,6800,6500,
,21/04/2016,2,Masur Dal,6545,7000,6800,
,23/04/2016,2,Masur Dal,6530,7000,6800,
,24/04/2016,1.5,Masur Dal,6800,7200,7000,
,27/04/2016,3,Masur Dal,6855,7200,7000,
,29/04/2016,1.5,Masur Dal,6830,7200,7000,
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Sahebganj,02/04/2016,1.2,Masur Dal,7400,8200,7800,
,03/04/2016,2.8,Masur Dal,7400,8200,7800,
,06/04/2016,0.4,Masur Dal,7400,8200,7800,
,07/04/2016,2,Other,7400,8200,7800,
,09/04/2016,0.8,Masur Dal,7400,8200,7800,
,13/04/2016,0.8, ,NR,NR,NR,
,14/04/2016,2.4,Masur Dal,7400,8200,7800,
,20/04/2016,0.4,Masur Dal,7400,8200,7800,
,21/04/2016,0.8,Masur Dal,7400,8200,7800,
,23/04/2016,0.8,Masur Dal,7600,8400,8200,
,24/04/2016,3,Masur Dal,7800,8400,8200,
,27/04/2016,0.4,Other,7400,8400,7800,
,28/04/2016,3.8,Masur Dal,7600,8600,8200,
,29/04/2016,2.8,Masur Dal,7600,8400,8200,
,30/04/2016,1.2,Masur Dal,7600,8400,8200,
Simdega,03/04/2016,2,Masur Dal,6255,6500,6300,
,06/04/2016,1.5,Masur Dal,6240,6500,6300,
,08/04/2016,2, ,NR,NR,NR,
,10/04/2016,2,Masur Dal,6245,6500,6300,
,11/04/2016,1.5,Masur Dal,6240,6500,6300,
,14/04/2016,1.5,Masur Dal,6240,6500,6300,
,18/04/2016,2,Masur Dal,6245,6800,6500,
,21/04/2016,2,Masur Dal,6545,7000,6800,
,23/04/2016,2,Masur Dal,6530,7000,6800,
,24/04/2016,1.5,Masur Dal,6800,7200,7000,
,27/04/2016,3,Masur Dal,6855,7200,7000,
,29/04/2016,1.5,Masur Dal,6830,7200,7000,
