Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Sahebganj,04/08/2016,3.2,Masur Dal,7500,8000,7700,
,07/08/2016,4.2,Masur Dal,7600,8000,7700,
,10/08/2016,0.8,Masur Dal,7600,8000,7700,
,11/08/2016,2.8,Masur Dal,7600,7800,7700,
,13/08/2016,0.8,Masur Dal,7400,7800,7600,
,14/08/2016,3.8,Masur Dal,7300,7800,7500,
,17/08/2016,0.8,Masur Dal,7300,7800,7500,
,18/08/2016,3.2,Masur Dal,7300,7800,7400,
,24/08/2016,1,Masur Dal,7300,7800,7500,
,25/08/2016,3.2,Masur Dal,7200,7500,7300,
,27/08/2016,1,Masur Dal,7200,7500,7300,
,28/08/2016,4,Masur Dal,7100,7300,7200,
,31/08/2016,0.8,Masur Dal,7200,7500,7300,
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Sahebganj,04/08/2016,3.2,Masur Dal,7500,8000,7700,
,07/08/2016,4.2,Masur Dal,7600,8000,7700,
,10/08/2016,0.8,Masur Dal,7600,8000,7700,
,11/08/2016,2.8,Masur Dal,7600,7800,7700,
,13/08/2016,0.8,Masur Dal,7400,7800,7600,
,14/08/2016,3.8,Masur Dal,7300,7800,7500,
,17/08/2016,0.8,Masur Dal,7300,7800,7500,
,18/08/2016,3.2,Masur Dal,7300,7800,7400,
,24/08/2016,1,Masur Dal,7300,7800,7500,
,25/08/2016,3.2,Masur Dal,7200,7500,7300,
,27/08/2016,1,Masur Dal,7200,7500,7300,
,28/08/2016,4,Masur Dal,7100,7300,7200,
,31/08/2016,0.8,Masur Dal,7200,7500,7300,
