Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Giridih,16/11/2016,8.77,Masur Dal,11000,11500,11500,
Sahebganj,02/11/2016,0.6, ,NR,NR,NR,
,03/11/2016,3.2,Masur Dal,6800,7200,7000,
,05/11/2016,1,Masur Dal,7000,7300,7200,
,06/11/2016,3.8,Masur Dal,7000,7300,7200,
,09/11/2016,0.8,Masur Dal,6800,7300,7000,
,10/11/2016,2.4,Masur Dal,6800,7200,7000,
,12/11/2016,0.8,Masur Dal,6800,7200,7000,
,13/11/2016,2.8,Masur Dal,6800,7200,7000,
,16/11/2016,0.8,Masur Dal,6800,7200,7000,
,17/11/2016,3.2,Masur Dal,6800,7200,7000,
,19/11/2016,0.8,Masur Dal,6800,7200,7000,
,20/11/2016,3.2,Masur Dal,6800,7200,7000,
,23/11/2016,0.4,Masur Dal,6800,7200,7000,
,24/11/2016,2.2,Masur Dal,6800,7200,7000,
,26/11/2016,0.4,Masur Dal,6800,7200,7000,
,30/11/2016,0.8,Masur Dal,6700,6900,6800,
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Giridih,16/11/2016,8.77,Masur Dal,11000,11500,11500,
Sahebganj,02/11/2016,0.6, ,NR,NR,NR,
,03/11/2016,3.2,Masur Dal,6800,7200,7000,
,05/11/2016,1,Masur Dal,7000,7300,7200,
,06/11/2016,3.8,Masur Dal,7000,7300,7200,
,09/11/2016,0.8,Masur Dal,6800,7300,7000,
,10/11/2016,2.4,Masur Dal,6800,7200,7000,
,12/11/2016,0.8,Masur Dal,6800,7200,7000,
,13/11/2016,2.8,Masur Dal,6800,7200,7000,
,16/11/2016,0.8,Masur Dal,6800,7200,7000,
,17/11/2016,3.2,Masur Dal,6800,7200,7000,
,19/11/2016,0.8,Masur Dal,6800,7200,7000,
,20/11/2016,3.2,Masur Dal,6800,7200,7000,
,23/11/2016,0.4,Masur Dal,6800,7200,7000,
,24/11/2016,2.2,Masur Dal,6800,7200,7000,
,26/11/2016,0.4,Masur Dal,6800,7200,7000,
,30/11/2016,0.8,Masur Dal,6700,6900,6800,
