Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Giridih,04/09/2017,13.69,Masur Dal,4200,4320,4300,
,05/09/2017,20.94,Masur Dal,4100,4250,4200,
,06/09/2017,10.65,Masur Dal,4100,4250,4200,
,07/09/2017,10.55,Masur Dal,4100,4250,4200,
,08/09/2017,9.24,Masur Dal,4100,4210,4200,
,09/09/2017,5.22,Masur Dal,4100,4250,4200,
,12/09/2017,12.35,Masur Dal,4100,4250,4200,
,13/09/2017,9.66,Masur Dal,4100,4260,4200,
,15/09/2017,12.34,Masur Dal,4100,4250,4200,
,18/09/2017,8.34,Masur Dal,4100,4280,4200,
,20/09/2017,9.24,Masur Dal,4100,4250,4200,
,22/09/2017,9.3,Masur Dal,4100,4250,4200,
,27/09/2017,12.08,Masur Dal,4100,4250,4200,
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Giridih,04/09/2017,13.69,Masur Dal,4200,4320,4300,
,05/09/2017,20.94,Masur Dal,4100,4250,4200,
,06/09/2017,10.65,Masur Dal,4100,4250,4200,
,07/09/2017,10.55,Masur Dal,4100,4250,4200,
,08/09/2017,9.24,Masur Dal,4100,4210,4200,
,09/09/2017,5.22,Masur Dal,4100,4250,4200,
,12/09/2017,12.35,Masur Dal,4100,4250,4200,
,13/09/2017,9.66,Masur Dal,4100,4260,4200,
,15/09/2017,12.34,Masur Dal,4100,4250,4200,
,18/09/2017,8.34,Masur Dal,4100,4280,4200,
,20/09/2017,9.24,Masur Dal,4100,4250,4200,
,22/09/2017,9.3,Masur Dal,4100,4250,4200,
,27/09/2017,12.08,Masur Dal,4100,4250,4200,
