Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Giridih,01/02/2018,4.33,Masur Dal,3900,4050,4000,
,02/02/2018,5.86,Masur Dal,3900,4010,4000,
,03/02/2018,9.25,Masur Dal,3900,4020,4000,
,05/02/2018,6.34,Masur Dal,4000,4150,4100,
,07/02/2018,12.96,Masur Dal,4000,4120,4100,
,16/02/2018,8.77,Masur Dal,3900,4100,4000,
,19/02/2018,8.58,Masur Dal,4000,4210,4200,
,20/02/2018,8.47,Masur Dal,4000,4120,4100,
,23/02/2018,8.77,Masur Dal,4000,4120,4100,
,24/02/2018,9.63,Masur Dal,4000,4150,4100,
,26/02/2018,6.34,Masur Dal,4000,4120,4100,
,27/02/2018,6.62,Masur Dal,4000,4120,4100,
,28/02/2018,5.33,Masur Dal,4000,4120,4100,
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Giridih,01/02/2018,4.33,Masur Dal,3900,4050,4000,
,02/02/2018,5.86,Masur Dal,3900,4010,4000,
,03/02/2018,9.25,Masur Dal,3900,4020,4000,
,05/02/2018,6.34,Masur Dal,4000,4150,4100,
,07/02/2018,12.96,Masur Dal,4000,4120,4100,
,16/02/2018,8.77,Masur Dal,3900,4100,4000,
,19/02/2018,8.58,Masur Dal,4000,4210,4200,
,20/02/2018,8.47,Masur Dal,4000,4120,4100,
,23/02/2018,8.77,Masur Dal,4000,4120,4100,
,24/02/2018,9.63,Masur Dal,4000,4150,4100,
,26/02/2018,6.34,Masur Dal,4000,4120,4100,
,27/02/2018,6.62,Masur Dal,4000,4120,4100,
,28/02/2018,5.33,Masur Dal,4000,4120,4100,
