Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Giridih,01/01/2018,9.88,Masur Dal,4000,4150,4100,
,02/01/2018,8.61,Masur Dal,4000,4130,4100,
,03/01/2018,8.62,Masur Dal,4000,4150,4100,
,04/01/2018,9.51,Masur Dal,4000,4150,4100,
,05/01/2018,13.44,Masur Dal,4000,4130,4100,
,06/01/2018,10.24,Masur Dal,4000,4125,4100,
,08/01/2018,12.35,Masur Dal,4000,4120,4100,
,09/01/2018,9.53,Masur Dal,4000,4120,4100,
,10/01/2018,6.55,Masur Dal,4000,4150,4100,
,11/01/2018,6.38,Masur Dal,4000,4120,4100,
,12/01/2018,8.56,Masur Dal,4000,4120,4100,
,17/01/2018,8.45,Masur Dal,4000,4120,4100,
,18/01/2018,10.88,Masur Dal,4000,4120,4100,
,20/01/2018,9.25,Masur Dal,4000,4120,4100,
,27/01/2018,5.88,Masur Dal,4000,4150,4100,
,29/01/2018,8.99,Masur Dal,4000,4250,4200,
,30/01/2018,5.88,Masur Dal,4000,4100,4050,
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Giridih,01/01/2018,9.88,Masur Dal,4000,4150,4100,
,02/01/2018,8.61,Masur Dal,4000,4130,4100,
,03/01/2018,8.62,Masur Dal,4000,4150,4100,
,04/01/2018,9.51,Masur Dal,4000,4150,4100,
,05/01/2018,13.44,Masur Dal,4000,4130,4100,
,06/01/2018,10.24,Masur Dal,4000,4125,4100,
,08/01/2018,12.35,Masur Dal,4000,4120,4100,
,09/01/2018,9.53,Masur Dal,4000,4120,4100,
,10/01/2018,6.55,Masur Dal,4000,4150,4100,
,11/01/2018,6.38,Masur Dal,4000,4120,4100,
,12/01/2018,8.56,Masur Dal,4000,4120,4100,
,17/01/2018,8.45,Masur Dal,4000,4120,4100,
,18/01/2018,10.88,Masur Dal,4000,4120,4100,
,20/01/2018,9.25,Masur Dal,4000,4120,4100,
,27/01/2018,5.88,Masur Dal,4000,4150,4100,
,29/01/2018,8.99,Masur Dal,4000,4250,4200,
,30/01/2018,5.88,Masur Dal,4000,4100,4050,
