Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Giridih,01/03/2018,6.56,Masur Dal,4000,4100,4050,
,07/03/2018,8.23,Masur Dal,4000,4120,4100,
,09/03/2018,9.66,Masur Dal,3990,4080,4000,
,12/03/2018,9.55,Masur Dal,4000,4230,4120,
,14/03/2018,9.88,Masur Dal,4000,4120,4100,
,16/03/2018,6.03,Masur Dal,4000,4100,4020,
,18/03/2018,8.65,Masur Dal,4000,4120,4100,
,20/03/2018,8.55,Masur Dal,4000,4120,4100,
,21/03/2018,9.65,Masur Dal,4000,4120,4100,
,23/03/2018,9.64,Masur Dal,6500,6630,6600,
,24/03/2018,10.88,Masur Dal,4000,4120,4100,
,25/03/2018,9.67,Masur Dal,4000,4080,4025,
,26/03/2018,12.35,Masur Dal,4000,4050,4020,
,27/03/2018,9.35,Masur Dal,4300,4350,4320,
,29/03/2018,8.35,Masur Dal,4250,4390,4300,
,30/03/2018,8.65,Masur Dal,4300,4480,4400,
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Giridih,01/03/2018,6.56,Masur Dal,4000,4100,4050,
,07/03/2018,8.23,Masur Dal,4000,4120,4100,
,09/03/2018,9.66,Masur Dal,3990,4080,4000,
,12/03/2018,9.55,Masur Dal,4000,4230,4120,
,14/03/2018,9.88,Masur Dal,4000,4120,4100,
,16/03/2018,6.03,Masur Dal,4000,4100,4020,
,18/03/2018,8.65,Masur Dal,4000,4120,4100,
,20/03/2018,8.55,Masur Dal,4000,4120,4100,
,21/03/2018,9.65,Masur Dal,4000,4120,4100,
,23/03/2018,9.64,Masur Dal,6500,6630,6600,
,24/03/2018,10.88,Masur Dal,4000,4120,4100,
,25/03/2018,9.67,Masur Dal,4000,4080,4025,
,26/03/2018,12.35,Masur Dal,4000,4050,4020,
,27/03/2018,9.35,Masur Dal,4300,4350,4320,
,29/03/2018,8.35,Masur Dal,4250,4390,4300,
,30/03/2018,8.65,Masur Dal,4300,4480,4400,
