Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Giridih,03/05/2018,8.65,Masur Dal,4350,4420,4400,
,07/05/2018,8.64,Masur Dal,4300,4420,4400,
,08/05/2018,6.38,Masur Dal,4300,4450,4400,
,09/05/2018,10.35,Masur Dal,4300,4350,4320,
,10/05/2018,9.95,Masur Dal,4300,4390,4320,
,11/05/2018,6.39,Masur Dal,4300,4450,4400,
,12/05/2018,6.98,Masur Dal,4300,4390,4360,
,15/05/2018,8.69,Masur Dal,4300,4420,4400,
,16/05/2018,9.67,Masur Dal,4300,4420,4400,
,17/05/2018,10.28,Masur Dal,4300,4400,4350,
,18/05/2018,9.68,Masur Dal,4300,4360,4320,
,19/05/2018,8.97,Masur Dal,4300,4480,4400,
,21/05/2018,9.37,Masur Dal,4300,4410,4400,
,22/05/2018,9.67,Masur Dal,4280,4300,4290,
,23/05/2018,9.39,Masur Dal,4300,4450,4400,
,25/05/2018,6.37,Masur Dal,4300,4390,4350,
,26/05/2018,1.64,Masur Dal,4300,4410,4400,
,29/05/2018,8.64,Masur Dal,4300,4410,4400,
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Giridih,03/05/2018,8.65,Masur Dal,4350,4420,4400,
,07/05/2018,8.64,Masur Dal,4300,4420,4400,
,08/05/2018,6.38,Masur Dal,4300,4450,4400,
,09/05/2018,10.35,Masur Dal,4300,4350,4320,
,10/05/2018,9.95,Masur Dal,4300,4390,4320,
,11/05/2018,6.39,Masur Dal,4300,4450,4400,
,12/05/2018,6.98,Masur Dal,4300,4390,4360,
,15/05/2018,8.69,Masur Dal,4300,4420,4400,
,16/05/2018,9.67,Masur Dal,4300,4420,4400,
,17/05/2018,10.28,Masur Dal,4300,4400,4350,
,18/05/2018,9.68,Masur Dal,4300,4360,4320,
,19/05/2018,8.97,Masur Dal,4300,4480,4400,
,21/05/2018,9.37,Masur Dal,4300,4410,4400,
,22/05/2018,9.67,Masur Dal,4280,4300,4290,
,23/05/2018,9.39,Masur Dal,4300,4450,4400,
,25/05/2018,6.37,Masur Dal,4300,4390,4350,
,26/05/2018,1.64,Masur Dal,4300,4410,4400,
,29/05/2018,8.64,Masur Dal,4300,4410,4400,
