Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bobbili,02/05/2017,31.6,Local,1386,1400,1390,
,03/05/2017,21,Local,1410,1450,1430,
,04/05/2017,38,Local,1599,1620,1610,
,05/05/2017,91,Kesari,1365,1700,1530,
,06/05/2017,27.4,Local,1365,1400,1380,
,07/05/2017,62.7,Local,1400,1500,1450,
,08/05/2017,75.7,Local,1400,1500,1450,
,10/05/2017,24.2,Local,1365,1390,1380,
,11/05/2017,41.7,Local,1413,1450,1430,
,13/05/2017,89.2,Local,1370,1400,1380,
,16/05/2017,22,Local,1365,1400,1380,
,17/05/2017,69,Local,1841,1860,1850,
,18/05/2017,17.8,Local,1365,1390,1380,
,19/05/2017,17,Local,1400,1450,1425,
,23/05/2017,47.5,Local,1365,1500,1435,
,25/05/2017,16.4,Local,1400,1450,1425,
,26/05/2017,21,Local,1365,1400,1385,
,27/05/2017,38.6,Local,1365,1400,1380,
,29/05/2017,7.5,Local,1365,1400,1385,
,31/05/2017,39,Local,1370,1400,1385,
Chintalapudi,01/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,02/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,03/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,04/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,05/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,06/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,07/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,08/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,09/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,10/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,11/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,12/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,13/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,14/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,15/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,16/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,17/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,18/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,19/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,20/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,21/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,22/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,23/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,24/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,25/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,26/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,27/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,28/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,29/05/2017,0.1,Hybrid/Local,1310,1365,1325,
,30/05/2017,0.1,Hybrid/Local,1310,1365,1325,
Gajapathinagaram,01/05/2017,33.9,Local,1370,1380,1370,
,02/05/2017,77.7,Local,1370,1380,1370,
,03/05/2017,11.7,Local,1370,1380,1370,
,06/05/2017,3.3,Local,1370,1380,1370,
,09/05/2017,18,Local,1370,1380,1370,
,12/05/2017,23.4,Local,1370,1380,1370,
,14/05/2017,833,Local,1370,1380,1370,
,30/05/2017,0.9,Local,1370,1380,1370,
Hiramandalam,16/05/2017,15,Hybrid,1300,1350,1300,
Ichapuram,01/05/2017,1600,Medium,1600,1700,1650,
Kothavalasa,01/05/2017,0.1,Local,1365,1375,1375,
,02/05/2017,0.1,Local,1365,1375,1375,
,03/05/2017,0.1,Local,1360,1375,1375,
,04/05/2017,0.1,Local,1365,1375,1375,
,05/05/2017,0.1,Local,1365,1375,1375,
,06/05/2017,0.1,Local,1365,1375,1375,
,07/05/2017,0.1,Local,1365,1375,1375,
,08/05/2017,0.1,Local,1365,1375,1375,
,09/05/2017,0.1,Local,1365,1375,1375,
,10/05/2017,0.1,Local,1365,1375,1375,
,11/05/2017,0.1,Local,1365,1375,1375,
,12/05/2017,0.1,Local,1365,1375,1375,
,13/05/2017,0.1,Local,1365,1375,1375,
,14/05/2017,0.1,Local,1365,1375,1375,
,15/05/2017,0.1,Local,1365,1375,1375,
,16/05/2017,0.1,Local,1365,1375,1375,
,17/05/2017,0.1,Local,1365,1375,1375,
,18/05/2017,0.1,Local,1365,1375,1375,
,19/05/2017,0.1,Local,1365,1375,1375,
,20/05/2017,0.1,Local,1365,1375,1375,
,21/05/2017,0.1,Local,1365,1375,1375,
,22/05/2017,0.1,Kesari,1365,1375,1375,
,23/05/2017,0.1,Local,1365,1375,1375,
,24/05/2017,0.1,Local,1365,1385,1375,
,25/05/2017,0.1,Local,1365,1385,1375,
,26/05/2017,0.1,Local,1365,1385,1375,
,27/05/2017,0.1,Local,1365,1385,1375,
,28/05/2017,0.1,Local,1365,1375,1375,
,29/05/2017,0.1,Local,1365,1375,1375,
,30/05/2017,0.1,Local,1365,1385,1375,
,31/05/2017,0.1,Local,1365,1385,1375,
Kurnool,02/05/2017,26.4,Local,990,1473,1452,
,03/05/2017,17.6,Local,810,1487,1415,
,04/05/2017,10.6,Local,1102,1478,1423,
,05/05/2017,15.2,Local,1310,1481,1440,
,06/05/2017,14.5,Local,1021,1473,1436,
,08/05/2017,13.2,Local,1230,1470,1412,
,09/05/2017,11.9,Local,1272,1475,1439,
,10/05/2017,2.6,Local,1230,1483,1423,
,11/05/2017,2.9,Local,1090,1463,1463,
,12/05/2017,0.8,Local,1302,1373,1373,
,13/05/2017,5.3,Local,1423,1506,1506,
,16/05/2017,8.7,Local,990,1513,1513,
,17/05/2017,4,Local,990,1521,1519,
,18/05/2017,2.4,Local,851,1527,1527,
,19/05/2017,9.8,Local,501,1528,1523,
,20/05/2017,1.9,Local,1001,1432,1432,
,23/05/2017,10.4,Local,690,1532,1532,
,26/05/2017,8.1,Local,1301,1533,1409,
,27/05/2017,3,Local,1390,1490,1430,
,29/05/2017,3.9,Local,1476,1537,1537,
,30/05/2017,2.5,Local,1452,1541,1541,
,31/05/2017,0.2,Local,910,1212,1212,
Kurupam,01/05/2017,18.6,Other,1365,1365,1365,
,04/05/2017,22,Other,1365,1365,1365,
,05/05/2017,14.6,Other,1360,1370,1365,
,06/05/2017,46.5,Other,1365,1365,1365,
,08/05/2017,40,Other,1365,1365,1365,
,09/05/2017,20,Other,1365,1365,1365,
,10/05/2017,63.6,Other,1365,1365,1365,
,15/05/2017,133,Other,1365,1385,1375,
,16/05/2017,53,Other,1365,1365,1365,
,17/05/2017,58.4,Other,1365,1365,1365,
,18/05/2017,16.1,Other,1365,1365,1365,
,19/05/2017,76.4,Other,1365,1385,1375,
,23/05/2017,39.5,Other,1365,1365,1365,
,24/05/2017,32,Other,1365,1365,1365,
,29/05/2017,45.1,Other,1365,1365,1365,
