Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Annigeri,03/02/2017,225,Local,1300,1400,1350,
,10/02/2017,144,Local,1350,1450,1400,
Arakalgud,02/02/2017,30,Local,1200,1250,1200,
,03/02/2017,88,Local,1200,1400,1200,
,04/02/2017,136,Local,1200,1300,1250,
,09/02/2017,20,Local,1200,1200,1200,
,14/02/2017,10,Local,1200,1200,1200,
,15/02/2017,2,Local,1400,1450,1400,
,17/02/2017,10,Local,1300,1300,1300,
,18/02/2017,20,Local,1250,1250,1250,
,22/02/2017,21,Local,1300,1300,1300,
,23/02/2017,41,Local,1300,1320,1300,
,24/02/2017,16,Local,1300,1300,1300,
,26/02/2017,14,Local,1300,1300,1300,
,28/02/2017,11,Local,1300,1300,1300,
Arasikere,01/02/2017,21,Local,1750,1750,1750,
,06/02/2017,16,Local,1400,1400,1400,
,07/02/2017,21,Local,1800,1800,1800,
,13/02/2017,8,Local,1300,1300,1300,
,15/02/2017,4,Local,1470,1470,1470,
Athani,01/02/2017,29,Hybrid/Local,1420,1440,1440,
,02/02/2017,46,Hybrid/Local,1400,1450,1440,
,04/02/2017,59,Hybrid/Local,1400,1450,1440,
,05/02/2017,15,Hybrid/Local,1400,1450,1450,
,06/02/2017,14,Hybrid/Local,1400,1400,1400,
,07/02/2017,67,Hybrid/Local,1400,1450,1450,
,08/02/2017,46,Hybrid/Local,1400,1450,1450,
,09/02/2017,14,Hybrid/Local,1400,1450,1450,
,12/02/2017,52,Hybrid/Local,1400,1450,1450,
,14/02/2017,60,Hybrid/Local,1300,1450,1450,
,21/02/2017,29,Hybrid/Local,1400,1450,1450,
,26/02/2017,15,Hybrid/Local,1400,1460,1450,
,27/02/2017,46,Hybrid/Local,1400,1460,1460,
,28/02/2017,15,Hybrid/Local,1300,1470,1460,
Badami,02/02/2017,16,Hybrid/Local,1490,1490,1490,
,03/02/2017,25,Hybrid/Local,1490,1490,1490,
,04/02/2017,16,Hybrid/Local,1450,1450,1450,
,07/02/2017,37,Hybrid/Local,1430,1430,1430,
,08/02/2017,19,Hybrid/Local,1430,1450,1450,
,09/02/2017,161,Hybrid/Local,1478,1478,1478,
,10/02/2017,354,Hybrid/Local,1465,1500,1500,
,14/02/2017,37,Hybrid/Local,1478,1478,1478,
,15/02/2017,232,Hybrid/Local,1465,1500,1500,
,16/02/2017,91,Hybrid/Local,1500,1500,1500,
,17/02/2017,302,Hybrid/Local,1470,1490,1480,
,18/02/2017,183,Hybrid/Local,1500,1500,1500,
,21/02/2017,441,Hybrid/Local,1489,1490,1490,
,22/02/2017,427,Hybrid/Local,1488,1490,1490,
,27/02/2017,112,Hybrid/Local,1416,1470,1470,
,28/02/2017,513,Hybrid/Local,1400,1490,1490,
Bagalakot,01/02/2017,15,Hybrid/Local,1290,1451,1427,
,02/02/2017,21,Hybrid/Local,1452,1452,1452,
,03/02/2017,11,Hybrid/Local,1415,1451,1447,
,04/02/2017,8,Hybrid/Local,1380,1455,1435,
,06/02/2017,18,Hybrid/Local,1375,1477,1440,
,07/02/2017,17,Hybrid/Local,1385,1460,1443,
,08/02/2017,3,Hybrid/Local,1350,1426,1410,
,09/02/2017,14,Hybrid/Local,1365,1456,1445,
,11/02/2017,3,Hybrid/Local,1421,1458,1449,
,13/02/2017,6,Hybrid/Local,1401,1460,1451,
,14/02/2017,10,Hybrid/Local,1422,1460,1451,
,15/02/2017,6,Hybrid/Local,1409,1460,1453,
,16/02/2017,4,Hybrid/Local,1405,1453,1431,
,17/02/2017,5,Hybrid/Local,1411,1460,1447,
,18/02/2017,2,Hybrid/Local,1415,1455,1443,
,21/02/2017,4,Hybrid/Local,1415,1425,1421,
,22/02/2017,1,Hybrid/Local,1446,1446,1446,
,23/02/2017,1,Hybrid/Local,1350,1446,1415,
,27/02/2017,22,Hybrid/Local,1350,1446,1424,
,28/02/2017,5,Hybrid/Local,1350,1450,1429,
Bagepalli,04/02/2017,41,Other,1325,1500,1400,
,06/02/2017,5,Other,1325,1500,1350,
,10/02/2017,4,Other,1325,1500,1350,
,16/02/2017,2,Other,1325,1500,1350,
,17/02/2017,2,Other,1325,1500,1350,
,18/02/2017,25,Other,1400,1650,1640,
,20/02/2017,21,Other,1400,1700,1680,
,25/02/2017,3,Other,1325,1500,1360,
,27/02/2017,21,Other,1350,1700,1680,
Bailahongal,16/02/2017,1,Hybrid/Local,1400,1480,1450,
