Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Annigeri,18/07/2017,177,Other,1502,1502,1502,
,19/07/2017,522,Local,1301,1301,1301,
,27/07/2017,5,Local,1750,1750,1750,
Arakalgud,01/07/2017,40,Local,1300,1300,1300,
,02/07/2017,12,Local,1500,1500,1500,
,13/07/2017,5,Local,1500,1560,1550,
,22/07/2017,42,Local,1400,1400,1400,
Arasikere,14/07/2017,7,Local,1600,1600,1600,
,24/07/2017,75,Local,1500,1500,1500,
Athani,01/07/2017,11,Hybrid/Local,1500,1500,1500,
,03/07/2017,8,Hybrid/Local,1500,1500,1500,
,05/07/2017,10,Hybrid/Local,1500,1500,1500,
,06/07/2017,8,Hybrid/Local,1500,1500,1500,
,09/07/2017,16,Hybrid/Local,1500,1500,1500,
,12/07/2017,10,Hybrid/Local,1500,1500,1500,
,13/07/2017,254,Hybrid/Local,1400,1500,1400,
,15/07/2017,3,Hybrid/Local,1500,1500,1500,
,18/07/2017,10,Hybrid/Local,1500,1500,1500,
,22/07/2017,10,Hybrid/Local,1500,1500,1500,
,24/07/2017,8,Hybrid/Local,1500,1500,1500,
,25/07/2017,8,Hybrid/Local,1500,1500,1500,
,26/07/2017,21,Hybrid/Local,1450,1570,1550,
,27/07/2017,9,Hybrid/Local,1500,1500,1500,
,29/07/2017,19,Hybrid/Local,1550,1550,1550,
,31/07/2017,10,Hybrid/Local,1500,1500,1500,
Badami,11/07/2017,79,Hybrid/Local,1500,1500,1500,
,17/07/2017,14,Hybrid/Local,1500,1500,1500,
,20/07/2017,74,Hybrid/Local,1500,1700,1700,
,21/07/2017,25,Hybrid/Local,1540,1540,1540,
Bagalakot,04/07/2017,3,Hybrid/Local,1480,1541,1536,
,06/07/2017,2,Hybrid/Local,1500,1530,1517,
,11/07/2017,12,Hybrid/Local,1589,1611,1604,
,12/07/2017,1,Hybrid/Local,1601,1615,1613,
,13/07/2017,1,Hybrid/Local,1550,1550,1550,
,15/07/2017,1,Hybrid/Local,1601,1601,1601,
,17/07/2017,1,Hybrid/Local,1601,1601,1601,
,18/07/2017,2,Hybrid/Local,1521,1621,1534,
,20/07/2017,1,Hybrid/Local,1550,1550,1550,
,24/07/2017,32,Hybrid/Local,1390,1501,1481,
Bagepalli,01/07/2017,16,Other,1400,1500,1450,
,06/07/2017,26,Other,1400,1500,1450,
,10/07/2017,26,Other,1400,1550,1500,
,11/07/2017,21,Other,1400,1520,1450,
,18/07/2017,24,Other,1400,1600,1520,
,25/07/2017,19,Other,625,1350,945,
Bangalore,01/07/2017,11,Hybrid/Local,1600,1800,1700,
,03/07/2017,10,Hybrid/Local,1600,1800,1700,
,04/07/2017,26,Hybrid/Local,1600,1800,1700,
,05/07/2017,50,Hybrid/Local,1600,1800,1700,
,06/07/2017,19,Hybrid/Local,1600,1800,1700,
,07/07/2017,38,Hybrid/Local,1750,1850,1800,
,10/07/2017,51,Hybrid/Local,1750,1850,1800,
,12/07/2017,34,Hybrid/Local,1750,1850,1800,
,14/07/2017,49,Hybrid/Local,1800,1900,1850,
,15/07/2017,37,Hybrid/Local,1800,1900,1850,
,17/07/2017,31,Hybrid/Local,1800,1900,1850,
,18/07/2017,70,Hybrid/Local,1800,1900,1850,
,19/07/2017,29,Hybrid/Local,1800,2000,1900,
,20/07/2017,34,Hybrid/Local,1800,2000,1900,
,21/07/2017,25,Hybrid/Local,1800,2000,1900,
,22/07/2017,21,Hybrid/Local,1800,2000,1900,
,24/07/2017,26,Hybrid/Local,1800,2000,1900,
,25/07/2017,57,Hybrid/Local,1800,2000,1900,
,26/07/2017,48,Hybrid/Local,1800,2000,1900,
,27/07/2017,38,Hybrid/Local,1800,2000,1900,
,28/07/2017,3,Hybrid/Local,1800,2000,1900,
,29/07/2017,7,Hybrid/Local,1800,2000,1900,
,31/07/2017,41,Hybrid/Local,1800,2000,1900,
Bangarpet,18/07/2017,27,Hybrid/Local,1450,1650,1550,
,24/07/2017,97,Hybrid/Local,1400,1550,1420,
Bhadravathi,01/07/2017,96,Local,1640,1653,1650,
,05/07/2017,19,Local,1700,1700,1700,
,06/07/2017,12,Local,1550,1550,1550,
,07/07/2017,55,Local,1700,1700,1700,
,11/07/2017,65,Local,1719,1719,1719,
,15/07/2017,18,Local,1710,1710,1710,
,17/07/2017,57,Local,1800,1800,1800,
,18/07/2017,19,Local,1600,1600,1600,
,20/07/2017,88,Local,1500,1500,1500,
,21/07/2017,54,Local,1450,1450,1450,
,24/07/2017,55,Local,1600,1600,1600,
,25/07/2017,50,Local,1620,1620,1620,
,29/07/2017,122,Local,1650,1650,1650,
,31/07/2017,90,Local,1765,1765,1765,
Bijapur,03/07/2017,1,Hybrid/Local,1400,1450,1425,
,04/07/2017,1,Hybrid/Local,1475,1525,1519,
,07/07/2017,1,Hybrid/Local,1455,1500,1482,
,10/07/2017,3,Hybrid/Local,1412,1500,1469,
,11/07/2017,1,Hybrid/Local,1500,1500,1500,
,12/07/2017,1,Hybrid/Local,1500,1520,1514,
,13/07/2017,3,Hybrid/Local,1420,1420,1420,
,14/07/2017,4,Hybrid/Local,1450,1500,1475,
,22/07/2017,12,Hybrid/Local,1400,1500,1450,
Chamaraj Nagar,05/07/2017,14,Local,1500,1500,1500,
,07/07/2017,12,Local,1320,1320,1320,
,15/07/2017,9,Local,1320,1320,1320,
,25/07/2017,16,Local,1380,1380,1380,
Channarayapatna,26/07/2017,7,Hybrid/Local,1300,1300,1300,
Chickkaballapura,18/07/2017,122,Local,1400,1680,1500,
,,,Sweet Corn (For Biscuits),3420,3500,3480,
Chikkamagalore,17/07/2017,5,Local,1500,1500,1500,
Chintamani,06/07/2017,3,Local,1400,1550,1500,
,14/07/2017,3,Local,1450,1650,1600,
Chitradurga,10/07/2017,54,Local,1705,1705,1705,
,12/07/2017,30,Local,1725,1725,1725,
,17/07/2017,22,Local,1586,1745,1738,
,21/07/2017,27,Local,1720,1725,1723,
,28/07/2017,17,Local,1690,1690,1690,
,31/07/2017,7,Local,1586,1586,1586,
Davangere,01/07/2017,19,Local,1610,1625,1620,
,05/07/2017,52,Local,1620,1630,1626,
,13/07/2017,120,Local,1450,1720,1585,
,15/07/2017,80,Local,1700,1700,1700,
,17/07/2017,122,Local,1650,1835,1682,
,18/07/2017,107,Local,1680,1790,1700,
,19/07/2017,160,Local,1680,1680,1680,
,20/07/2017,165,Local,1700,1700,1700,
,21/07/2017,100,Local,1700,1700,1700,
,22/07/2017,59,Local,1650,1835,1747,
,24/07/2017,165,Local,1550,1700,1620,
,25/07/2017,30,Local,1700,1700,1700,
,26/07/2017,125,Local,1685,1750,1700,
,28/07/2017,50,Local,1750,1750,1750,
,29/07/2017,100,Local,1680,1700,1690,
,31/07/2017,81,Local,1570,1660,1600,
Dharwar,13/07/2017,7,Local,1650,1650,1650,
,15/07/2017,5,Local,1650,1650,1650,
,17/07/2017,1,Local,1650,1650,1650,
,19/07/2017,8,Local,1700,1700,1700,
,20/07/2017,13,Local,1500,1500,1500,
,26/07/2017,57,Local,1700,1700,1700,
Doddaballa Pur,11/07/2017,12,Sweet Corn (For Biscuits),5000,5000,5000,
,14/07/2017,58,Local,1500,1600,1550,
,19/07/2017,10,Sweet Corn (For Biscuits),5000,5000,5000,
,20/07/2017,42,Local,1600,1700,1650,
,26/07/2017,2,Sweet Corn (For Biscuits),5201,5201,5201,
,27/07/2017,78,Local,1700,1800,1750,
Gangavathi,24/07/2017,4,Local,1550,1550,1550,
Gokak,03/07/2017,19,Local,1585,1585,1585,
,04/07/2017,17,Local,1670,1670,1670,
,05/07/2017,80,Local,1670,1730,1670,
,06/07/2017,31,Local,1670,1670,1670,
,11/07/2017,15,Local,1574,1585,1574,
,13/07/2017,60,Local,1700,1700,1700,
,14/07/2017,18,Local,1500,1700,1500,
,20/07/2017,58,Local,1680,1680,1680,
,21/07/2017,20,Local,1500,1500,1500,
,24/07/2017,10,Local,1500,1500,1500,
,27/07/2017,10,Local,1500,1500,1500,
,28/07/2017,34,Local,1500,1600,1500,
