Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Annigeri,03/10/2017,166,Yellow,1817,1817,1817,
,04/10/2017,162,Local,1816,1816,1816,
,17/10/2017,440,Yellow,1864,1864,1864,
,23/10/2017,184,Local,1864,1864,1864,
,26/10/2017,175,Local,1300,1400,1350,
Arakalgud,03/10/2017,16,Local,1100,1100,1100,
,04/10/2017,48,Local,1100,1250,1250,
,05/10/2017,16,Local,1200,1200,1200,
,07/10/2017,261,Local,1000,1100,1100,
,08/10/2017,61,Local,1100,1200,1100,
,10/10/2017,78,Local,1000,1200,1000,
,11/10/2017,104,Local,1000,1200,1110,
,12/10/2017,47,Local,950,1200,973,
,13/10/2017,46,Local,900,1200,930,
,16/10/2017,70,Local,900,1200,1110,
,17/10/2017,48,Local,900,1200,1167,
,19/10/2017,20,Local,900,1200,1075,
,21/10/2017,36,Local,900,1400,1325,
,23/10/2017,73,Local,1100,1500,1200,
,24/10/2017,135,Local,1000,1500,1088,
,25/10/2017,43,Local,900,1200,1060,
,26/10/2017,180,Local,900,1400,1280,
,27/10/2017,135,Local,1000,1450,1307,
,28/10/2017,79,Local,900,1430,1100,
,29/10/2017,120,Local,900,1200,1060,
,30/10/2017,68,Local,900,1200,1066,
,31/10/2017,143,Local,900,1200,1100,
Arasikere,23/10/2017,25,Local,1460,1460,1460,
,25/10/2017,33,Local,1358,1450,1450,
,26/10/2017,18,Local,1350,1350,1350,
,28/10/2017,57,Local,1154,1370,1320,
,30/10/2017,77,Local,1153,1335,1250,
,31/10/2017,56,Local,1150,1380,1375,
Athani,03/10/2017,10,Hybrid/Local,1300,1500,1400,
,04/10/2017,5,Hybrid/Local,1290,1400,1300,
,07/10/2017,10,Hybrid/Local,1280,1500,1300,
,15/10/2017,14,Hybrid/Local,1300,1400,1350,
,16/10/2017,10,Hybrid/Local,1390,1450,1400,
,17/10/2017,19,Hybrid/Local,1300,1350,1310,
,19/10/2017,31,Hybrid/Local,1300,3150,1310,
,21/10/2017,79,Hybrid/Local,1300,1350,1320,
,22/10/2017,4,Hybrid/Local,1350,1400,1380,
,23/10/2017,16,Hybrid/Local,1280,1300,1290,
,24/10/2017,2,Hybrid/Local,1300,1350,1340,
,25/10/2017,78,Hybrid/Local,1325,1350,1330,
,26/10/2017,21,Hybrid/Local,1300,1400,1320,
,28/10/2017,160,Hybrid/Local,1280,1300,1295,
,29/10/2017,5,Hybrid/Local,1250,1320,1300,
,30/10/2017,53,Hybrid/Local,1200,1300,1300,
,31/10/2017,39,Hybrid/Local,1210,1310,1300,
