Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalpur,05/07/2016,7,Other,1450,1550,1500,
,28/07/2016,2,Other,1600,1650,1625,
Aheri,14/07/2016,3,Other,1350,1350,1350,
,28/07/2016,2,Other,1350,1350,1350,
Akluj,21/07/2016,4,Yellow,1750,1750,1750,
,23/07/2016,11,Yellow,1700,1790,1790,
Amalner,05/07/2016,2,Deshi Red,1662,1662,1662,
,07/07/2016,5,Deshi Red,1725,1725,1725,
Baramati,06/07/2016,29,Deshi Red,1400,1995,1800,
Barshi,01/07/2016,3,Other,1500,1700,1700,
,07/07/2016,2,Other,1650,1861,1750,
,23/07/2016,2,Other,1600,1800,1800,
,29/07/2016,4,Other,1850,1850,1850,
Barshi(Vairag),22/07/2016,5,Other,1750,1750,1750,
Bhokardan,02/07/2016,2,Yellow,1575,1575,1575,
,03/07/2016,5,Yellow,1600,1625,1615,
,09/07/2016,4,Yellow,1620,1640,1630,
,10/07/2016,1,Yellow,1575,1610,1575,
,11/07/2016,1,Yellow,1610,1610,1610,
,16/07/2016,2,Yellow,1550,1600,1575,
,19/07/2016,2,Yellow,1550,1610,1600,
,23/07/2016,2,Yellow,1600,1630,1600,
,24/07/2016,1,Yellow,1600,1630,1610,
,30/07/2016,2,Yellow,1590,1625,1610,
,31/07/2016,1,Yellow,1610,1610,1610,
Bhokardan(Pimpalgaon Renu),05/07/2016,2,Yellow,1500,1525,1515,
,12/07/2016,1,Yellow,1610,1625,1620,
,26/07/2016,2,Yellow,1590,1650,1610,
Buldhana,04/07/2016,60,Yellow,1500,1750,1600,
,05/07/2016,30,Yellow,1500,1650,1560,
,19/07/2016,10,Yellow,1500,1700,1600,
,20/07/2016,30,Yellow,1500,1700,1600,
,21/07/2016,3,Yellow,1650,1700,1675,
,23/07/2016,10,Yellow,1500,1700,1600,
,24/07/2016,45,Yellow,1500,1700,1600,
,25/07/2016,13,Yellow,1500,1700,1600,
,27/07/2016,18,Yellow,1500,1700,1600,
,28/07/2016,36,Yellow,1500,1700,1600,
,30/07/2016,8,Yellow,1500,1700,1600,
,31/07/2016,15,Yellow,1400,1600,1500,
Buldhana(Dhad),01/07/2016,18,Yellow,1400,1600,1500,
,08/07/2016,6,Yellow,1400,1600,1500,
,22/07/2016,1,Yellow,1500,1600,1550,
,24/07/2016,5,Yellow,1470,1670,1500,
,27/07/2016,2,Yellow,1500,1700,1600,
,29/07/2016,2,Yellow,1400,1600,1500,
,31/07/2016,6,Yellow,1500,1700,1600,
Chalisgaon,05/07/2016,2,Yellow,1600,1840,1700,
,07/07/2016,2,Yellow,1600,1700,1650,
Chikali,04/07/2016,1,Deshi Red,1335,1505,1420,
,29/07/2016,1,Deshi Red,1475,1575,1525,
Deoulgaon Raja,25/07/2016,1,Other,1600,1726,1600,
,30/07/2016,1,Other,1750,1800,1752,
Devala,07/07/2016,1,Yellow,1736,1760,1751,
Dhadgaon,05/07/2016,1,Other,1350,1400,1375,
,09/07/2016,1,Other,1400,1500,1450,
,13/07/2016,1,Other,1450,1500,1475,
,14/07/2016,1,Other,1450,1500,1475,
,18/07/2016,1,Other,1450,1500,1475,
,19/07/2016,1,Other,1450,1500,1475,
,20/07/2016,1,Other,1450,1500,1475,
,22/07/2016,2,Other,1400,1450,1425,
,25/07/2016,2,Other,1500,1550,1525,
,26/07/2016,1,Other,1450,1500,1475,
,27/07/2016,1,Other,1450,1500,1475,
