Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalpur,23/05/2016,1,Other,1350,1400,1375,
Aheri,05/05/2016,3,Other,1350,1350,1350,
,06/05/2016,3,Other,1350,1350,1350,
,19/05/2016,5,Other,1350,1350,1350,
Ahmednagar,08/05/2016,2,Other,1550,1550,1550,
,11/05/2016,1,Other,1511,1511,1511,
,12/05/2016,2,Other,1475,1475,1475,
,13/05/2016,3,Other,2007,2007,2007,
,16/05/2016,2,Other,1800,2007,1900,
,23/05/2016,6,Other,1500,1500,1500,
,24/05/2016,1,Other,1475,1475,1475,
,26/05/2016,3,Other,1550,1650,1600,
Akluj,07/05/2016,15,Yellow,1521,1525,1525,
,17/05/2016,2,Yellow,1551,1551,1551,
,19/05/2016,26,Yellow,1500,1500,1500,
,25/05/2016,1,Yellow,1520,1520,1520,
Akola,05/05/2016,1,Yellow,1330,1330,1330,
,12/05/2016,3,Yellow,1590,1600,1595,
,13/05/2016,1,Yellow,1330,1330,1330,
Amalner,10/05/2016,124,Deshi Red,1376,1400,1400,
,26/05/2016,150,Deshi Red,1376,1462,1462,
,28/05/2016,95,Deshi Red,1400,1490,1490,
,30/05/2016,105,Deshi Red,1443,1500,1500,
,31/05/2016,15,Deshi Red,1400,1517,1450,
Amarawati,12/05/2016,3,Other,1350,1450,1400,
,31/05/2016,3,Other,1350,1450,1400,
Ausa,19/05/2016,1,Other,1531,1615,1551,
Baramati,02/05/2016,39,Deshi Red,1520,1591,1571,
,05/05/2016,52,Deshi Red,1520,1600,1575,
,09/05/2016,57,Deshi Red,1521,1595,1555,
,16/05/2016,37,Deshi Red,1475,1577,1565,
,19/05/2016,33,Deshi Red,1475,1572,1560,
,23/05/2016,15,Other,1450,1576,1550,
,26/05/2016,30,Deshi Red,1530,1623,1606,
,30/05/2016,16,Deshi Red,1600,1631,1610,
Barshi,02/05/2016,1,Other,1431,1431,1431,
,05/05/2016,6,Other,1511,1511,1511,
,07/05/2016,2,Other,1425,1450,1425,
,10/05/2016,1,Other,1507,1525,1510,
,11/05/2016,1,Other,1500,1525,1510,
,12/05/2016,6,Other,1500,1900,1800,
,16/05/2016,6,Other,1850,1900,1880,
,19/05/2016,1,Other,1475,1475,1475,
,27/05/2016,2,Other,1500,1600,1575,
,28/05/2016,4,Other,1525,1525,1525,
Barshi(Vairag),23/05/2016,5,Other,1401,1521,1481,
,27/05/2016,2,Other,1475,1501,1501,
Beed,05/05/2016,1,Other,1458,1458,1458,
,25/05/2016,1,Other,1500,1500,1500,
Bhokardan,01/05/2016,7,Yellow,1400,1450,1425,
,02/05/2016,4,Yellow,1400,1450,1425,
,03/05/2016,5,Yellow,1400,1450,1425,
,04/05/2016,4,Yellow,1400,1450,1425,
,05/05/2016,6,Yellow,1400,1450,1425,
,06/05/2016,5,Yellow,1400,1450,1425,
,08/05/2016,18,Yellow,1400,1450,1425,
,09/05/2016,9,Yellow,1400,1450,1425,
,10/05/2016,3,Yellow,1400,1450,1425,
,11/05/2016,6,Yellow,1400,1450,1425,
,12/05/2016,4,Yellow,1400,1450,1425,
,14/05/2016,6,Yellow,1400,1450,1425,
,15/05/2016,10,Yellow,1400,1450,1425,
,16/05/2016,2,Yellow,1400,1450,1425,
,17/05/2016,2,Yellow,1400,1450,1425,
,18/05/2016,4,Yellow,1400,1450,1425,
,19/05/2016,2,Yellow,1400,1450,1425,
,20/05/2016,4,Yellow,1400,1450,1425,
,21/05/2016,9,Yellow,1400,1450,1425,
,22/05/2016,14,Yellow,1400,1450,1425,
,24/05/2016,2,Yellow,1400,1450,1425,
,25/05/2016,1,Yellow,1400,1450,1425,
,26/05/2016,4,Yellow,1400,1450,1425,
,27/05/2016,2,Yellow,1400,1450,1425,
,28/05/2016,10,Yellow,1400,1450,1425,
,30/05/2016,5,Yellow,1400,1425,1425,
Bhokardan(Pimpalgaon Renu),03/05/2016,4,Yellow,1400,1450,1425,
,10/05/2016,3,Yellow,1400,1450,1425,
,17/05/2016,3,Yellow,1400,1450,1425,
,24/05/2016,1,Yellow,1400,1450,1425,
,31/05/2016,4,Yellow,1400,1400,1400,
Bhusaval,23/05/2016,4,Yellow,1325,1375,1350,
,28/05/2016,1,Yellow,1350,1350,1350,
Chalisgaon,02/05/2016,95,Yellow,1360,1465,1400,
,03/05/2016,90,Yellow,1350,1460,1400,
,12/05/2016,68,Yellow,1350,1460,1400,
,18/05/2016,67,Yellow,1353,1456,1411,
,24/05/2016,52,Yellow,1350,1480,1400,
,25/05/2016,27,Yellow,1450,1476,1465,
,26/05/2016,28,Yellow,1400,1475,1450,
,27/05/2016,29,Yellow,1454,1480,1471,
,30/05/2016,17,Yellow,1450,1480,1460,
,31/05/2016,28,Yellow,1400,1521,1460,
Chopada,24/05/2016,51,Deshi Red,1336,1459,1421,
,26/05/2016,15,Deshi Red,1410,1462,1450,
,30/05/2016,15,Deshi Red,1342,1551,1472,
Deoulgaon Raja,10/05/2016,14,Other,1350,1426,1350,
,24/05/2016,8,Other,1375,1400,1400,
,25/05/2016,1,Other,1400,1400,1400,
,31/05/2016,2,Other,1350,1400,1350,
Devala,02/05/2016,3,Yellow,1406,1420,1415,
,11/05/2016,1,Yellow,1340,1370,1345,
,18/05/2016,1,Yellow,1425,1436,1429,
,19/05/2016,1,Yellow,1434,1436,1434,
,20/05/2016,1,Yellow,1420,1434,1434,
,25/05/2016,1,Yellow,1439,1462,1442,
,26/05/2016,1,Yellow,1381,1440,1432,
,27/05/2016,1,Yellow,1426,1471,1471,
Dharangaon,03/05/2016,3,Yellow,1389,1398,1395,
,19/05/2016,1,Yellow,1375,1400,1385,
Dharni,01/05/2016,5,Yellow,1450,1550,1500,
,28/05/2016,15,Deshi White,1400,1500,1450,
,30/05/2016,12,Deshi White,1400,1500,1450,
Dhule,19/05/2016,178,Yellow,1350,1525,1490,
,20/05/2016,136,Yellow,1341,1530,1485,
,23/05/2016,144,Yellow,1350,1510,1490,
,25/05/2016,78,Yellow,1400,1499,1450,
,26/05/2016,101,Yellow,1390,1515,1495,
,27/05/2016,35,Yellow,1420,1510,1491,
,30/05/2016,61,Yellow,1361,1525,1490,
,31/05/2016,73,Yellow,1416,1530,1485,
Dondaicha,18/05/2016,31,Deshi White,1733,1733,1733,
,30/05/2016,10,Deshi White,1325,1500,1500,
