Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aatpadi,04/02/2017,2,Other,1380,1420,1400,
,05/02/2017,9,Other,1380,1420,1400,
Achalpur,02/02/2017,15,Other,1280,1500,1390,
,07/02/2017,1,Other,1375,1400,1388,
,09/02/2017,25,Other,1300,1500,1400,
,10/02/2017,1,Other,1375,1425,1400,
,16/02/2017,45,Other,1375,1500,1437,
,20/02/2017,1,Other,1375,1425,1400,
,24/02/2017,3,Other,1380,1400,1390,
Aheri,14/02/2017,2,Other,1500,1500,1500,
Ahmednagar,04/02/2017,7,Other,1385,1425,1415,
,07/02/2017,1,Other,1425,1425,1425,
,08/02/2017,2,Other,1400,1400,1400,
,09/02/2017,2,Other,1400,1400,1400,
,10/02/2017,9,Other,1365,1365,1365,
,11/02/2017,3,Other,1375,1375,1375,
,15/02/2017,3,Other,1350,1350,1350,
,17/02/2017,1,Other,1325,1325,1325,
,21/02/2017,1,Other,1425,1425,1425,
,28/02/2017,3,Other,1300,1300,1300,
Ahmedpur,22/02/2017,1,Other,1200,1300,1250,
Akkalkuwa,02/02/2017,3,Other,1236,1250,1245,
,03/02/2017,3,Other,1233,1250,1240,
,06/02/2017,2,Other,1240,1250,1246,
,07/02/2017,3,Other,1240,1250,1247,
,08/02/2017,11,Other,1260,1300,1280,
,09/02/2017,5,Other,1240,1250,1244,
,11/02/2017,1,Other,1240,1250,1245,
Akluj,01/02/2017,8,Yellow,1380,1380,1380,
,02/02/2017,7,Yellow,1370,1420,1400,
,04/02/2017,5,Yellow,1370,1420,1400,
,06/02/2017,4,Yellow,1420,1440,1420,
,07/02/2017,6,Yellow,1400,1420,1400,
Akola,02/02/2017,1,Yellow,1715,1715,1715,
,07/02/2017,2,Yellow,1400,1750,1575,
,08/02/2017,1,Yellow,1725,1725,1725,
,10/02/2017,1,Yellow,1525,1750,1635,
,13/02/2017,2,Yellow,1425,1750,1590,
,14/02/2017,1,Yellow,1800,1800,1800,
,15/02/2017,1,Yellow,1400,1800,1600,
Amalner,01/02/2017,40,Deshi Red,1199,1389,1389,
,03/02/2017,50,Deshi Red,1000,1382,1382,
,04/02/2017,30,Deshi Red,1100,1375,1375,
,06/02/2017,40,Deshi Red,1120,1359,1359,
,07/02/2017,40,Deshi Red,1048,1380,1380,
,08/02/2017,30,Deshi Red,1137,1327,1327,
,09/02/2017,30,Deshi Red,1162,1357,1357,
,10/02/2017,35,Deshi Red,1104,1390,1390,
,11/02/2017,35,Deshi Red,1051,1324,1324,
,13/02/2017,40,Deshi Red,1000,1368,1368,
,14/02/2017,40,Deshi Red,1100,1352,1352,
,15/02/2017,40,Deshi Red,1069,1360,1360,
,17/02/2017,40,Deshi Red,1100,1336,1336,
,21/02/2017,30,Deshi Red,1150,1373,1373,
,22/02/2017,25,Deshi Red,1181,1383,1383,
,23/02/2017,15,Deshi Red,1100,1346,1346,
,27/02/2017,30,Deshi Red,1153,1350,1350,
Amarawati,03/02/2017,13,Other,1275,1350,1313,
,16/02/2017,1,Other,1250,1325,1288,
,17/02/2017,1,Other,1300,1400,1350,
Aurangabad,01/02/2017,34,Yellow,1290,1325,1307,
,03/02/2017,44,Yellow,1270,1340,1305,
,04/02/2017,86,Yellow,1280,1325,1303,
,06/02/2017,58,Yellow,1250,1321,1286,
,07/02/2017,81,Yellow,1270,1330,1300,
,08/02/2017,22,Yellow,1270,1325,1298,
,09/02/2017,75,Deshi Red,1290,1320,1305,
,10/02/2017,73,Yellow,1290,1350,1320,
,11/02/2017,5,Yellow,1305,1305,1305,
,13/02/2017,31,Yellow,1300,1325,1312,
,14/02/2017,57,Yellow,1285,1315,1300,
,15/02/2017,74,Yellow,1281,1312,1296,
,17/02/2017,55,Yellow,1280,1345,1313,
,21/02/2017,10,Yellow,1250,1300,1275,
,22/02/2017,21,Yellow,1250,1350,1300,
,23/02/2017,45,Yellow,1250,1300,1275,
,27/02/2017,20,Yellow,1270,1300,1285,
,28/02/2017,37,Yellow,1280,1325,1303,
Ausa,05/02/2017,1,Other,1200,1365,1301,
,09/02/2017,2,Other,1200,1350,1301,
Baramati,06/02/2017,107,Deshi Red,1365,1441,1421,
,09/02/2017,119,Deshi Red,1300,1451,1425,
,13/02/2017,107,Deshi Red,1301,1421,1405,
,20/02/2017,30,Deshi Red,1336,1385,1351,
,27/02/2017,48,Deshi Red,1350,1421,1400,
Beed,10/02/2017,1,Other,1375,1375,1375,
Bhokardan,01/02/2017,12,Yellow,1300,1350,1330,
,02/02/2017,13,Yellow,1300,1325,1315,
,03/02/2017,10,Yellow,1300,1325,1315,
,04/02/2017,66,Yellow,1310,1325,1320,
,05/02/2017,72,Yellow,1310,1325,1320,
,06/02/2017,20,Yellow,1300,1325,1315,
,07/02/2017,12,Yellow,1300,1325,1315,
,08/02/2017,10,Yellow,1300,1325,1315,
,09/02/2017,18,Yellow,1300,1325,1315,
,10/02/2017,6,Yellow,1300,1325,1315,
,11/02/2017,23,Yellow,1300,1325,1315,
,12/02/2017,6,Yellow,1300,1325,1315,
