Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ahmednagar,04/10/2017,4,Other,1301,1301,1301,
,10/10/2017,14,Other,1381,1750,1565,
,11/10/2017,8,Other,1300,1500,1400,
,12/10/2017,2,Other,1200,1200,1200,
,13/10/2017,2,Other,1200,1300,1250,
,17/10/2017,5,Other,1200,1300,1250,
,23/10/2017,7,Other,1250,1551,1400,
,25/10/2017,3,Other,1151,1151,1151,
,26/10/2017,4,Other,1200,1250,1250,
,30/10/2017,7,Other,1100,1300,1200,
Akkalkuwa,23/10/2017,8,Other,900,1250,1150,
,25/10/2017,5,Other,950,1300,1170,
,26/10/2017,10,Other,910,1325,1280,
Akluj,07/10/2017,6,Yellow,1350,1350,1350,
,10/10/2017,9,Yellow,1320,1320,1320,
,12/10/2017,10,Yellow,1350,1370,1370,
,24/10/2017,13,Yellow,1300,1300,1300,
,26/10/2017,1,Yellow,1275,1275,1275,
Akola,03/10/2017,2,Yellow,1300,1300,1300,
,12/10/2017,2,Yellow,1250,1350,1300,
Akot,04/10/2017,17,Deshi White,2245,2650,2600,
,11/10/2017,5,Deshi White,900,985,950,
Amalner,03/10/2017,5,Deshi Red,990,1220,1100,
,04/10/2017,2,Deshi Red,908,1021,1021,
,05/10/2017,20,Deshi Red,951,1250,1250,
,06/10/2017,4,Deshi Red,860,1251,1251,
,07/10/2017,5,Deshi Red,911,1121,1121,
,09/10/2017,5,Deshi Red,950,1265,1265,
,10/10/2017,3,Deshi Red,941,1251,1251,
,11/10/2017,4,Deshi Red,888,1087,1087,
,12/10/2017,15,Deshi Red,700,1086,1086,
,13/10/2017,30,Deshi Red,900,1300,1300,
,14/10/2017,6,Deshi Red,974,1248,1248,
,16/10/2017,10,Deshi Red,2700,4507,4507,
,23/10/2017,70,Deshi Red,801,1292,1292,
,24/10/2017,90,Deshi Red,900,1171,1171,
,25/10/2017,100,Deshi Red,850,1336,1336,
,26/10/2017,130,Deshi Red,906,1204,1204,
,27/10/2017,100,Deshi Red,940,1160,1160,
,28/10/2017,100,Deshi Red,951,1300,1300,
,30/10/2017,100,Deshi Red,851,1260,1260,
Ambad (Vadigodri),12/10/2017,2,Deshi Red,901,1350,1100,
,23/10/2017,4,Deshi Red,700,1002,800,
,24/10/2017,2,Deshi Red,745,881,745,
,25/10/2017,1,Deshi Red,759,759,759,
,26/10/2017,2,Deshi Red,781,1400,880,
,30/10/2017,6,Deshi Red,755,1105,950,
Aurangabad,12/10/2017,3,Yellow,1300,1300,1300,
,16/10/2017,6,Yellow,760,870,810,
,17/10/2017,6,Yellow,911,911,911,
,23/10/2017,14,Yellow,850,1041,940,
,24/10/2017,27,Yellow,921,1025,975,
,25/10/2017,35,Yellow,950,1050,1000,
,26/10/2017,47,Yellow,950,1010,976,
,28/10/2017,64,Yellow,900,1125,1005,
,30/10/2017,56,Yellow,850,1100,950,
,31/10/2017,93,Yellow,930,1175,1035,
Baramati,05/10/2017,2,Deshi Red,1111,1411,1350,
,,,Other,1151,1301,1301,
,23/10/2017,89,Deshi Red,1000,1331,1261,
,26/10/2017,248,Deshi Red,1000,1280,1211,
Beed,13/10/2017,2,Other,1285,1285,1285,
,23/10/2017,1,Other,1191,1191,1191,
,25/10/2017,1,Other,1326,1326,1326,
Bhokar,04/10/2017,2,Other,1150,1150,1150,
Bhokardan,02/10/2017,6,Yellow,1210,1230,1220,
,07/10/2017,2,Yellow,1070,1130,1110,
,09/10/2017,2,Yellow,1420,1450,1430,
,14/10/2017,4,Yellow,1390,1425,1410,
,16/10/2017,4,Yellow,1390,1425,1400,
,21/10/2017,3,Yellow,1050,1150,1100,
,23/10/2017,1,Yellow,1390,1425,1400,
,28/10/2017,5,Yellow,980,1050,1000,
,29/10/2017,11,Yellow,990,1050,1010,
Bhokardan(Pimpalgaon Renu),03/10/2017,1,Yellow,1425,1450,1440,
,17/10/2017,3,Yellow,1350,1410,1400,
,24/10/2017,1,Yellow,1380,1425,1400,
,31/10/2017,2,Yellow,1000,1210,1050,
Buldhana,01/10/2017,8,Yellow,1200,1300,1250,
,03/10/2017,14,Yellow,1100,1300,1250,
,04/10/2017,23,Yellow,1275,1350,1300,
,05/10/2017,15,Yellow,1250,1325,1275,
,07/10/2017,24,Yellow,1200,1300,1250,
,08/10/2017,10,Yellow,1000,1300,1200,
,12/10/2017,8,Yellow,900,1250,1200,
,14/10/2017,7,Yellow,900,1300,1200,
,15/10/2017,6,Yellow,1000,1300,1150,
,24/10/2017,3,Yellow,1100,1300,1250,
,30/10/2017,7,Yellow,900,1200,1200,
,31/10/2017,12,Yellow,900,1200,1200,
Buldhana(Dhad),01/10/2017,2,Yellow,1200,1350,1300,
,04/10/2017,1,Yellow,1100,1250,1200,
,08/10/2017,2,Yellow,1100,1255,1150,
,09/10/2017,1,Yellow,1000,1150,1100,
,13/10/2017,2,Yellow,1000,1150,1125,
,15/10/2017,1,Yellow,1100,1200,1150,
,25/10/2017,2,Yellow,1000,1150,1100,
,27/10/2017,2,Yellow,1100,1200,1150,
Chakur,09/10/2017,1,Deshi Red,1170,1170,1170,
Chalisgaon,03/10/2017,25,Yellow,731,1231,1200,
,04/10/2017,34,Yellow,881,1201,991,
,09/10/2017,109,Yellow,852,1250,1166,
,10/10/2017,28,Yellow,600,1200,900,
,11/10/2017,33,Yellow,700,1200,900,
,18/10/2017,14,Yellow,800,1200,1150,
,23/10/2017,286,Yellow,900,1250,1200,
,24/10/2017,420,Yellow,850,1260,1150,
,25/10/2017,410,Yellow,1100,1260,1150,
Chandvad,24/10/2017,55,Deshi Red,1050,1221,1160,
,26/10/2017,82,Deshi Red,900,1274,1170,
,27/10/2017,40,Deshi Red,900,1242,1160,
,31/10/2017,100,Deshi Red,983,1191,1130,
Chopada,03/10/2017,20,Deshi Red,893,1200,1051,
,04/10/2017,20,Deshi Red,965,1200,1065,
,05/10/2017,28,Deshi Red,917,1021,1021,
,06/10/2017,25,Deshi Red,874,1052,1030,
,07/10/2017,28,Deshi Red,900,1000,1000,
,09/10/2017,8,Deshi Red,920,974,974,
,13/10/2017,15,Deshi Red,846,1231,955,
,23/10/2017,221,Deshi Red,953,1192,1071,
,24/10/2017,275,Deshi Red,901,1212,1051,
,25/10/2017,240,Deshi Red,901,1132,1049,
,26/10/2017,260,Deshi Red,896,1075,1049,
,28/10/2017,214,Deshi Red,700,1070,1021,
,30/10/2017,223,Deshi Red,735,1125,1009,
Deoulgaon Raja,05/10/2017,1,Yellow,775,1100,800,
,06/10/2017,1,Yellow,750,1200,750,
,09/10/2017,1,Other,600,800,600,
,13/10/2017,1,Yellow,682,700,700,
,16/10/2017,3,Yellow,500,1000,650,
,17/10/2017,1,Yellow,600,800,600,
,18/10/2017,1,Yellow,700,850,700,
,20/10/2017,1,Yellow,751,1000,800,
,26/10/2017,2,Yellow,850,1100,1000,
,30/10/2017,8,Other,850,850,850,
,31/10/2017,4,Other,926,1000,950,
Devala,03/10/2017,3,Yellow,1181,1312,1312,
,04/10/2017,6,Yellow,925,1312,1218,
,05/10/2017,8,Yellow,930,1101,1031,
,06/10/2017,8,Yellow,878,881,881,
,09/10/2017,8,Yellow,848,1150,1000,
,16/10/2017,3,Yellow,1100,1100,1100,
,17/10/2017,2,Yellow,953,953,953,
,23/10/2017,25,Yellow,950,1176,1111,
,24/10/2017,40,Yellow,991,1250,1191,
,25/10/2017,25,Yellow,1000,1226,1190,
,26/10/2017,13,Yellow,991,1260,1025,
,27/10/2017,13,Yellow,1050,1223,1135,
,30/10/2017,45,Yellow,950,1190,1100,
,31/10/2017,53,Yellow,926,1192,1151,
Dhadgaon,03/10/2017,1,Other,1200,1250,1225,
,04/10/2017,1,Other,1250,1300,1250,
,05/10/2017,1,Other,1200,1250,1225,
,09/10/2017,1,Other,1100,1150,1125,
,11/10/2017,1,Other,1050,1100,1075,
,21/10/2017,2,Other,1100,1150,1125,
,23/10/2017,2,Other,1100,1200,1150,
,24/10/2017,2,Other,1100,1150,1125,
,25/10/2017,2,Other,100,1100,1050,
,27/10/2017,2,Other,1000,1100,1050,
Dharangaon,03/10/2017,6,Yellow,1191,1310,1200,
,04/10/2017,4,Yellow,1100,1210,1125,
,05/10/2017,7,Yellow,925,1175,1125,
,06/10/2017,9,Yellow,950,1110,1050,
,07/10/2017,9,Yellow,950,1175,1025,
,10/10/2017,9,Yellow,910,1220,1080,
,11/10/2017,5,Yellow,910,1190,1120,
,24/10/2017,8,Yellow,985,1225,1125,
,25/10/2017,5,Yellow,1010,1225,1165,
Dharni,01/10/2017,5,Deshi White,1300,1400,1350,
,13/10/2017,22,Yellow,1400,1500,1450,
,16/10/2017,10,Yellow,1300,1400,1350,
,17/10/2017,5,Yellow,1400,1500,1450,
