Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ajmer (Grain),01/08/2016,2.2,Other,1910,1910,1910,
,17/08/2016,5,Other,1300,1300,1300,
,18/08/2016,0.8,Other,1800,1800,1800,
,26/08/2016,2.4,Other,1750,1750,1750,
,29/08/2016,36.4,Other,1700,1800,1795,
,30/08/2016,15,Other,1600,1600,1600,
Aklera,16/08/2016,1,Other,1500,1525,1512,
,30/08/2016,1,Other,1500,1530,1515,
Alwar,04/08/2016,1.9,Other,1650,1700,1675,
,08/08/2016,15,Other,1650,1700,1675,
,09/08/2016,12.7,Other,1800,2000,1900,
,11/08/2016,24.9,Other,1650,1800,1725,
,13/08/2016,29.6,Other,1600,1700,1675,
,24/08/2016,23.8,Other,1530,1560,1550,
,25/08/2016,6,Other,1500,1560,1530,
,26/08/2016,3,Other,1525,1575,1550,
,27/08/2016,6,Other,1520,1560,1540,
,30/08/2016,13.1,Other,1500,1550,1525,
Atru,04/08/2016,0.6,Fine,1550,1550,1550,
,05/08/2016,0.9,Fine,1521,1628,1574,
,06/08/2016,0.1,Fine,1601,1601,1601,
,10/08/2016,0.1,Fine,1541,1541,1541,
,16/08/2016,0.3,Fine,1451,1548,1499,
Atru(Kawai Salpura),16/08/2016,0.1,Other,1551,1551,1551,
Bandikui,06/08/2016,0.1,Other,1590,1590,1590,
,08/08/2016,0.1,Other,1625,1625,1625,
,21/08/2016,0.1,Other,1855,1855,1855,
Baran,03/08/2016,0.5,Other,1499,1499,1499,
,06/08/2016,0.9,Other,1400,1400,1400,
,10/08/2016,0.5,Other,1575,1625,1625,
,11/08/2016,0.5,Other,1601,1601,1601,
,13/08/2016,0.5,Other,1485,1485,1485,
,16/08/2016,0.9,Other,1550,1575,1575,
,19/08/2016,0.2,Other,1698,1698,1698,
,22/08/2016,0.2,Other,1644,1644,1644,
,23/08/2016,0.9,Other,1567,1700,1625,
,24/08/2016,0.5,Other,1632,1632,1632,
,27/08/2016,1,Other,1450,1592,1535,
Beawar,01/08/2016,0.8,Other,1750,2000,1875,
,02/08/2016,1.5,Other,1750,1900,1825,
,03/08/2016,2.5,Other,1650,1900,1775,
,05/08/2016,0.5,Other,1750,2100,1925,
,08/08/2016,2,Other,2000,2250,2125,
,11/08/2016,8,Other,1700,2000,1850,
,16/08/2016,10.5,Other,1700,1900,1800,
,22/08/2016,1.9,Other,1700,1900,1800,
,25/08/2016,8.5,Other,1700,1850,1775,
,28/08/2016,1.9,Other,1600,1800,1700,
,31/08/2016,0.7,Other,1900,2000,1950,
Begu,14/08/2016,22,Other,1400,1530,1500,
,15/08/2016,15,Other,1400,1540,1500,
,16/08/2016,25,Other,1400,1530,1500,
Bhawani Mandi,09/08/2016,0.2,Other,1400,1650,1525,
,10/08/2016,1.5,Other,1500,1595,1547,
,11/08/2016,2,Other,1500,1626,1563,
,12/08/2016,2,Other,1500,1600,1550,
,13/08/2016,2.5,Other,1525,1625,1575,
,19/08/2016,0.4,Other,1500,1625,1562,
,23/08/2016,0.2,Other,1500,1525,1512,
,24/08/2016,1,Other,1500,1525,1512,
,26/08/2016,1.5,Other,1500,1575,1537,
,27/08/2016,2,Other,1500,1575,1537,
,29/08/2016,1.5,Other,1500,1575,1537,
,30/08/2016,1,Other,1500,1560,1530,
,31/08/2016,1,Other,1500,1575,1537,
Bhilwara,01/08/2016,2.5,Deshi Red,1900,2100,2000,
,,,Deshi White,1700,1750,1725,
,03/08/2016,0.2,Deshi Red,1800,2000,1900,
,,,Deshi White,1600,1700,1650,
,04/08/2016,1.3,Deshi Red,2000,2100,2050,
,,,Deshi White,1700,1750,1725,
,05/08/2016,1.6,Deshi Red,1850,2100,1975,
,,,Deshi White,1600,1750,1675,
,06/08/2016,1,Deshi Red,1750,2050,1900,
,,,Deshi White,1600,1700,1650,
,10/08/2016,1,Deshi Red,1900,2100,2000,
,,,Deshi White,1650,1750,1700,
,11/08/2016,1.5,Deshi Red,1900,2125,2012,
,,,Deshi White,1700,1800,1750,
,12/08/2016,1.9,Deshi Red,1700,2100,1900,
,,,Deshi White,1750,1850,1800,
,13/08/2016,0.5,Deshi Red,1700,2100,1900,
,,,Deshi White,1750,1850,1800,
,16/08/2016,1.7,Deshi Red,1900,2100,2000,
,,,Deshi White,1700,1750,1725,
,17/08/2016,2.7,Deshi Red,1900,2100,2000,
,,,Deshi White,1700,1750,1725,
,23/08/2016,1.6,Deshi Red,1800,2000,1900,
,,,Deshi White,1700,1800,1750,
,24/08/2016,1.5,Deshi Red,1800,2000,1900,
,,,Deshi White,1750,1800,1775,
,26/08/2016,0.4,Deshi Red,1950,2000,1975,
,,,Deshi White,1700,1750,1725,
,27/08/2016,2.2,Deshi Red,1800,2000,1900,
,,,Deshi White,1600,1750,1675,
,29/08/2016,1,Deshi Red,1900,2050,1975,
,,,Deshi White,1600,1750,1675,
,31/08/2016,0.6,Deshi Red,1800,2000,1900,
,,,Deshi White,1700,1750,1725,
Bijay Nagar,01/08/2016,0.7,Other,1851,1861,1855,
,04/08/2016,0.1,Other,1875,1875,1875,
,06/08/2016,0.2,Other,1937,1937,1937,
,08/08/2016,0.4,Other,1840,1875,1860,
,16/08/2016,0.6,Other,1800,1971,1900,
,19/08/2016,0.6,Other,1821,1925,1875,
,20/08/2016,0.2,Other,1900,1900,1900,
,29/08/2016,0.4,Other,1400,1850,1800,
Bundi,01/08/2016,0.2,Other,1680,1680,1680,
,02/08/2016,0.5,Other,1621,1621,1621,
,04/08/2016,0.8,Other,1546,1660,1603,
,05/08/2016,0.6,Other,1585,1601,1593,
,06/08/2016,1,Other,1530,1651,1590,
,08/08/2016,1,Other,1531,1680,1605,
,09/08/2016,1.3,Other,1625,1701,1663,
,10/08/2016,1.2,Other,1681,1691,1686,
,20/08/2016,1,Other,1620,1790,1705,
,22/08/2016,0.4,Other,1621,1621,1621,
,24/08/2016,1.8,Other,1585,1592,1588,
,26/08/2016,1.5,Other,1536,1703,1619,
,27/08/2016,1.5,Other,1546,1695,1620,
,30/08/2016,1,Other,1531,1631,1581,
,31/08/2016,0.5,Other,1525,1620,1572,
Chhabra,16/08/2016,0.2,Other,1476,1476,1476,
Dausa,29/08/2016,0.1,Other,1750,1750,1750,
Deoli,01/08/2016,0.8,Other,1550,1611,1581,
,06/08/2016,0.3,Other,1580,1625,1603,
,09/08/2016,0.2,Other,1560,1620,1590,
,13/08/2016,0.8,Other,1500,1665,1583,
,16/08/2016,0.2,Other,1600,1800,1700,
,20/08/2016,0.2,Other,1600,1630,1615,
,23/08/2016,0.1,Other,1640,1640,1640,
,25/08/2016,0.2,Other,1600,1625,1613,
,29/08/2016,0.2,Other,1600,1670,1635,
,31/08/2016,0.1,Other,1650,1650,1650,
Fatehnagar,01/08/2016,62,Deshi Red,1826,1826,1826,
,,,Deshi White,1831,1982,1900,
,,,Hybrid,1580,1625,1615,
,03/08/2016,79,Deshi Red,1820,1826,1826,
,,,Deshi White,1713,1980,1927,
,,,Hybrid,1590,1590,1590,
,04/08/2016,85,Deshi White,1873,1973,1900,
,,,Hybrid,1590,1625,1625,
,05/08/2016,45,Deshi Red,1775,1886,1886,
,,,Deshi White,1850,1971,1965,
,,,Hybrid,1705,1705,1705,
,06/08/2016,69,Deshi Red,1896,1896,1896,
,,,Deshi White,1850,1959,1925,
,,,Hybrid,1632,1632,1632,
,09/08/2016,9,Deshi White,1875,1881,1881,
,,,Hybrid,1600,1750,1700,
,10/08/2016,10,Deshi White,1761,1899,1800,
,11/08/2016,23,Deshi White,1800,1861,1825,
,,,Hybrid,1600,1630,1600,
,12/08/2016,29,Deshi Red,1979,2004,2004,
,,,Deshi White,1600,1823,1800,
,,,Hybrid,1621,1621,1621,
,13/08/2016,59,Deshi Red,1871,2015,2009,
,,,Deshi White,1700,1925,1813,
,,,Hybrid,1600,1670,1670,
,16/08/2016,39,Deshi Red,1996,1996,1996,
,,,Deshi White,1750,1900,1835,
,,,Hybrid,1615,1659,1649,
,17/08/2016,23,Deshi Red,1725,1725,1725,
,,,Deshi White,1740,1885,1855,
,,,Hybrid,1575,1802,1670,
,20/08/2016,32,Deshi Red,2004,2004,2004,
,,,Deshi White,1710,1777,1750,
,,,Hybrid,1560,1625,1625,
,23/08/2016,22,Deshi Red,1621,1745,1745,
,24/08/2016,18,Deshi Red,1760,1760,1760,
,,,Deshi White,1739,1821,1770,
,,,Hybrid,1625,1675,1675,
,26/08/2016,77,Deshi White,1799,1861,1850,
,,,Hybrid,1600,1640,1625,
,29/08/2016,59,Deshi White,1700,1875,1775,
,,,Hybrid,1600,1684,1684,
,30/08/2016,11,Deshi White,1600,1825,1825,
,,,Hybrid,1615,1615,1615,
,31/08/2016,7,Deshi Red,1750,1750,1750,
Jaipur (Grain),16/08/2016,25.4,Deshi Red,1600,1725,1663,
,22/08/2016,3.3,Deshi Red,1650,1825,1738,
,29/08/2016,39.5,Deshi Red,1650,1825,1738,
Jaipur(Grain)(Chandpole),03/08/2016,26.4,Other,1600,1800,1700,
,07/08/2016,30,Other,1600,1800,1700,
,11/08/2016,32.5,Other,1600,1775,1688,
,24/08/2016,26,Other,1700,1850,1775,
,25/08/2016,26,Other,1700,1850,1775,
,27/08/2016,26.5,Other,1650,1825,1738,
,29/08/2016,26,Other,1675,1800,1738,
Jhalarapatan,09/08/2016,1.3,Other,1500,1500,1500,
,20/08/2016,5,Other,1600,1615,1600,
,22/08/2016,5,Other,1550,1630,1600,
,23/08/2016,6,Other,1600,1630,1615,
Jodhpur (Grain)(Mandor),01/08/2016,12,Other,2050,2450,2250,
,02/08/2016,6,Other,2100,2450,2275,
,03/08/2016,11.3,Other,2050,2340,2195,
,08/08/2016,8,Other,2100,2400,2250,
,15/08/2016,45,Other,2050,2300,2175,
,20/08/2016,4.6,Other,2050,2325,2187,
,22/08/2016,32,Other,2025,2356,2190,
,23/08/2016,30,Other,2025,2300,2162,
,24/08/2016,24.4,Other,2050,2375,2212,
,25/08/2016,1.4,Other,2045,2345,2195,
,27/08/2016,0.8,Other,2050,2350,2200,
,30/08/2016,3.3,Other,2050,2325,2187,
,31/08/2016,2.8,Other,2026,2310,2168,
Kapasan,22/08/2016,0.4,White (SAFED),1540,1674,1600,
,,,Yellow,1500,1640,1582,
,23/08/2016,0.4,White (SAFED),1550,1681,1602,
,,,Yellow,1501,1618,1556,
,24/08/2016,0.3,White (SAFED),1550,1683,1620,
,,,Yellow,1500,1610,1545,
,26/08/2016,0.5,White (SAFED),1559,1625,1600,
,,,Yellow,1500,1612,1550,
,29/08/2016,0.2,White (SAFED),1710,1870,1800,
,,,Yellow,1540,1682,1600,
,31/08/2016,0.2,White (SAFED),1550,1740,1650,
,,,Yellow,1500,1680,1600,
Kekri,02/08/2016,1.8,Other,1720,1800,1750,
,04/08/2016,1.5,Other,1670,1790,1710,
,05/08/2016,1.2,Other,1720,1800,1780,
,06/08/2016,1.6,Other,1740,1825,1800,
,08/08/2016,1.8,Other,1760,1860,1820,
,10/08/2016,2.2,Other,1680,1760,1712,
,12/08/2016,1.5,Other,1780,1810,1800,
,19/08/2016,3,Other,1745,1815,1790,
,22/08/2016,2.2,Other,1725,1800,1770,
,26/08/2016,1.8,Other,1760,1820,1780,
,29/08/2016,2,Other,1760,1820,1800,
,31/08/2016,1.5,Other,1680,1810,1760,
