Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ajmer (Grain),31/10/2017,2,Other,1450,1450,1450,
Aklera,06/10/2017,2.5, ,NR,NR,NR,
,07/10/2017,10,Other,800,1100,950,
,09/10/2017,50,Other,700,900,800,
,10/10/2017,50,Other,800,1000,900,
,11/10/2017,30,Other,890,1100,995,
,12/10/2017,45,Other,800,1190,995,
,13/10/2017,60,Other,850,1150,1000,
,14/10/2017,90,Other,850,1200,1025,
,16/10/2017,120,Other,850,1150,1000,
,17/10/2017,30,Other,920,1150,1035,
,18/10/2017,5,Other,1050,1151,1100,
,23/10/2017,250,Other,1050,1170,1110,
,24/10/2017,600,Other,1050,1150,1100,
,25/10/2017,500,Other,1040,1140,1090,
,26/10/2017,380,Other,950,1140,1045,
,27/10/2017,400,Other,1010,1160,1085,
,28/10/2017,250,Other,1040,1130,1085,
,30/10/2017,300,Other,1000,1170,1085,
,31/10/2017,200,Other,1050,1140,1095,
Alwar,03/10/2017,5.5,Other,1520,1550,1535,
,05/10/2017,6.5,Other,1520,1550,1535,
,06/10/2017,5.5,Other,1520,1550,1540,
,07/10/2017,3.7,Other,1530,1550,1540,
,09/10/2017,2.5,Other,1520,1550,1535,
,10/10/2017,4.3,Other,1500,1540,1520,
,11/10/2017,3,Other,1520,1550,1535,
,13/10/2017,3.8,Other,1520,1550,1530,
,14/10/2017,1.6,Other,1510,1530,1520,
,17/10/2017,1.7,Other,1520,1550,1535,
,18/10/2017,0.8,Other,1510,1530,1520,
,21/10/2017,2,Other,1520,1550,1535,
,23/10/2017,1.9,Other,1500,1530,1515,
,24/10/2017,1.7,Other,1520,1550,1535,
,25/10/2017,2.8,Other,1520,1550,1535,
,26/10/2017,15.6,Other,1525,1550,1540,
,27/10/2017,2.1,Other,1510,1540,1525,
,28/10/2017,3.4,Other,1520,1550,1535,
,30/10/2017,3.9,Other,1520,1550,1535,
Atru,04/10/2017,0.1,Fine,1000,1000,1000,
,05/10/2017,1.6,Fine,901,1100,1000,
,06/10/2017,0.6,Fine,936,990,963,
,10/10/2017,4.6,Fine,901,1092,996,
,11/10/2017,8.4,Fine,801,1001,901,
,12/10/2017,6.6,Fine,745,1038,891,
,13/10/2017,3.1,Fine,927,1038,982,
,14/10/2017,3,Fine,898,1025,961,
,16/10/2017,7.8,Fine,922,1090,1006,
,23/10/2017,1.9,Fine,960,1040,1000,
,24/10/2017,4.3,Fine,1085,1135,1110,
,25/10/2017,6,Fine,1075,1131,1103,
,26/10/2017,7.2,Fine,948,1076,1012,
,27/10/2017,4.9,Fine,1034,1129,1081,
,28/10/2017,4.4,Fine,1015,1095,1055,
,30/10/2017,4.8,Fine,1024,1101,1062,
Atru(Kawai Salpura),03/10/2017,0.1,Other,1150,1150,1150,
,04/10/2017,0.8,Other,880,880,880,
,05/10/2017,0.5,Other,1100,1100,1100,
,06/10/2017,2,Other,1015,1015,1015,
,07/10/2017,5.3,Other,999,1175,1087,
,09/10/2017,6.9,Other,831,1085,918,
,11/10/2017,9,Other,850,1089,970,
,12/10/2017,16.9,Other,850,1098,974,
,16/10/2017,8.1,Other,851,1139,995,
,23/10/2017,31.1,Other,1005,1130,1068,
,24/10/2017,30.1,Other,899,1093,996,
,25/10/2017,42.1,Other,900,1071,986,
,26/10/2017,18.2,Other,825,1056,941,
,27/10/2017,25.1,Other,970,1073,1022,
,28/10/2017,28.5,Other,988,1103,1046,
,31/10/2017,35.2,Other,941,1108,1025,
Badrisadri,04/10/2017,1.5,Other,811,1201,1008,
Bagru,12/10/2017,3,Other,1500,1550,1525,
,16/10/2017,3.9,Other,1400,1800,1600,
,26/10/2017,1.4,Other,1400,1500,1450,
Bandikui,02/10/2017,0.6,Other,1531,1531,1531,
,04/10/2017,1.8,Other,1472,1480,1476,
,06/10/2017,0.2,Other,1575,1575,1575,
,07/10/2017,0.1,Other,1635,1635,1635,
,08/10/2017,0.4,Other,1482,1482,1482,
,09/10/2017,0.7,Other,1630,1654,1642,
,11/10/2017,1.5,Other,1570,1570,1570,
