Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agra,01/12/2016,38,Yellow,NR,NR,1350,
,02/12/2016,35,Yellow,NR,NR,1380,
,03/12/2016,30,Yellow,NR,NR,1410,
,05/12/2016,34,Yellow,NR,NR,1400,
,07/12/2016,41,Yellow,NR,NR,1410,
,08/12/2016,35,Yellow,NR,NR,1450,
,09/12/2016,30,Yellow,NR,NR,1460,
,12/12/2016,35,Yellow,NR,NR,1450,
,13/12/2016,31,Yellow,NR,NR,1460,
,14/12/2016,38,Yellow,NR,NR,1450,
,15/12/2016,45,Yellow,NR,NR,1440,
,16/12/2016,40,Yellow,NR,NR,1450,
,17/12/2016,41,Yellow,NR,NR,1440,
,19/12/2016,40,Yellow,NR,NR,1450,
,21/12/2016,40,Yellow,NR,NR,1450,
,22/12/2016,44,Yellow,NR,NR,1440,
,23/12/2016,50,Yellow,NR,NR,1430,
,24/12/2016,40,Yellow,NR,NR,1450,
,26/12/2016,38,Yellow,NR,NR,1460,
,27/12/2016,43,Yellow,NR,NR,1440,
,28/12/2016,41,Yellow,NR,NR,1450,
,29/12/2016,38,Yellow,NR,NR,1475,
,30/12/2016,42,Yellow,NR,NR,1470,
,31/12/2016,45,Yellow,NR,NR,1460,
Aliganj,01/12/2016,50,Hybrid,1410,1450,1430,
,02/12/2016,40,Hybrid,1430,1460,1440,
,03/12/2016,30,Hybrid,1440,1470,1450,
,04/12/2016,40,Hybrid,1440,1480,1460,
,05/12/2016,20,Hybrid,1440,1460,1450,
,07/12/2016,20,Hybrid,1420,1460,1440,
,08/12/2016,30,Hybrid,1440,1480,1460,
,09/12/2016,50,Hybrid,1430,1480,1450,
,10/12/2016,50,Hybrid,1440,1480,1460,
,11/12/2016,40,Hybrid,1420,1460,1440,
,12/12/2016,50,Hybrid,1400,1450,1430,
,14/12/2016,40,Hybrid,1420,1460,1440,
,16/12/2016,60,Hybrid,1400,1440,1420,
,17/12/2016,40,Hybrid,1400,1460,1440,
,18/12/2016,50,Hybrid,1430,1470,1450,
,19/12/2016,40,Hybrid,1420,1460,1440,
,21/12/2016,30,Hybrid,1410,1450,1430,
,22/12/2016,40,Hybrid,1430,1470,1450,
,23/12/2016,30,Hybrid,1400,1450,1420,
,24/12/2016,40,Hybrid,1410,1470,1430,
,25/12/2016,20,Hybrid,1420,1470,1440,
,26/12/2016,18,Hybrid,1400,1440,1420,
,28/12/2016,15,Hybrid,1420,1460,1440,
,30/12/2016,18,Hybrid,NR,NR,1460,
Aligarh,01/12/2016,20,Hybrid,1370,1410,1390,
,02/12/2016,25,Hybrid,1380,1420,1400,
,03/12/2016,20,Hybrid,1350,1450,1400,
,05/12/2016,25,Hybrid,1390,1430,1410,
,06/12/2016,30,Hybrid,1380,1420,1400,
,07/12/2016,20,Hybrid,1380,1420,1400,
,08/12/2016,25,Hybrid,1390,1430,1410,
,09/12/2016,20,Hybrid,1390,1430,1410,
,10/12/2016,25,Hybrid,1380,1420,1400,
,12/12/2016,30,Hybrid,1380,1420,1400,
,13/12/2016,20,Hybrid,1380,1420,1400,
,14/12/2016,25,Hybrid,1390,1430,1410,
,15/12/2016,20,Hybrid,1400,1440,1420,
,16/12/2016,15,Hybrid,1410,1450,1430,
,17/12/2016,20,Hybrid,1400,1440,1420,
,19/12/2016,15,Hybrid,1410,1450,1430,
,20/12/2016,10,Hybrid,1420,1460,1440,
,21/12/2016,20,Hybrid,1400,1440,1420,
,22/12/2016,15,Hybrid,1390,1430,1410,
,23/12/2016,10,Hybrid,1400,1500,1450,
,24/12/2016,20,Hybrid,1390,1430,1410,
,26/12/2016,15,Hybrid,1400,1440,1420,
,27/12/2016,10,Hybrid,1390,1430,1410,
