Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agra,01/01/2016,50,Yellow,NR,NR,1390,
,02/01/2016,48,Yellow,NR,NR,1400,
,08/01/2016,47,Yellow,NR,NR,1390,
,11/01/2016,45,Yellow,NR,NR,1390,
,12/01/2016,52,Yellow,NR,NR,1380,
,14/01/2016,51, ,NR,NR,NR,
,16/01/2016,50,Yellow,NR,NR,1380,
,18/01/2016,57,Yellow,NR,NR,1365,
,19/01/2016,55,Yellow,NR,NR,1370,
,20/01/2016,60, ,NR,NR,NR,
,21/01/2016,64,Yellow,NR,NR,1340,
,22/01/2016,62,Yellow,NR,NR,1350,
,23/01/2016,65,Yellow,NR,NR,1335,
,25/01/2016,70,Yellow,NR,NR,1320,
,27/01/2016,68,Yellow,NR,NR,1340,
,28/01/2016,72,Yellow,NR,NR,1330,
,29/01/2016,65,Yellow,NR,NR,1340,
,30/01/2016,61,Yellow,NR,NR,1350,
Aliganj,01/01/2016,20,Hybrid,1320,1350,1340,
Aligarh,01/01/2016,12,Hybrid,1500,1600,1540,
,02/01/2016,15,Hybrid,1520,1600,1550,
,04/01/2016,10,Hybrid,1500,1600,1540,
,05/01/2016,12,Hybrid,1540,1570,1550,
,06/01/2016,15,Hybrid,1520,1560,1540,
,07/01/2016,14,Hybrid,1530,1580,1550,
,08/01/2016,12,Hybrid,1530,1580,1550,
,09/01/2016,10,Hybrid,1540,1580,1560,
,11/01/2016,15,Hybrid,1550,1600,1570,
,12/01/2016,10,Hybrid,1540,1580,1560,
,14/01/2016,10,Hybrid,1540,1580,1560,
,15/01/2016,15,Hybrid,1530,1600,1560,
,16/01/2016,10,Hybrid,1540,1600,1565,
,18/01/2016,12,Hybrid,1540,1600,1570,
,19/01/2016,15,Hybrid,1540,1580,1560,
,20/01/2016,14, ,NR,NR,NR,
,21/01/2016,12,Hybrid,1550,1600,1575,
,22/01/2016,10,Hybrid,1550,1600,1570,
,23/01/2016,15,Hybrid,1540,1580,1560,
,25/01/2016,12,Hybrid,1550,1600,1570,
,26/01/2016,10,Hybrid,1550,1600,1580,
,27/01/2016,15,Hybrid,1560,1600,1575,
,28/01/2016,10,Hybrid,1560,1600,1580,
,29/01/2016,15,Hybrid,1580,1620,1600,
,30/01/2016,15,Hybrid,1575,1610,1590,
Allahabad,01/01/2016,3,Other,NR,NR,1675,
,02/01/2016,3.5,Other,NR,NR,1675,
,04/01/2016,2.5,Other,NR,NR,1675,
,05/01/2016,3,Other,NR,NR,1675,
