Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agra,02/07/2016,82,Yellow,NR,NR,1380,
,04/07/2016,78,Yellow,NR,NR,1405,
,05/07/2016,84,Yellow,NR,NR,1395,
,11/07/2016,86,Yellow,NR,NR,1400,
,12/07/2016,90,Yellow,NR,NR,1385,
,13/07/2016,85,Yellow,NR,NR,1405,
,14/07/2016,95,Yellow,NR,NR,1390,
,15/07/2016,90,Yellow,NR,NR,1400,
,16/07/2016,85,Yellow,NR,NR,1410,
,18/07/2016,80,Yellow,NR,NR,1430,
,19/07/2016,86,Yellow,NR,NR,1425,
,20/07/2016,87,Yellow,NR,NR,1410,
,21/07/2016,80,Yellow,NR,NR,1420,
,23/07/2016,73,Yellow,NR,NR,1430,
,25/07/2016,78,Yellow,NR,NR,1410,
,26/07/2016,82,Yellow,NR,NR,1400,
,27/07/2016,80,Yellow,NR,NR,1425,
,28/07/2016,85,Yellow,NR,NR,1395,
,29/07/2016,82,Yellow,NR,NR,1400,
,30/07/2016,75,Yellow,NR,NR,1430,
Aliganj,27/07/2016,25,Hybrid,1350,1450,1400,
Aligarh,01/07/2016,25, ,NR,NR,NR,
,02/07/2016,20, ,NR,NR,NR,
,06/07/2016,15,Hybrid,1420,1460,1440,
,07/07/2016,20,Hybrid,1420,1450,1435,
,08/07/2016,25,Hybrid,1410,1450,1430,
,09/07/2016,20,Hybrid,1400,1480,1440,
,11/07/2016,20,Hybrid,1430,1480,1450,
,12/07/2016,15,Hybrid,1410,1460,1440,
,13/07/2016,20,Hybrid,1430,1460,1450,
,14/07/2016,25,Hybrid,1410,1450,1430,
,15/07/2016,20,Hybrid,1390,1430,1410,
,16/07/2016,15,Hybrid,1380,1420,1400,
,18/07/2016,10,Hybrid,1360,1400,1380,
,19/07/2016,12,Hybrid,1330,1370,1350,
,20/07/2016,15,Hybrid,1320,1360,1340,
,21/07/2016,20,Hybrid,1330,1370,1350,
,23/07/2016,20,Hybrid,1360,1400,1380,
,25/07/2016,30,Hybrid,1350,1390,1370,
,26/07/2016,25,Hybrid,1360,1400,1380,
,27/07/2016,20,Hybrid,1370,1410,1390,
,28/07/2016,30,Hybrid,1350,1390,1370,
,29/07/2016,25,Hybrid,1340,1380,1360,
,30/07/2016,30,Hybrid,1350,1390,1370,
Allahabad,09/07/2016,1,Other,NR,NR,1850,
,11/07/2016,1.5,Other,NR,NR,1850,
,12/07/2016,2,Other,NR,NR,1850,
,13/07/2016,1.5,Other,NR,NR,1825,
,14/07/2016,2.5,Other,NR,NR,1825,
,15/07/2016,3,Other,NR,NR,1800,
,16/07/2016,0.2,Other,NR,NR,1800,
,18/07/2016,3.5,Other,NR,NR,1820,
,19/07/2016,2,Other,NR,NR,1750,
,20/07/2016,3,Other,NR,NR,1720,
,21/07/2016,2.5,Other,NR,NR,1725,
,22/07/2016,2,Other,NR,NR,1715,
,23/07/2016,2.5,Other,NR,NR,1700,
,25/07/2016,3,Other,NR,NR,1680,
,26/07/2016,3,Other,NR,NR,1685,
,27/07/2016,1.8,Other,NR,NR,1670,
,28/07/2016,2,Other,NR,NR,1675,
Anoop Shahar,30/07/2016,400, ,NR,NR,NR,
Atrauli,29/07/2016,60,Hybrid,1380,1420,1400,
Badayoun,15/07/2016,250,Deshi Red,1230,1330,1280,
,29/07/2016,14,Deshi Red,1230,1330,1285,
Baraut,02/07/2016,3,Yellow,NR,NR,1620,
,06/07/2016,1.5,Yellow,NR,NR,1700,
,08/07/2016,3,Yellow,NR,NR,1710,
Bewar,29/07/2016,25,Hybrid,NR,NR,1350,
Bhehjoi,28/07/2016,65,Yellow,NR,NR,1400,
Buland Shahr,02/07/2016,10,Other,NR,NR,1550,
,04/07/2016,45,Yellow,NR,NR,1550,
,05/07/2016,51,Yellow,NR,NR,1560,
,08/07/2016,49,Yellow,NR,NR,1525,
,09/07/2016,50,Other,NR,NR,1520,
,11/07/2016,38,Yellow,NR,NR,1515,
,12/07/2016,50,Other,NR,NR,1420,
,13/07/2016,80,Yellow,NR,NR,1400,
,14/07/2016,85,Other,NR,NR,1410,
,15/07/2016,70,Yellow,NR,NR,1400,
,16/07/2016,25,Yellow,NR,NR,1410,
,18/07/2016,40,Yellow,NR,NR,1410,
,19/07/2016,50,Yellow,NR,NR,1400,
,20/07/2016,80,Yellow,NR,NR,1415,
,21/07/2016,90,Other,NR,NR,1420,
,22/07/2016,75,Other,NR,NR,1400,
,23/07/2016,85,Other,NR,NR,1450,
,25/07/2016,90,Other,NR,NR,1410,
,26/07/2016,84,Other,NR,NR,1400,
,27/07/2016,71,Other,NR,NR,1500,
,28/07/2016,75,Yellow,NR,NR,1510,
,30/07/2016,40,Other,NR,NR,1490,
Chandausi,31/07/2016,1650,Hybrid/Local,NR,NR,1440,
Charra,29/07/2016,50,Hybrid,1380,1430,1410,
Chhibramau(Kannuj),08/07/2016,800,Yellow,NR,NR,1460,
,18/07/2016,220,Yellow,NR,NR,1460,
Dankaur,30/07/2016,10,Other,NR,NR,1390,
Divai,01/07/2016,60,Hybrid,1450,1500,1470,
