Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agra,02/05/2016,60,Yellow,NR,NR,1500,
,05/05/2016,58,Yellow,NR,NR,1515,
,07/05/2016,69,Yellow,NR,NR,1475,
,10/05/2016,70,Yellow,NR,NR,1460,
,11/05/2016,67,Yellow,NR,NR,1485,
,12/05/2016,64,Yellow,NR,NR,1495,
,13/05/2016,60,Yellow,NR,NR,1510,
,14/05/2016,57,Yellow,NR,NR,1525,
,16/05/2016,61,Yellow,NR,NR,1500,
,17/05/2016,67,Yellow,NR,NR,1490,
,18/05/2016,70,Yellow,NR,NR,1475,
,19/05/2016,68,Yellow,NR,NR,1480,
,20/05/2016,72,Yellow,NR,NR,1465,
,23/05/2016,68,Yellow,NR,NR,1485,
,24/05/2016,64,Yellow,NR,NR,1520,
,25/05/2016,61,Yellow,NR,NR,1560,
,26/05/2016,65,Yellow,NR,NR,1545,
,27/05/2016,60,Yellow,NR,NR,1570,
,30/05/2016,61,Yellow,NR,NR,1580,
,31/05/2016,58,Yellow,NR,NR,1590,
Aliganj,27/05/2016,5,Hybrid,1450,1520,1500,
Aligarh,02/05/2016,7,Hybrid,1550,1590,1570,
,03/05/2016,8,Hybrid,1550,1600,1575,
,04/05/2016,10,Hybrid,1540,1580,1560,
,05/05/2016,8,Hybrid,1540,1570,1550,
,06/05/2016,7,Hybrid,1500,1600,1560,
,07/05/2016,9,Hybrid,1500,1600,1550,
,09/05/2016,8,Hybrid,1550,1580,1560,
,10/05/2016,7,Hybrid,1550,1580,1565,
,11/05/2016,8,Hybrid,1540,1580,1560,
,12/05/2016,7,Hybrid,1550,1580,1565,
,13/05/2016,10,Hybrid,1540,1570,1550,
,14/05/2016,8,Hybrid,1540,1570,1555,
,16/05/2016,12,Hybrid,1550,1570,1560,
,17/05/2016,10,Hybrid,1550,1575,1565,
,18/05/2016,8,Hybrid,1550,1575,1560,
,19/05/2016,6,Hybrid,1550,1580,1570,
,20/05/2016,5,Hybrid,1540,1600,1560,
,21/05/2016,7,Hybrid,1500,1600,1565,
,23/05/2016,6,Hybrid,1550,1590,1570,
,24/05/2016,5,Hybrid,1550,1600,1570,
,25/05/2016,7,Hybrid,1540,1580,1560,
,26/05/2016,6,Hybrid,1550,1580,1565,
,27/05/2016,5,Hybrid,1550,1590,1570,
,28/05/2016,7,Hybrid,1550,1580,1560,
,30/05/2016,6,Hybrid,1550,1580,1565,
,31/05/2016,5,Hybrid,1560,1600,1570,
Allahabad,02/05/2016,2.5,Other,NR,NR,1775,
,03/05/2016,2,Other,NR,NR,1775,
,04/05/2016,2.5,Other,NR,NR,1765,
,05/05/2016,2,Other,NR,NR,1765,
,06/05/2016,3,Other,NR,NR,1765,
,07/05/2016,2.5,Other,NR,NR,1765,
,09/05/2016,1,Other,NR,NR,1760,
,10/05/2016,1.5,Other,NR,NR,1765,
,11/05/2016,2,Other,NR,NR,1760,
,12/05/2016,1,Other,NR,NR,1760,
,13/05/2016,1.5,Other,NR,NR,1760,
,14/05/2016,3,Other,NR,NR,1765,
,16/05/2016,2,Other,NR,NR,1765,
,17/05/2016,1,Other,NR,NR,1765,
,18/05/2016,1.5,Other,NR,NR,1765,
,19/05/2016,1,Other,NR,NR,1770,
,20/05/2016,1.5,Other,NR,NR,1770,
,21/05/2016,2.5,Other,NR,NR,1770,
,23/05/2016,1,Other,NR,NR,1775,
,24/05/2016,1.5,Other,NR,NR,1775,
,25/05/2016,2,Other,NR,NR,1775,
,26/05/2016,1,Other,NR,NR,1785,
