Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adampur,01/09/2016,2.1,Other,4079,4101,4079,
,02/09/2016,1.8,Other,4150,4207,4150,
,03/09/2016,1.8,Other,4172,4298,4172,
,05/09/2016,2.8,Other,4051,4235,4200,
,06/09/2016,2,Other,4071,4285,4084,
,07/09/2016,2.9,Other,4190,4281,4218,
,08/09/2016,2,Other,4125,4215,4201,
,09/09/2016,3.5,Other,4104,4261,4204,
,10/09/2016,2.5,Other,3600,4170,4014,
,12/09/2016,2.1,Other,4096,4189,4122,
,13/09/2016,2,Other,4065,4166,4152,
,14/09/2016,2.5,Other,4001,4180,4162,
,15/09/2016,3.1,Other,4062,4208,4166,
,16/09/2016,2.1,Other,4040,4200,4199,
,17/09/2016,1.5,Other,4146,4205,4146,
,19/09/2016,2.7,Other,4070,4250,4229,
,20/09/2016,4,Other,4174,4234,4216,
,21/09/2016,2.5,Other,4092,4236,4206,
,23/09/2016,1.2,Other,4140,4205,4140,
,24/09/2016,0.7,Other,4080,4080,4080,
,26/09/2016,4.7,Other,4125,4143,4142,
,27/09/2016,1.7,Other,4001,4130,4001,
,28/09/2016,0.4,Other,4084,4084,4084,
,30/09/2016,0.8,Other,3991,3991,3991,
Ateli,28/09/2016,51.2,Mustard,4200,4200,4200,
Bhattu Kalan,02/09/2016,10.8,Other,4075,4345,4271,
,03/09/2016,7.7,Other,4251,4362,4330,
,05/09/2016,11.1,Other,4200,4425,4375,
,06/09/2016,10.6,Other,4226,4405,4350,
,07/09/2016,7.1,Other,4251,4371,4350,
,08/09/2016,8.2,Other,4190,4390,4320,
,09/09/2016,10.9,Other,4150,4386,4270,
,10/09/2016,6.7,Other,4178,4309,4270,
,12/09/2016,4.9,Other,4050,4226,4140,
,13/09/2016,1.6,Other,4171,4412,4310,
,14/09/2016,6.7,Other,4178,4309,4270,
,15/09/2016,4.5,Other,4170,4331,4250,
,16/09/2016,4.3,Other,4141,4374,4226,
,19/09/2016,4.6,Other,4211,4370,4310,
,20/09/2016,7.4,Other,4150,4350,4251,
,21/09/2016,3.2,Other,4200,4296,4276,
,23/09/2016,6.3,Other,4154,4376,4200,
,26/09/2016,3,Other,4160,4200,4191,
,27/09/2016,2.5,Other,4050,4050,4050,
,28/09/2016,2.8,Other,4130,4214,4179,
,30/09/2016,1,Other,4188,4188,4188,
Ellanabad,09/09/2016,3.5,Mustard,4100,4118,4100,
,18/09/2016,1,Mustard,4137,4149,4149,
,19/09/2016,5.4,Mustard,4075,4148,4097,
,20/09/2016,2,Mustard,4150,4150,4150,
,21/09/2016,1.5,Mustard,4141,4141,4141,
,30/09/2016,1.5,Mustard,3960,3960,3960,
Fatehabad,21/09/2016,5.5,Other,4000,4000,4000,
Loharu(Dighwa),05/09/2016,0.2,Other,4600,4600,4600,
,20/09/2016,0.5,Other,4000,4000,4000,
Pataudi,06/09/2016,0.7,Other,4126,4126,4126,
Rewari,02/09/2016,1,Mustard,4231,4240,4235,
,03/09/2016,4,Mustard,4143,4300,4250,
,05/09/2016,1.5,Mustard,4230,4231,4230,
,06/09/2016,15.1,Mustard,3840,4328,4100,
,09/09/2016,4.5,Mustard,4031,4058,4045,
,10/09/2016,8.2,Mustard,4093,4300,4200,
,12/09/2016,1.5,Mustard,4166,4200,4180,
,13/09/2016,3,Mustard,4128,4180,4150,
,14/09/2016,12.2,Mustard,4111,4317,4250,
,15/09/2016,14.5,Mustard,3950,4351,4200,
,16/09/2016,1,Mustard,4314,4314,4314,
,20/09/2016,10,Mustard,4250,4359,4300,
,21/09/2016,6.9,Mustard,4210,4360,4260,
,23/09/2016,2.5,Mustard,4220,4350,4300,
,26/09/2016,10,Mustard,4350,4350,4350,
,27/09/2016,1,Mustard,4200,4200,4200,
Sirsa,01/09/2016,8.4,Other,4081,4226,4191,
,02/09/2016,4.1,Other,4000,4254,4100,
,03/09/2016,3.8,Other,4186,4251,4216,
,05/09/2016,9.7,Other,4025,4340,4200,
,06/09/2016,12,Other,4110,4221,4200,
,07/09/2016,10.2,Other,4141,4256,4181,
,08/09/2016,10.4,Other,3880,4107,4100,
,10/09/2016,6.5,Other,3400,4241,4021,
,15/09/2016,18.2,Other,3771,4391,4100,
,16/09/2016,7.8,Other,4050,4151,4125,
,19/09/2016,21.7,Other,3700,4225,4181,
,20/09/2016,4.2,Other,4160,4200,4175,
,26/09/2016,2,Other,4075,4075,4075,
,27/09/2016,1.8,Other,4000,4185,4100,
,28/09/2016,2.5,Other,3972,4080,4000,
,30/09/2016,5,Other,3876,4020,4000,
Uklana,02/09/2016,1,Mustard,3900,3900,3900,
,05/09/2016,1.2,Mustard,3981,3981,3981,
,07/09/2016,1.2,Mustard,4100,4100,4100,
,08/09/2016,1.5,Mustard,3640,3640,3640,
