Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adampur,01/04/2017,529,Other,3250,3521,3480,
,03/04/2017,650,Other,3210,3500,3450,
,04/04/2017,412,Other,3250,3493,3450,
,05/04/2017,316.2,Other,3410,3500,3470,
,06/04/2017,235,Other,3385,3510,3480,
,07/04/2017,229.3,Other,3402,3500,3450,
,11/04/2017,33.3,Other,3426,3480,3460,
,12/04/2017,106.7,Other,3284,3524,3450,
,13/04/2017,47.9,Other,3402,3491,3450,
,14/04/2017,23.5,Other,3419,3505,3429,
,15/04/2017,20,Other,3426,3500,3490,
,17/04/2017,1.5,Other,3415,3431,3415,
,20/04/2017,15.3,Other,3379,3406,3397,
,21/04/2017,4.9,Other,3346,3421,3355,
,22/04/2017,1.6,Other,3100,3460,3391,
,24/04/2017,0.8,Other,3405,3429,3405,
,26/04/2017,0.7,Other,3295,3295,3295,
Behal,01/04/2017,12.2,Other,3500,3600,3500,
,06/04/2017,4.5,Other,3450,3510,3510,
,07/04/2017,5,Other,3490,3500,3500,
,12/04/2017,27.1,Other,3350,3500,3430,
,13/04/2017,26.4,Other,3425,3430,3430,
,15/04/2017,1.5,Other,3340,3340,3340,
,18/04/2017,24.5,Other,3300,3310,3300,
,19/04/2017,25.1,Other,3290,3300,3295,
,21/04/2017,8,Other,3310,3400,3350,
,25/04/2017,4,Other,3310,3325,3320,
,27/04/2017,6,Other,3300,3310,3300,
Bhattu Kalan,01/04/2017,370.2,Other,3211,3700,3511,
Ding,01/04/2017,43.7,Other,3515,3660,3600,
,03/04/2017,60.6,Other,3400,3550,3500,
,04/04/2017,18.1,Other,3400,3540,3450,
,05/04/2017,40.7,Other,3350,3550,3450,
,06/04/2017,26.4,Other,3300,3538,3400,
,07/04/2017,14.5,Other,3100,3529,3466,
,08/04/2017,20.5,Other,3375,3516,3490,
,10/04/2017,28.1,Other,3405,3535,3461,
,11/04/2017,11.3,Other,3424,3560,3489,
,12/04/2017,15.5,Other,3400,3541,3455,
Ellanabad,01/04/2017,385,Mustard,3278,3525,3480,
,03/04/2017,595,Mustard,3202,3489,3440,
,04/04/2017,508,Mustard,3325,3522,3490,
,06/04/2017,290.7,Mustard,3330,3483,3445,
,07/04/2017,221,Mustard,3390,3450,3400,
,08/04/2017,254.3, ,NR,NR,NR,
,10/04/2017,165,Mustard,3405,3442,3420,
,11/04/2017,132.4,Mustard,3310,3461,3421,
,12/04/2017,151.2,Mustard,3300,3460,3400,
,13/04/2017,87.4,Mustard,3300,3471,3440,
,14/04/2017,28.1,Mustard,3425,3454,3443,
,15/04/2017,4.8,Mustard,3375,3430,3410,
,20/04/2017,4,Mustard,3420,3420,3420,
,24/04/2017,15.5,Mustard,3300,3350,3322,
,25/04/2017,4,Mustard,3335,3343,3336,
,26/04/2017,3.3,Mustard,3325,3336,3325,
,28/04/2017,5,Mustard,3315,3315,3315,
,29/04/2017,3.7,Mustard,3205,3305,3305,
Farukh Nagar,01/04/2017,84,Other,3360,3480,3360,
,03/04/2017,172.5,Other,3361,3500,3361,
,04/04/2017,135.4,Other,3390,3500,3390,
,05/04/2017,46.3,Other,3400,3500,3400,
,06/04/2017,74,Other,3400,3511,3400,
,07/04/2017,67.1,Other,3400,3500,3400,
,08/04/2017,44.9,Other,3400,3500,3400,
,10/04/2017,43,Other,3280,3500,3280,
,11/04/2017,29,Other,3391,3458,3391,
,12/04/2017,22.2,Other,3400,3480,3400,
,13/04/2017,19.5,Other,3430,3521,3430,
,14/04/2017,18.9,Other,3450,3490,3450,
,15/04/2017,21.8,Other,3412,3500,3412,
,17/04/2017,10.9,Other,3411,3500,3411,
,18/04/2017,16.6,Other,3371,3429,3371,
,19/04/2017,9.5,Other,3417,3430,3417,
,20/04/2017,34.9,Other,3380,3424,3380,
,21/04/2017,38.1,Other,3400,3450,3400,
,22/04/2017,40.5,Other,3380,3425,3380,
,24/04/2017,33.7,Other,3380,3450,3380,
,25/04/2017,35.3,Other,3400,3400,3400,
,26/04/2017,10.8,Other,3350,3400,3350,
,27/04/2017,13.5,Other,3351,3400,3351,
,28/04/2017,23.7,Other,3360,3400,3360,
,29/04/2017,10.6, ,NR,NR,NR,
Jui,03/04/2017,40,Other,3400,3400,3400,
,04/04/2017,25, ,NR,NR,NR,
,05/04/2017,35, ,NR,NR,NR,
,06/04/2017,35, ,NR,NR,NR,
,07/04/2017,40,Other,3405,3405,3405,
,09/04/2017,25,Other,3400,3400,3400,
,13/04/2017,35, ,NR,NR,NR,
,15/04/2017,35, ,NR,NR,NR,
,16/04/2017,55, ,NR,NR,NR,
,19/04/2017,30,Other,3400,3400,3400,
,20/04/2017,30,Other,3400,3400,3400,
,21/04/2017,20,Other,3300,3300,3300,
,22/04/2017,30,Other,3350,3350,3350,
,23/04/2017,25,Other,3350,3350,3350,
,24/04/2017,30,Other,3350,3350,3350,
,26/04/2017,30, ,NR,NR,NR,
,29/04/2017,50, ,NR,NR,NR,
,30/04/2017,40,Other,3350,3350,3350,
Naraingarh,01/04/2017,3.2,Mustard,3250,3850,3600,
,03/04/2017,2.2,Mustard,3300,3700,3500,
,04/04/2017,0.7,Mustard,3551,3551,3551,
,07/04/2017,0.8,Mustard,3645,3645,3645,
Narwana,01/04/2017,0.33, ,NR,NR,NR,
,03/04/2017,1.96,Other,3400,3581,3490.5,
,04/04/2017,0.28,Other,3500,3565,3532.5,
,05/04/2017,0.15,Other,3500,3500,3500,
,06/04/2017,0.2,Other,3500,3585,3542.5,
