Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adampur,01/08/2017,11.5,Other,3301,3378,3318,
,02/08/2017,0.6,Other,3350,3350,3350,
,03/08/2017,4,Other,3314,3314,3314,
,05/08/2017,14.8,Other,3280,3335,3300,
,07/08/2017,21,Other,3280,3370,3340,
,08/08/2017,34.1,Other,3289,3370,3335,
,09/08/2017,26.9,Other,3223,3373,3331,
,10/08/2017,30.7,Other,3241,3380,3351,
,11/08/2017,10.5,Other,3285,3391,3305,
,12/08/2017,8.2,Other,3315,3400,3390,
,14/08/2017,12,Other,3323,3412,3332,
,15/08/2017,5,Other,3313,3322,3313,
,16/08/2017,7.5,Other,3354,3390,3390,
,21/08/2017,13.7,Other,3407,3485,3456,
,22/08/2017,4,Other,3435,3481,3435,
,23/08/2017,2,Other,3490,3490,3490,
,24/08/2017,5,Other,3487,3504,3494,
,26/08/2017,11,Other,3481,3517,3505,
,29/08/2017,3.5,Other,3340,3340,3340,
,30/08/2017,6.2,Other,3418,3440,3440,
,31/08/2017,4.5,Other,3325,3438,3350,
Ateli,03/08/2017,18.6,Mustard,3050,3500,3300,
,04/08/2017,7,Mustard,3300,3450,3450,
,07/08/2017,62.1,Mustard,3350,3500,3400,
,09/08/2017,2.6,Mustard,3377,3377,3377,
,10/08/2017,1.6,Mustard,3050,3050,3050,
,11/08/2017,23,Mustard,3200,3450,3450,
,12/08/2017,8.3,Mustard,3400,3461,3400,
,14/08/2017,10.5,Mustard,3200,3500,3400,
,16/08/2017,31.2,Mustard,3350,3480,3450,
,17/08/2017,29.8,Mustard,3390,3500,3450,
,18/08/2017,28.9,Mustard,3200,3560,3425,
,19/08/2017,108.9,Mustard,3250,3550,3450,
,21/08/2017,50.7,Mustard,3250,3581,3500,
,23/08/2017,59.7,Mustard,3200,3600,3500,
,24/08/2017,13,Mustard,3300,3500,3500,
,25/08/2017,51.6,Mustard,3300,3600,3500,
,28/08/2017,38.3,Mustard,3100,3600,3450,
,29/08/2017,21.6,Mustard,3485,3650,3590,
