Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adampur,05/12/2017,0.2,Other,3733,3733,3733,
,18/12/2017,2.3,Other,3615,3651,3638,
,21/12/2017,2.5,Other,3583,3654,3650,
,28/12/2017,4.2,Other,3627,3677,3632,
,30/12/2017,5.5,Other,3546,3546,3546,
Ateli,08/12/2017,9.5,Mustard,3700,3720,3720,
,20/12/2017,3,Mustard,3650,3650,3650,
,21/12/2017,2.5,Mustard,3500,3500,3500,
Behal,05/12/2017,5,Other,3480,3480,3480,
,12/12/2017,4,Other,3560,3560,3560,
,16/12/2017,4.8,Other,3510,3510,3510,
,19/12/2017,5,Other,3500,3500,3500,
,20/12/2017,5.5,Other,3500,3500,3500,
,21/12/2017,4.5,Other,3560,3560,3560,
,22/12/2017,8.5,Other,3550,3550,3550,
,26/12/2017,5,Other,3700,3700,3700,
Bhattu Kalan,01/12/2017,11.3,Other,3453,3847,3776,
,02/12/2017,10.8,Other,3772,3900,3800,
,04/12/2017,26.2,Other,3671,3841,3781,
,05/12/2017,18,Other,3560,3790,3700,
,06/12/2017,19,Other,3720,3857,3810,
,07/12/2017,9,Other,3729,3816,3780,
,12/12/2017,10.3,Other,3402,3762,3692,
,13/12/2017,30,Other,3700,3840,3756,
,14/12/2017,13.2,Other,3695,3769,3710,
,16/12/2017,34.4,Other,3655,3774,3709,
,18/12/2017,22.1,Other,3390,3802,3681,
,19/12/2017,15,Other,3711,3851,3790,
,20/12/2017,15.6,Other,3680,3780,3733,
,21/12/2017,14.4,Other,3516,3785,3675,
,22/12/2017,19,Other,3468,3800,3751,
,23/12/2017,10,Other,3701,3800,3769,
,25/12/2017,21.8,Other,3629,3765,3720,
,26/12/2017,19.3,Other,3650,3813,3735,
,27/12/2017,12.2,Other,3461,3771,3680,
,28/12/2017,14.3,Other,3600,3754,3740,
,29/12/2017,14.1,Other,3575,3727,3621,
,30/12/2017,8.5,Other,3460,3800,3640,
Ellanabad,04/12/2017,0.5,Mustard,3698,3698,3698,
,05/12/2017,0.2,Mustard,3676,3676,3676,
,06/12/2017,1,Mustard,3670,3670,3670,
,12/12/2017,0.3,Mustard,3623,3623,3623,
,19/12/2017,0.2,Mustard,3639,3639,3639,
,21/12/2017,0.2,Mustard,3648,3648,3648,
,22/12/2017,0.2,Mustard,3643,3643,3643,
Farukh Nagar,01/12/2017,0.4,Other,3600,3600,3600,
,06/12/2017,7,Other,3670,3670,3670,
,07/12/2017,1,Other,3600,3600,3600,
,08/12/2017,1.7,Other,3650,3650,3650,
,11/12/2017,1.7,Other,3600,3600,3600,
,14/12/2017,2,Other,3600,3600,3600,
,15/12/2017,2.9,Other,3550,3700,3550,
,16/12/2017,4.5,Other,3700,3700,3700,
Hissar,12/12/2017,5,Other,3590,3590,3590,
,19/12/2017,8.5,Other,3550,3550,3550,
New Grain Market , Bhiwani,06/12/2017,25.4,Mustard,3500,3715,3700,
,07/12/2017,21.3,Mustard,3400,3700,3700,
,08/12/2017,13.3,Mustard,3400,3614,3614,
,27/12/2017,9,Mustard,3400,3602,3540,
,28/12/2017,1,Mustard,3550,3550,3550,
,29/12/2017,8,Mustard,3225,3631,3560,
Pataudi,01/12/2017,9.3,Other,3312,3571,3440,
,02/12/2017,5.4,Other,3530,3580,3555,
,04/12/2017,2.5,Other,3550,3550,3550,
,05/12/2017,1,Other,3500,3500,3500,
,08/12/2017,3.1,Other,3240,3497,3370,
,09/12/2017,1.8,Other,3550,3550,3550,
,13/12/2017,1.8,Other,3489,3489,3489,
,14/12/2017,1.5,Other,3480,3535,3507,
,15/12/2017,1.1,Other,3240,3512,3328,
,18/12/2017,9.5,Other,3550,3550,3550,
,19/12/2017,2,Other,3380,3380,3380,
,22/12/2017,5,Other,3060,3531,3350,
,25/12/2017,2.6,Other,3476,3510,3493,
Shahabad,18/12/2017,0.2, ,NR,NR,NR,
Sirsa,29/12/2017,1.1,Other,3620,3686,3620,
