Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agar,01/07/2016,0.5,Other,3740,3900,3800,
,02/07/2016,0.5,Other,3900,4020,3990,
,06/07/2016,0.1,Other,3875,3875,3875,
,09/07/2016,0.6,Other,3980,3980,3980,
,11/07/2016,0.1,Other,3600,3960,3800,
,12/07/2016,0.1,Other,3500,3500,3500,
,13/07/2016,0.1,Other,4000,4000,4000,
,15/07/2016,8,Other,4170,4270,4250,
,16/07/2016,3,Other,4080,4220,4100,
,18/07/2016,1,Other,3550,4270,4100,
,21/07/2016,0.2,Other,3900,3900,3900,
,23/07/2016,3,Other,4200,4320,4250,
,25/07/2016,2.5,Other,4200,4300,4250,
,26/07/2016,2.5,Other,3900,4300,4150,
,30/07/2016,1.5,Other,4100,4100,4100,
Ajaygarh,01/07/2016,17.6,Other,4100,4150,4125,
,07/07/2016,15,Other,3800,4000,3900,
,08/07/2016,10,Other,3700,3800,3750,
,15/07/2016,15,Other,3900,4000,3950,
,22/07/2016,5.2,Other,4380,4410,4390,
,25/07/2016,10,Other,4100,4200,4150,
,28/07/2016,10,Other,4375,4425,4400,
,29/07/2016,10,Other,4350,4410,4400,
Aron,05/07/2016,0.2,Other,3500,3875,3650,
,09/07/2016,0.1,Other,3525,3785,3650,
,15/07/2016,0.9,Other,3605,3850,3690,
Ashoknagar,01/07/2016,4.5,Sarson(Black),3800,4160,3900,
,02/07/2016,2.6,Sarson(Black),3641,3880,3700,
,04/07/2016,5,Sarson(Black),3860,4200,4000,
,05/07/2016,1.5,Sarson(Black),3711,3945,3800,
,07/07/2016,0.4,Sarson(Black),3920,4141,4000,
,08/07/2016,0.3,Sarson(Black),3870,4111,3870,
,11/07/2016,2.8,Sarson(Black),3801,4120,3900,
,12/07/2016,3.2,Sarson(Black),3200,4070,3700,
,13/07/2016,1,Sarson(Black),3810,4076,3925,
,14/07/2016,2.8,Sarson(Black),3455,3970,3650,
,15/07/2016,0.3,Sarson(Black),4000,4000,4000,
,16/07/2016,3,Sarson(Black),4050,4100,4050,
,18/07/2016,2,Sarson(Black),4018,4025,4025,
,19/07/2016,2.1,Sarson(Black),3800,4145,4000,
,21/07/2016,0.3,Sarson(Black),4025,4025,4025,
,22/07/2016,1.1,Sarson(Black),3500,4245,3800,
,25/07/2016,2.6,Sarson(Black),3990,4290,4050,
,26/07/2016,2.4,Sarson(Black),3701,4270,4050,
,27/07/2016,1.2,Sarson(Black),3400,3990,3700,
,28/07/2016,1,Sarson(Black),4042,4042,4042,
,29/07/2016,5.7,Sarson(Black),3690,4055,3825,
Ashta,18/07/2016,5,Other,3890,3890,3890,
,22/07/2016,5,Other,3900,4000,4000,
,27/07/2016,3.5,Other,3950,3950,3950,
Badamalhera,09/07/2016,3.2,Other,3500,3900,3700,
,26/07/2016,7,Other,3500,3700,3600,
Baikunthpur,26/07/2016,0.4,Mustard,4180,4180,4180,
Balaghat,14/07/2016,10.07,Other,2800,3350,3000,
Bamora,01/07/2016,0.2,Other,3670,3670,3670,
,18/07/2016,0.1,Other,3570,3570,3570,
Banapura,13/07/2016,5.2,Other,3850,3900,3870,
,15/07/2016,5,Other,3845,3850,3846,
,18/07/2016,0.3,Other,3600,3777,3700,
,20/07/2016,0.3,Other,3650,3650,3650,
Begamganj,01/07/2016,0.6,Sarson(Black),3625,3625,3625,
,02/07/2016,0.4,Sarson(Black),3650,3650,3650,
,04/07/2016,0.4,Sarson(Black),3650,3650,3650,
,06/07/2016,0.2,Sarson(Black),3550,3550,3550,
,26/07/2016,0.1,Sarson(Black),3800,3800,3800,
Berasia,04/07/2016,0.2,Other,3618,3618,3618,
,,,Yellow (Black),3618,3618,3618,
,14/07/2016,0.1,Other,3000,3000,3000,
,,,Yellow (Black),3000,3000,3000,
,15/07/2016,0.1,Other,3680,3680,3680,
,,,Yellow (Black),3680,3680,3680,
,20/07/2016,0.2,Other,3790,4013,4005,
,,,Yellow (Black),3790,4013,4005,
,22/07/2016,0.2,Other,3900,3900,3900,
,,,Yellow (Black),3900,3900,3900,
,23/07/2016,0.1,Other,3854,3854,3854,
,,,Yellow (Black),3854,3854,3854,
,25/07/2016,0.1,Other,3881,3881,3881,
,,,Yellow (Black),3881,3881,3881,
,30/07/2016,0.1,Other,3775,3775,3775,
,,,Yellow (Black),3775,3775,3775,
Betul,01/07/2016,2.5,Other,3651,3885,3750,
,02/07/2016,1.6,Other,3700,3828,3800,
,04/07/2016,1.5,Other,3600,3811,3750,
,05/07/2016,2.2,Other,3000,3815,3800,
,08/07/2016,2.4,Other,3681,3761,3700,
,12/07/2016,4.6,Other,3400,3766,3700,
,13/07/2016,2.3,Other,3600,3650,3600,
,14/07/2016,4,Other,3491,3690,3600,
,16/07/2016,2.2,Other,3050,3771,3700,
,18/07/2016,1.4,Other,3699,3740,3699,
,22/07/2016,0.7,Other,3541,3781,3741,
,23/07/2016,0.7,Other,3751,3761,3751,
,25/07/2016,1.1,Other,3715,3800,3761,
,26/07/2016,0.5,Other,3745,3791,3791,
,27/07/2016,0.3,Other,3726,3819,3791,
,28/07/2016,0.2,Other,3601,4402,4402,
Bhind,01/07/2016,1, ,NR,NR,NR,
,07/07/2016,1,Other,3500,3500,3500,
,08/07/2016,1,Other,3425,3425,3425,
,10/07/2016,1,Other,3450,3500,3465,
,12/07/2016,1,Other,4075,4100,4090,
,15/07/2016,1,Other,4100,4400,4200,
,16/07/2016,1,Other,3450,3450,3450,
,23/07/2016,1,Other,4270,4375,4275,
,24/07/2016,1,Other,4250,4295,4270,
,27/07/2016,1,Other,3405,3405,3405,
,29/07/2016,1,Other,4230,4290,4290,
,30/07/2016,1,Other,4275,4300,4290,
Bhopal,02/07/2016,1.3,Other,3950,4080,4005,
,05/07/2016,1.2,Other,3750,4001,3977,
,12/07/2016,5.2,Other,3400,3425,3400,
,20/07/2016,1.2,Other,3760,3910,3850,
,21/07/2016,7,Other,3360,3851,3850,
,26/07/2016,4,Other,3925,3950,3925,
Bichhiya,02/07/2016,3.15,Other,4000,4000,4000,
,07/07/2016,5,Other,4000,4000,4000,
,16/07/2016,2.25,Other,4050,4050,4050,
,23/07/2016,1,Other,4000,4000,4000,
,26/07/2016,15.78,Other,4000,4000,4000,
,30/07/2016,1,Other,4100,4100,4100,
,31/07/2016,20,Other,4250,4250,4250,
Bina,01/07/2016,1.3,Yellow (Black),3000,4000,3800,
,02/07/2016,3.8,Yellow (Black),3050,4100,3850,
,05/07/2016,2.5,Yellow (Black),3050,4100,3800,
,12/07/2016,0.6,Sarson(Black),3000,3850,3600,
,15/07/2016,0.9,Sarson(Black),3050,3900,3650,
,16/07/2016,1,Sarson(Black),3200,4100,3800,
,18/07/2016,2,Yellow (Black),3200,4100,3800,
,19/07/2016,2.1,Yellow (Black),3000,3950,3650,
,21/07/2016,0.8,Yellow (Black),3000,3900,3600,
,22/07/2016,2.1,Yellow (Black),3000,3950,3650,
,23/07/2016,0.6,Sarson(Black),3100,3900,3700,
,25/07/2016,2.8,Sarson(Black),3150,3950,3700,
,26/07/2016,0.3,Yellow (Black),3100,4000,3650,
,28/07/2016,0.6,Sarson(Black),3000,4050,3800,
,29/07/2016,0.6,Sarson(Black),3000,4050,3800,
,30/07/2016,0.3,Sarson(Black),3000,4000,3800,
Chhatarpur,01/07/2016,3.5,Other,3700,3900,3800,
,02/07/2016,1.3,Other,3760,3760,3760,
,05/07/2016,1.9,Other,3930,4075,4002,
,11/07/2016,0.4,Other,3995,3995,3995,
,12/07/2016,0.4,Other,4098,4098,4098,
,18/07/2016,2,Other,4095,4180,4137,
,19/07/2016,0.5,Other,4150,4150,4150,
,20/07/2016,1.3,Other,4075,4190,4132,
,23/07/2016,0.7,Other,4155,4155,4155,
,25/07/2016,3.9,Other,3950,4060,4005,
,26/07/2016,3.5,Other,4040,4040,4040,
,27/07/2016,3.7,Other,4075,4180,4127,
Chhindwara,08/07/2016,14,Other,3700,3711,3711,
,14/07/2016,3.6,Other,3300,3305,3305,
,27/07/2016,5,Other,3600,3700,3650,
Chhpara,13/07/2016,13.4,Other,3730,3750,3740,
,14/07/2016,13.4,Other,3730,3750,3740,
,23/07/2016,11.4,Other,3721,3725,3723,
Dabra,04/07/2016,0.9,Other,3760,3760,3760,
,14/07/2016,0.2,Other,4025,4025,4025,
,16/07/2016,2.1,Other,4040,4040,4040,
,19/07/2016,0.9,Other,4256,4256,4256,
,25/07/2016,12.8,Other,4100,4200,4150,
Damoh,01/07/2016,1,Mustard,3811,3845,3830,
,05/07/2016,2,Mustard,3900,3910,3905,
,11/07/2016,1,Mustard,3875,3885,3880,
,22/07/2016,1,Mustard,3835,3907,3905,
,28/07/2016,1,Mustard,3745,3895,3795,
Datia,20/07/2016,0.1,Sarson(Black),4500,4500,4500,
Dewas,02/07/2016,0.1,Other,3840,3840,3840,
,05/07/2016,0.2,Other,3885,3885,3885,
,12/07/2016,0.1,Other,3802,3802,3802,
,25/07/2016,0.1,Other,4000,4000,4000,
Dindori,19/07/2016,17,Other,4200,4200,4200,
,23/07/2016,17,Other,3700,3700,3700,
Ganjbasoda,01/07/2016,2,Mustard,3800,3946,3890,
,02/07/2016,1.1,Mustard,3850,4039,3945,
,05/07/2016,3.4,Mustard,3803,3961,3956,
,08/07/2016,0.1,Mustard,3961,3961,3961,
,11/07/2016,1,Mustard,3500,3991,3700,
,12/07/2016,0.7,Mustard,3800,3940,3901,
,13/07/2016,0.9,Mustard,3690,3950,3851,
,14/07/2016,3.2,Mustard,3000,3980,3810,
,15/07/2016,2,Mustard,3791,4001,3967,
,16/07/2016,1.6,Mustard,3966,4028,3999,
,18/07/2016,6.8,Mustard,3080,4020,3950,
,19/07/2016,4.2,Mustard,3903,4061,4000,
,20/07/2016,26.4,Mustard,3003,4025,3900,
,22/07/2016,1.8,Mustard,2441,4110,3951,
,25/07/2016,10.6,Mustard,2501,4080,4010,
,26/07/2016,3.4,Mustard,3350,4045,3934,
,27/07/2016,0.8,Mustard,3820,4150,4050,
,29/07/2016,3.9,Mustard,3403,4250,4040,
,30/07/2016,5.3,Mustard,3800,4133,4000,
Garhakota,25/07/2016,0.2,Other,3575,3575,3575,
,29/07/2016,1,Other,3300,3850,3775,
Gautampura,15/07/2016,0.34,Other,4500,4500,4500,
Gohad,01/07/2016,2.02,Other,4025,4025,4025,
,05/07/2016,4.03,Other,4150,4150,4150,
,07/07/2016,1.31,Other,4150,4150,4150,
,08/07/2016,2.73,Other,4150,4200,4150,
,09/07/2016,1.63,Other,4200,4200,4200,
,11/07/2016,2.32,Other,4145,4145,4145,
,15/07/2016,2.01,Other,4175,4175,4175,
