Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
A lot,14/06/2016,0.18,Other,3971,3971,3971,
Agar,01/06/2016,3,Other,3600,3790,3700,
,02/06/2016,3,Other,3400,3840,3650,
,03/06/2016,1.5,Other,3000,3770,3600,
,04/06/2016,3,Other,3750,3850,3800,
,06/06/2016,1,Other,3400,3800,3650,
,07/06/2016,2,Other,3200,3820,3650,
,08/06/2016,0.5,Other,3300,3750,3600,
,09/06/2016,2,Other,3400,3880,3700,
,10/06/2016,2,Other,3700,3910,3850,
,13/06/2016,3,Other,3500,3940,3750,
,15/06/2016,5,Other,3900,4000,3950,
,16/06/2016,3,Other,3900,3990,3980,
,17/06/2016,3,Other,3000,3980,3800,
,20/06/2016,2.5,Other,3500,4000,3800,
,21/06/2016,2,Other,3600,3940,3850,
,22/06/2016,2,Other,3800,3910,3850,
,23/06/2016,3,Other,3600,3950,3800,
,25/06/2016,0.2,Other,3800,3950,3900,
,27/06/2016,2,Other,3700,3930,3800,
,28/06/2016,0.5,Other,3680,3900,3800,
,29/06/2016,3,Other,3800,3940,3870,
Ajaygarh,03/06/2016,5,Other,3700,3750,3725,
,07/06/2016,7,Other,3600,3700,3650,
,10/06/2016,15,Other,3700,4000,3800,
,11/06/2016,7,Other,3800,3900,3900,
,14/06/2016,7.5,Other,4000,4060,4040,
,15/06/2016,7.5,Other,3700,3850,3800,
,24/06/2016,7.5,Other,3900,3950,3920,
,27/06/2016,10,Other,3700,3850,3800,
Amarpatan,15/06/2016,40,Other,3500,3600,3550,
,21/06/2016,20,Other,3600,3700,3650,
Aron,01/06/2016,0.3,Other,3600,3795,3650,
,02/06/2016,0.2,Other,3400,3550,3450,
,03/06/2016,0.2,Other,3500,3600,3550,
,04/06/2016,0.1,Other,NR,NR,3550,
,07/06/2016,0.3,Other,3550,3795,3690,
,08/06/2016,0.2,Other,3300,3650,3460,
,14/06/2016,0.2,Other,3625,3810,3750,
,15/06/2016,0.2,Other,3650,3815,3750,
,16/06/2016,0.2,Other,3525,3965,3650,
,18/06/2016,0.8,Other,3600,3891,3760,
,20/06/2016,0.2,Other,3650,3855,3725,
,21/06/2016,0.3,Other,3630,3825,3765,
,22/06/2016,1.1,Other,3650,3950,3725,
,23/06/2016,0.4,Other,3650,3800,3751,
,24/06/2016,0.2,Other,3755,3845,3830,
,28/06/2016,0.2,Other,3550,3838,3650,
Ashoknagar,01/06/2016,12.9,Sarson(Black),3671,3900,3750,
,02/06/2016,14.5,Sarson(Black),3740,3955,3800,
,04/06/2016,1.8,Sarson(Black),3760,3881,3800,
,06/06/2016,15.9,Sarson(Black),3620,3955,3700,
,07/06/2016,9.1,Sarson(Black),3700,3900,3800,
,08/06/2016,1.4,Sarson(Black),3490,3800,3600,
,09/06/2016,3,Sarson(Black),3500,3800,3620,
,10/06/2016,4.8,Sarson(Black),3600,4150,3770,
,13/06/2016,11.1,Sarson(Black),3441,4201,3600,
,14/06/2016,11.8,Sarson(Black),3800,4000,3900,
,15/06/2016,10.5,Sarson(Black),2905,4100,3500,
,16/06/2016,1.4,Sarson(Black),3710,4095,3800,
,17/06/2016,3,Sarson(Black),3755,4100,3850,
,18/06/2016,5,Sarson(Black),3700,4140,3800,
,20/06/2016,3.3,Sarson(Black),3650,4176,3900,
,21/06/2016,2.3,Sarson(Black),3566,4140,3800,
,22/06/2016,4.2,Sarson(Black),3800,4065,3880,
,23/06/2016,1.4,Sarson(Black),2801,4180,3600,
,24/06/2016,1.7,Sarson(Black),3785,3930,3850,
,27/06/2016,5.2,Sarson(Black),3850,4066,3900,
,28/06/2016,0.9,Sarson(Black),3781,3993,3900,
,29/06/2016,4.5,Sarson(Black),3800,4125,3900,
,30/06/2016,1.3,Sarson(Black),3640,3940,3700,
Badamalhera,19/06/2016,16.82,Other,3500,3700,3600,
,25/06/2016,15.39,Other,3400,3600,3500,
Badarwas,01/06/2016,0.1,Mustard,3560,3560,3560,
,03/06/2016,0.4,Mustard,3650,3650,3650,
,09/06/2016,0.5,Mustard,3770,3770,3770,
,11/06/2016,0.2,Mustard,3580,3580,3580,
,13/06/2016,0.1,Mustard,3780,3780,3780,
Badnagar,03/06/2016,1,Mustard,3700,3700,3700,
,06/06/2016,1,Mustard,3200,3200,3200,
,07/06/2016,2,Mustard,3550,3550,3550,
,11/06/2016,1,Rai UP,3691,3961,3691,
,13/06/2016,1,Rai UP,3600,3600,3600,
,18/06/2016,2,Rai UP,3525,3525,3525,
,19/06/2016,2,Rai UP,2300,2300,2300,
,23/06/2016,4,Rai UP,3590,3590,3590,
,29/06/2016,5,Rai UP,3870,3870,3870,
Badwaha,29/06/2016,0.3,Other,4005,4005,4005,
Baikunthpur,01/06/2016,0.3,Mustard,3750,3750,3750,
,09/06/2016,0.2,Mustard,3750,3750,3750,
,18/06/2016,0.2,Mustard,3967,3967,3967,
Bamora,02/06/2016,0.3,Yellow (Black),3670,3670,3670,
,06/06/2016,0.6,Other,3750,3750,3750,
,07/06/2016,0.6,Other,3500,3670,3610,
,09/06/2016,3.2,Yellow (Black),3380,3750,3610,
,13/06/2016,0.1,Other,3800,3800,3800,
,16/06/2016,0.9,Yellow (Black),3360,3735,3650,
,17/06/2016,0.5,Other,3300,4025,3760,
,18/06/2016,0.1,Other,3480,3480,3480,
,20/06/2016,0.4,Other,3550,3750,3630,
,21/06/2016,0.8,Yellow (Black),3300,4025,3750,
,23/06/2016,0.2,Yellow (Black),3712,3712,3712,
,24/06/2016,0.5,Yellow (Black),3650,3775,3700,
,27/06/2016,1,Other,3818,3818,3818,
,28/06/2016,0.1,Other,3781,3781,3781,
Banapura,10/06/2016,3.3,Other,3620,3800,3700,
Banda,01/06/2016,1.2,Other,3350,3600,3500,
,08/06/2016,2.5,Other,3300,3475,3400,
,15/06/2016,1,Other,3300,3500,3400,
,29/06/2016,1,Other,3800,3900,3850,
Begamganj,01/06/2016,0.5,Sarson(Black),3450,3600,3500,
,02/06/2016,1.9,Sarson(Black),3400,3596,3500,
,04/06/2016,1.8,Sarson(Black),3400,3700,3500,
,07/06/2016,1.2,Sarson(Black),3400,3550,3500,
,09/06/2016,6.1,Sarson(Black),3400,3650,3500,
,10/06/2016,0.6,Sarson(Black),3400,3560,3500,
,13/06/2016,0.8,Sarson(Black),3400,3600,3500,
,14/06/2016,1,Sarson(Black),3400,3590,3500,
,15/06/2016,1.8,Sarson(Black),3450,3605,3500,
,16/06/2016,1.6,Sarson(Black),3500,3645,3600,
,17/06/2016,43.3,Sarson(Black),5000,5480,5250,
,18/06/2016,0.2,Sarson(Black),3550,3550,3550,
,20/06/2016,1.1,Sarson(Black),3400,3550,3500,
,23/06/2016,0.3,Sarson(Black),3400,3600,3500,
,24/06/2016,0.4,Sarson(Black),3300,3500,3400,
,27/06/2016,0.3,Sarson(Black),3400,3550,3500,
,30/06/2016,0.1,Sarson(Black),3600,3600,3600,
Berasia,02/06/2016,1.8,Other,3491,3825,3491,
,,,Yellow (Black),3491,3825,3491,
,03/06/2016,2.3,Other,3600,3791,3600,
,,,Yellow (Black),3600,3791,3600,
,04/06/2016,0.1,Other,3820,3820,3820,
,,,Yellow (Black),3820,3820,3820,
,06/06/2016,0.1,Other,3550,3825,3550,
,,,Yellow (Black),3550,3825,3550,
,07/06/2016,0.6,Other,3456,3802,3675,
