Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agar,01/08/2017,1,Other,2960,2960,2960,
,02/08/2017,3.6,Other,3160,3160,3160,
,03/08/2017,3.2,Other,2800,3140,3000,
,04/08/2017,1.5,Other,3150,3150,3150,
,10/08/2017,2.5,Other,3000,3220,3100,
,11/08/2017,4,Other,2950,3210,3100,
,18/08/2017,2.7,Other,2950,3260,3100,
,25/08/2017,0.7,Other,3270,3270,3270,
,28/08/2017,0.4,Other,3360,3360,3360,
,29/08/2017,2.5,Other,3350,3350,3350,
,30/08/2017,0.3,Other,3350,3350,3350,
,31/08/2017,0.8,Other,3349,3349,3349,
Ajaygarh,01/08/2017,27.4,Mustard,3080,3710,3700,
,02/08/2017,9.3,Mustard,3100,3710,3710,
,04/08/2017,23.9,Mustard,3100,3710,3700,
,10/08/2017,9,Mustard,3100,3710,3700,
,11/08/2017,6.8,Mustard,3100,3708,3700,
,12/08/2017,2.5,Mustard,3100,3710,3700,
,14/08/2017,12.6,Mustard,3100,3710,3700,
,16/08/2017,7.6,Mustard,3100,3710,3700,
,19/08/2017,10.8,Mustard,3100,3710,3700,
,21/08/2017,10,Mustard,3100,3710,3700,
,22/08/2017,5.1,Mustard,3100,3710,3700,
,23/08/2017,3.6,Mustard,3100,3710,3700,
,25/08/2017,6.2,Mustard,3100,3710,3700,
,28/08/2017,6.5,Mustard,3100,3710,3700,
,31/08/2017,2.8,Mustard,3100,3710,3700,
Alampur,03/08/2017,0.5,Other,3305,3305,3305,
,14/08/2017,15.5,Other,3000,3560,3500,
,21/08/2017,0.4,Other,3380,3380,3380,
Amarpatan,11/08/2017,4.5,Other,2950,3010,3000,
Ambaha,09/08/2017,1,Other,3200,3200,3200,
,15/08/2017,1.2,Other,3312,3312,3312,
,16/08/2017,14.6,Other,3300,3315,3305,
,17/08/2017,7.7,Other,3200,3340,3300,
,19/08/2017,4.9,Other,3300,3307,3305,
,21/08/2017,1.5,Other,3300,3300,3300,
Anjad,22/08/2017,65,Big 100 Kg,4000,4000,4000,
,27/08/2017,24.75, ,NR,NR,NR,
Aron,01/08/2017,0.1,Other,NR,NR,3175,
Ashoknagar,01/08/2017,11.3,Sarson(Black),3191,3455,3300,
,02/08/2017,8.8,Sarson(Black),3356,3425,3380,
,03/08/2017,8.5,Sarson(Black),2900,3475,3100,
,04/08/2017,6.8,Sarson(Black),2100,2906,2800,
,05/08/2017,4.7,Sarson(Black),3361,3476,3412,
,09/08/2017,2.8,Sarson(Black),3212,3212,3212,
,10/08/2017,5.5,Sarson(Black),3300,3500,3400,
,11/08/2017,1.7,Sarson(Black),2501,3300,3200,
,12/08/2017,0.5,Sarson(Black),3300,3300,3300,
,14/08/2017,0.4,Sarson(Black),3431,3480,3431,
,16/08/2017,2,Sarson(Black),3333,3675,3500,
,17/08/2017,4.5,Sarson(Black),3300,3580,3385,
,18/08/2017,3,Sarson(Black),3301,3575,3400,
,19/08/2017,2.5,Sarson(Black),3575,3575,3575,
,21/08/2017,2.8,Sarson(Black),2401,3476,3300,
,22/08/2017,8.8,Sarson(Black),3245,3710,3400,
,23/08/2017,3.4,Sarson(Black),3380,3595,3450,
,24/08/2017,4.4,Sarson(Black),3290,3721,3450,
,26/08/2017,0.4,Sarson(Black),2100,3665,3485,
,28/08/2017,1,Sarson(Black),3565,3595,3565,
,29/08/2017,5.5,Sarson(Black),3511,3638,3570,
,30/08/2017,6.5,Sarson(Black),3371,3560,3490,
,31/08/2017,0.6,Sarson(Black),3250,3250,3250,
Ashta,01/08/2017,3,Other,3100,3100,3100,
,04/08/2017,1,Other,3950,4000,4000,
,05/08/2017,1.1,Other,3950,4000,4000,
,12/08/2017,3,Other,3800,3950,3875,
,18/08/2017,1,Other,3950,4000,4000,
,23/08/2017,1.9,Other,2960,4000,3970,
,30/08/2017,4,Other,4000,4000,4000,
Badamalhera,03/08/2017,19.6,Other,2900,3100,3000,
,23/08/2017,15.7,Other,2900,3100,3000,
,25/08/2017,5.7,Other,3000,3200,3100,
,27/08/2017,19.8,Other,3000,3200,3100,
Badnagar,11/08/2017,0.1,Mustard,3700,3700,3700,
,18/08/2017,0.1,Mustard,3602,3602,3602,
,23/08/2017,0.9,Mustard,3750,3750,3750,
Baikunthpur,11/08/2017,5,Mustard,2900,3000,3000,
,22/08/2017,0.1,Mustard,2551,2551,2551,
,28/08/2017,0.1,Mustard,3366,3366,3366,
,29/08/2017,0.8,Mustard,3339,3370,3370,
,30/08/2017,10,Mustard,3200,3400,3400,
,31/08/2017,9.8,Mustard,3200,3321,3300,
Bamora,17/08/2017,0.1,Yellow (Black),3380,3380,3380,
Banapura,04/08/2017,0.8,Other,2701,2701,2701,
Banda,25/08/2017,12,Other,3000,3700,3350,
Begamganj,02/08/2017,0.5,Sarson(Black),2700,2700,2700,
,10/08/2017,0.5,Sarson(Black),3050,3050,3050,
,23/08/2017,0.5,Sarson(Black),3100,3300,3200,
,24/08/2017,0.5,Sarson(Black),3100,3300,3200,
Berasia,01/08/2017,0.2,Other,2750,2750,2750,
,,,Yellow (Black),2750,2750,2750,
,02/08/2017,0.3,Other,3000,3000,3000,
,,,Yellow (Black),3000,3000,3000,
,17/08/2017,0.1,Other,2800,2800,2800,
,,,Yellow (Black),2800,2800,2800,
,26/08/2017,0.1,Other,3100,3100,3100,
,,,Yellow (Black),3100,3100,3100,
Betul,01/08/2017,1.3,Other,3650,3876,3850,
,02/08/2017,1.5,Other,2850,3860,3800,
,03/08/2017,2.2,Other,2841,3700,3700,
,04/08/2017,2.4,Other,2950,3690,3641,
,05/08/2017,0.6,Other,2875,3751,3700,
,10/08/2017,0.2,Other,3300,3675,3300,
,11/08/2017,2.1,Other,2740,3788,3740,
,12/08/2017,1.4,Other,3490,3877,3801,
,14/08/2017,3.8,Other,3200,3880,3691,
,16/08/2017,1.9,Other,2851,3741,3700,
,17/08/2017,3.3,Other,2940,3750,3661,
,18/08/2017,0.7,Other,3640,3690,3641,
,19/08/2017,1.6,Other,2800,3771,3690,
,23/08/2017,2.3,Other,3675,4001,3931,
,24/08/2017,3,Other,2951,4001,3850,
,25/08/2017,3.2,Other,3176,3975,3890,
,26/08/2017,0.2,Other,3100,3326,3326,
,28/08/2017,1.2,Other,3076,3980,3600,
,29/08/2017,2.3,Other,3300,3300,3300,
,30/08/2017,1.7,Other,3000,3976,3925,
,31/08/2017,0.6,Other,2900,3000,2990,
Bhander,01/08/2017,0.7,Other,3270,3270,3270,
,02/08/2017,1,Other,3300,3300,3300,
,03/08/2017,0.4,Other,3100,3100,3100,
,05/08/2017,3,Other,3360,3360,3360,
,09/08/2017,0.6,Other,3225,3225,3225,
,17/08/2017,0.8,Other,3380,3380,3380,
,21/08/2017,0.8,Other,3340,3340,3340,
,28/08/2017,0.5,Other,3450,3450,3450,
Bhind,01/08/2017,1,Other,3330,3445,3360,
,02/08/2017,1,Other,3340,3420,3375,
,03/08/2017,1,Other,3340,3405,3375,
,04/08/2017,1,Other,3300,3390,3345,
,06/08/2017,1,Other,3420,3480,3460,
,09/08/2017,1,Other,3310,3360,3345,
,10/08/2017,1,Other,3335,3360,3345,
,11/08/2017,1,Other,3335,3360,3345,
,12/08/2017,1,Other,3330,3420,3380,
,16/08/2017,1,Other,3350,3450,3400,
,17/08/2017,1,Other,3340,3430,3390,
,19/08/2017,1,Other,3350,3440,3390,
,22/08/2017,1,Other,3380,3445,3410,
,23/08/2017,1,Other,3420,3460,3450,
,24/08/2017,1,Other,3420,3480,3460,
,27/08/2017,1,Other,3360,3450,3400,
,30/08/2017,1,Other,3360,3440,3400,
Bhopal,16/08/2017,4.8,Other,3221,3570,3570,
,19/08/2017,5.8,Other,3000,3825,3690,
,21/08/2017,5.8,Other,3000,3825,3690,
,30/08/2017,4.1,Other,3150,3150,3150,
,31/08/2017,8.2,Other,3300,3800,3800,
Biaora,12/08/2017,2.01,Other,3550,3600,3575,
Bichhiya,19/08/2017,2,Other,3700,3700,3700,
,22/08/2017,1.5,Other,3700,3700,3700,
,26/08/2017,1,Other,3700,3700,3700,
Bina,01/08/2017,0.6,Mustard,3000,3300,3150,
,03/08/2017,4,Mustard,3000,3350,3175,
,04/08/2017,0.84,Mustard,3200,3650,3400,
,05/08/2017,1.3,Mustard,3200,3625,3400,
,11/08/2017,0.38,Mustard,2715,3700,3300,
,14/08/2017,0.2,Mustard,3300,3600,3400,
,17/08/2017,0.63,Mustard,3000,3630,3400,
,18/08/2017,3.2,Mustard,3300,3700,3450,
,19/08/2017,2.68,Mustard,3300,3650,3500,
,22/08/2017,0.7,Mustard,3000,3600,3300,
,24/08/2017,0.5,Mustard,3000,3500,3250,
,25/08/2017,2.2,Mustard,3000,3400,3200,
,26/08/2017,0.3,Mustard,3200,3500,3325,
,28/08/2017,0.1,Mustard,3600,3600,3600,
