Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
A lot,07/02/2017,1.42,Other,3400,3400,3400,
,17/02/2017,0.76,Other,3208,3268,3264,
,25/02/2017,1.58,Other,3203,3213,3212,
,28/02/2017,3.32,Other,3139,3222,3200,
Agar,01/02/2017,6,Other,2710,3230,2810,
,02/02/2017,5,Other,2600,3066,2810,
,03/02/2017,10,Other,2700,3200,2900,
,04/02/2017,20,Other,2500,3370,2950,
,06/02/2017,40,Other,2750,3510,3300,
,07/02/2017,25,Other,2645,3450,3000,
,08/02/2017,23,Other,2700,3460,3200,
,09/02/2017,17,Other,3000,3500,3300,
,14/02/2017,30,Other,2700,3361,3150,
,15/02/2017,34,Other,2750,3300,2900,
,16/02/2017,30,Other,2700,3330,2950,
,17/02/2017,29,Other,2700,3325,3150,
,18/02/2017,27.5,Other,2700,3390,3150,
,20/02/2017,43,Other,2700,3360,2950,
,21/02/2017,40,Other,2800,3300,2950,
,22/02/2017,35,Other,2600,3275,3000,
,23/02/2017,30,Other,2700,3210,3100,
,27/02/2017,60,Other,2900,3240,3100,
,28/02/2017,64,Other,2700,3200,3100,
Ajaygarh,01/02/2017,7.3,Mustard,3400,3450,3410,
,02/02/2017,5.7,Mustard,3400,3450,3420,
,03/02/2017,2.9,Mustard,3400,3450,3425,
,22/02/2017,5,Mustard,3350,3360,3355,
,23/02/2017,5,Mustard,3350,3350,3350,
,27/02/2017,17.6,Mustard,3350,3370,3355,
,28/02/2017,6.5,Mustard,3350,3355,3355,
Alampur,14/02/2017,2,Other,3500,3500,3500,
Aron,20/02/2017,2.3,Other,2425,2600,2595,
,21/02/2017,1.8,Other,2300,NR,2505,
,22/02/2017,1.4,Other,2700,NR,3425,
,23/02/2017,0.7,Other,NR,NR,2990,
,25/02/2017,4.3,Other,2800,2975,2965,
,27/02/2017,6.9,Other,2770,2860,2820,
,28/02/2017,4.2,Other,2660,2850,2800,
Ashoknagar,02/02/2017,1.2,Sarson(Black),2682,2991,2682,
,03/02/2017,2,Sarson(Black),2885,2901,2885,
,04/02/2017,4.5,Sarson(Black),3185,3185,3185,
,06/02/2017,2.3,Sarson(Black),2501,3080,2501,
,07/02/2017,2.5,Sarson(Black),2800,3125,2800,
,08/02/2017,1.3,Sarson(Black),2800,3200,2800,
,09/02/2017,4.7,Sarson(Black),2970,3060,2970,
,13/02/2017,5.1,Sarson(Black),2400,3245,2600,
,14/02/2017,5.5,Sarson(Black),2800,3190,3081,
,15/02/2017,3.9,Sarson(Black),1900,3211,3150,
,16/02/2017,6,Sarson(Black),2775,2822,2775,
,17/02/2017,3.8,Sarson(Black),2400,3080,2900,
,18/02/2017,2.9,Sarson(Black),2681,2791,2681,
,20/02/2017,15.3,Sarson(Black),2402,2980,2650,
,21/02/2017,17.8,Sarson(Black),2691,3281,2903,
,22/02/2017,17.4,Sarson(Black),2493,3150,3070,
,27/02/2017,20.1,Sarson(Black),2960,3210,2960,
,28/02/2017,36.1,Sarson(Black),2471,2936,2700,
Ashta,01/02/2017,4,Other,3500,3600,3550,
,06/02/2017,15.3,Other,2750,3601,3466,
,09/02/2017,6,Other,3600,3650,3625,
,13/02/2017,6.3,Other,2500,3375,2750,
,14/02/2017,3.2,Other,3000,3450,3350,
,16/02/2017,1.2,Other,3600,3700,3700,
,17/02/2017,1.3,Other,3352,3460,3460,
,20/02/2017,2.8,Other,2430,3352,3300,
,23/02/2017,1.3,Other,3040,3290,3052,
,27/02/2017,6.5,Other,2700,4000,3200,
Badarwas,01/02/2017,1.3,Mustard,2830,3310,3300,
,03/02/2017,0.8,Mustard,3005,3005,3005,
,06/02/2017,2.7,Mustard,2710,3005,2870,
,08/02/2017,1.7,Mustard,2735,2890,2830,
,09/02/2017,1.5,Mustard,2735,3000,2830,
,13/02/2017,0.2,Mustard,3200,3200,3200,
,18/02/2017,3,Mustard,2670,3005,2735,
,20/02/2017,1.5,Mustard,2670,3250,2780,
,21/02/2017,3,Mustard,2670,3005,2735,
,23/02/2017,7,Mustard,2470,3105,2910,
,24/02/2017,12.5,Mustard,2470,3105,2900,
,25/02/2017,18.3,Mustard,2400,3300,2910,
,27/02/2017,9.8,Mustard,2510,3240,2940,
