Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aklera,03/08/2016,1.3,Other,4100,4500,4300,
,09/08/2016,10.2,Other,4275,4286,4280,
,10/08/2016,0.8,Other,4200,4300,4250,
,11/08/2016,0.3,Other,4200,4200,4200,
,16/08/2016,8.5,Other,4250,4320,4285,
,26/08/2016,0.8,Other,4000,4200,4100,
,30/08/2016,1.6,Other,3900,4000,3950,
,31/08/2016,0.8,Other,4000,4100,4050,
Alwar,01/08/2016,105.7,Other,4200,4800,4500,
,02/08/2016,84.9,Other,4225,4825,4525,
,03/08/2016,122.5,Other,4225,4825,4525,
,04/08/2016,142.8,Other,4220,4800,4500,
,05/08/2016,78.9,Other,4200,4800,4500,
,06/08/2016,76.7,Other,4200,4800,4500,
,08/08/2016,154.4,Other,4100,4700,4400,
,09/08/2016,97.1,Other,4100,4700,4400,
,10/08/2016,128.4,Other,4200,4800,4500,
,11/08/2016,53.7,Other,4150,4750,4450,
,12/08/2016,58.4,Other,4150,4750,4450,
,13/08/2016,72.3,Other,4150,4750,4450,
,16/08/2016,142.5,Other,4150,4750,4450,
,17/08/2016,121,Other,4100,4700,4300,
,23/08/2016,85.3,Other,4100,4700,4400,
,24/08/2016,60.7,Other,4100,4700,4400,
,25/08/2016,56.7,Other,4075,4675,4375,
,26/08/2016,102.1,Other,4050,4650,4350,
,27/08/2016,41.1,Other,4000,4640,4315,
,29/08/2016,93.1,Other,4000,4600,4300,
,30/08/2016,60.4,Other,4025,4625,4325,
,31/08/2016,54,Other,4000,4600,4300,
Anoopgarh,01/08/2016,7.4,Other,4239,4338,4289,
,02/08/2016,10.6,Other,3337,3576,3457,
,04/08/2016,0.3,Other,4302,4321,4311,
,10/08/2016,5.4,Other,4206,4255,4231,
,11/08/2016,1.2,Other,4301,4301,4301,
,12/08/2016,2.9,Other,4280,4292,4284,
,13/08/2016,4.8,Other,4180,4295,4238,
,16/08/2016,6.7,Other,4180,4243,4211,
,19/08/2016,6.6,Other,4150,4235,4192,
,20/08/2016,8.1,Other,4171,4271,4221,
,24/08/2016,3,Other,4080,4190,4135,
,26/08/2016,8.5,Other,4050,4251,4101,
,27/08/2016,1,Other,4060,4060,4060,
,29/08/2016,8.2,Other,4000,4031,4016,
,30/08/2016,3,Other,4005,4107,4062,
,31/08/2016,0.8,Other,4000,4000,4000,
Anta,05/08/2016,0.5,Other,4141,4141,4141,
,26/08/2016,0.5,Other,4042,4042,4042,
,30/08/2016,0.6,Other,4072,4072,4072,
Atru,01/08/2016,0.2,Other,4348,4348,4348,
,03/08/2016,1.5,Other,4338,4379,4358,
,04/08/2016,4,Other,4379,4394,4386,
,05/08/2016,7.2,Other,4288,4424,4326,
,06/08/2016,4.6,Other,4393,4434,4413,
,08/08/2016,0.7,Other,4280,4295,4287,
,09/08/2016,4.3,Other,4130,4431,4280,
,10/08/2016,3.7,Other,4414,4433,4423,
,13/08/2016,0.5,Other,4300,4385,4341,
,16/08/2016,11.8,Other,4188,4390,4289,
,19/08/2016,4.4,Other,4315,4329,4322,
,20/08/2016,0.1,Other,4270,4270,4270,
,24/08/2016,4.4,Other,4228,4260,4244,
,26/08/2016,1,Other,4117,4218,4167,
,27/08/2016,1.1,Other,4191,4207,4199,
,29/08/2016,7.5,Other,4060,4148,4104,
,30/08/2016,2.9,Other,4088,4140,4114,
,31/08/2016,4.3,Other,2790,4124,4036,
Atru(Kawai Salpura),03/08/2016,0.5,Other,4376,4376,4376,
,04/08/2016,1.3,Other,4380,4380,4380,
,05/08/2016,1.8,Other,4386,4390,4388,
,06/08/2016,0.3,Other,4412,4412,4412,
,10/08/2016,1.7,Other,4378,4378,4378,
,16/08/2016,2,Other,4345,4372,4358,
,19/08/2016,0.2,Other,4350,4350,4350,
,24/08/2016,0.8,Other,4325,4325,4325,
,26/08/2016,2.8,Other,4285,4305,4295,
,27/08/2016,0.2,Other,4281,4281,4281,
,29/08/2016,3.1,Other,3351,4266,3808,
,30/08/2016,0.2,Other,4161,4161,4161,
,31/08/2016,0.7,Other,3900,4161,4030,
Badrisadri,16/08/2016,2,Other,3814,4480,4160,
,19/08/2016,4.6,Other,3492,3571,3530,
,22/08/2016,0.4,Other,4276,4360,4310,
,26/08/2016,2,Other,3900,4355,4122,
,31/08/2016,0.9,Other,3305,4213,3760,
Bandikui,01/08/2016,3.6,Other,3500,4345,3923,
,03/08/2016,10.5,Other,4250,4392,4321,
,04/08/2016,8.5,Other,4300,4387,4344,
,05/08/2016,1.6,Other,4190,4350,4270,
,06/08/2016,5.9,Other,4275,4380,4328,
,07/08/2016,9.6,Other,3850,4310,4080,
,08/08/2016,4.9,Other,3900,4310,4105,
,10/08/2016,4,Other,4125,4340,4233,
,12/08/2016,3.1,Other,3728,4325,4027,
,13/08/2016,1.6,Other,4150,4150,4150,
,14/08/2016,4.8,Other,3800,4278,4039,
,17/08/2016,24.5,Other,4070,4280,4175,
,19/08/2016,2.4,Other,4190,4282,4236,
,20/08/2016,7.7,Other,4030,4277,4154,
,21/08/2016,10.6,Other,2700,4260,3480,
