Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aklera,03/10/2016,1.7,Other,3900,4000,3950,
,06/10/2016,27.2,Other,4000,4050,4025,
,13/10/2016,1.7,Other,3700,3900,3800,
,14/10/2016,0.8,Other,3765,3800,3780,
,15/10/2016,42.5,Other,3800,3940,3870,
,17/10/2016,42.5,Other,3800,3900,3850,
,22/10/2016,2.5,Other,3880,3980,3930,
,24/10/2016,1.4,Other,3922,3967,3944,
,25/10/2016,2.5,Other,3800,3900,3850,
,26/10/2016,1.3,Other,3800,3950,3875,
,27/10/2016,0.8,Other,3800,3900,3850,
Alwar,01/10/2016,30.5,Other,4000,4600,4300,
,03/10/2016,76.6,Other,4000,4625,4325,
,04/10/2016,59.7,Other,3750,4575,4275,
,05/10/2016,41.5,Other,3950,4575,4275,
,06/10/2016,105.7,Other,3900,4575,4275,
,07/10/2016,45,Other,3950,4575,4275,
,08/10/2016,25.9,Other,3950,4575,4275,
,15/10/2016,38.8,Other,3950,4550,4250,
,17/10/2016,79.8,Other,3900,4500,4200,
,18/10/2016,56.5,Other,4000,4575,4275,
,19/10/2016,89.8,Other,4000,4600,4300,
,20/10/2016,67.4,Other,3950,4575,4275,
,21/10/2016,101.5,Other,4000,4600,4300,
,22/10/2016,69.1,Other,4000,4600,4300,
,24/10/2016,254,Other,3925,4225,4225,
,25/10/2016,90.4,Other,3900,4550,4250,
,26/10/2016,162.4,Other,4000,4575,4275,
,27/10/2016,82.5,Other,3900,4500,4200,
,28/10/2016,88.6,Other,3850,4475,4150,
,29/10/2016,63.7,Other,3850,4475,4150,
,30/10/2016,16.8,Other,3800,4450,4100,
Anoopgarh,01/10/2016,30.9,Other,3901,4070,3986,
,03/10/2016,15.6,Other,3900,4011,3956,
,04/10/2016,22.7,Other,3960,4000,3980,
,05/10/2016,7.1,Other,3951,4026,3988,
,06/10/2016,17.2,Other,3749,4062,3905,
,07/10/2016,7.5,Other,3800,3871,3836,
,08/10/2016,6.7,Other,3980,4051,4016,
,10/10/2016,4.6,Other,3900,3951,3926,
,12/10/2016,3.7,Other,3800,3911,3861,
,13/10/2016,9.2,Other,3861,3900,3881,
,14/10/2016,13.5,Other,3875,3962,3918,
,15/10/2016,8.3,Other,3900,4000,3950,
,17/10/2016,19.4,Other,3852,4051,3952,
,18/10/2016,2.4,Other,3975,4001,3988,
,19/10/2016,12.4,Other,3890,4000,3945,
,20/10/2016,12.9,Other,3850,3985,3918,
,21/10/2016,2.8,Other,3866,4000,3933,
,22/10/2016,4.1,Other,3900,4040,3970,
,24/10/2016,0.3,Other,3700,3900,3800,
,25/10/2016,11,Other,3700,4000,3850,
,26/10/2016,17.9,Other,3915,4039,3977,
,27/10/2016,6.3,Other,3850,4040,3945,
,28/10/2016,1.8,Other,3870,3921,3896,
Anta,03/10/2016,0.7,Other,3801,3901,3851,
,07/10/2016,1,Other,3900,3900,3900,
,10/10/2016,2.7,Other,3881,3881,3881,
,12/10/2016,0.5,Other,3895,3920,3908,
,13/10/2016,0.7,Other,3899,3899,3899,
,14/10/2016,1.8,Other,3800,3832,3816,
,17/10/2016,2.4,Other,3226,3956,3591,
,18/10/2016,1.1,Other,3600,3960,3780,
,19/10/2016,1.2, ,NR,NR,NR,
,22/10/2016,0.5,Other,3750,3951,3851,
,24/10/2016,0.8,Other,3800,3931,3866,
,25/10/2016,3.5,Other,3712,3899,3801,
,26/10/2016,1.3,Other,3859,3898,3879,
,27/10/2016,0.5, ,NR,NR,NR,
Atru,03/10/2016,8.1, ,NR,NR,NR,
,04/10/2016,3,Other,3960,4060,4010,
,06/10/2016,2.6,Other,3901,4090,3995,
,07/10/2016,4.8,Other,3990,4131,4060,
,08/10/2016,4.2,Other,4048,4061,4054,
,12/10/2016,0.4,Other,4031,4031,4031,
,13/10/2016,23.6,Other,3891,4025,3958,
,14/10/2016,20.2,Other,3980,4039,4009,
,15/10/2016,15.2,Other,3966,4034,4000,
,17/10/2016,24.3,Other,3950,4061,4005,
,18/10/2016,8.3,Other,3801,4048,3924,
,19/10/2016,8.5,Other,3988,4041,4014,
,20/10/2016,2.4,Other,3900,4058,3979,
,21/10/2016,6.7,Other,3700,4050,3875,
,22/10/2016,12,Other,3998,4062,4030,
,24/10/2016,13.7,Other,3790,4032,3911,
,27/10/2016,3.2,Other,3991,4037,4014,
Atru(Kawai Salpura),03/10/2016,1.6,Other,3922,4030,3976,
,04/10/2016,0.1,Other,3920,3920,3920,
,05/10/2016,2.6,Other,3925,3975,3950,
,07/10/2016,4.3,Other,3937,4040,3988,
,08/10/2016,0.4,Other,3989,4013,4003,
,12/10/2016,0.2,Other,3906,3931,3918,
,13/10/2016,1.3,Other,3749,3899,3824,
,14/10/2016,3.9,Other,3895,3970,3932,
,15/10/2016,1.7,Other,3866,3940,3903,
,17/10/2016,4.5,Other,3807,3846,3846,
,18/10/2016,1.8,Other,3826,3943,3884,
,19/10/2016,0.4,Other,3861,3971,3961,
,20/10/2016,3,Other,3920,4011,3963,
,21/10/2016,0.6,Other,3940,3962,3951,
,22/10/2016,2.2,Other,3902,3981,3941,
,25/10/2016,2.2,Other,3899,3931,3915,
,26/10/2016,2.5,Other,3915,3989,3952,
,27/10/2016,0.4,Other,3961,3989,3975,
Badrisadri,03/10/2016,2,Other,4101,4293,4195,
,04/10/2016,1,Other,4151,4273,4215,
,06/10/2016,3,Other,4150,4229,4185,
,07/10/2016,1.8,Other,4000,4257,4126,
,10/10/2016,4,Other,4155,4232,4208,
,14/10/2016,5.5,Other,4152,4187,4168,
,17/10/2016,0.3,Other,3701,4160,3932,
,19/10/2016,1.2, ,NR,NR,NR,
Bandikui,01/10/2016,4.6,Other,3661,4170,3915,
,02/10/2016,5,Other,3610,4070,3840,
,03/10/2016,7.1,Other,3530,4109,3820,
,05/10/2016,6.5,Other,3620,4025,3822,
,06/10/2016,4.3,Other,3930,4068,3999,
,07/10/2016,10.3,Other,3800,4216,4008,
,08/10/2016,6,Other,3900,4055,3978,
,09/10/2016,7,Other,3805,4145,3975,
,10/10/2016,3.7,Other,3950,4090,4020,
,12/10/2016,2.8,Other,3750,4182,3966,
,19/10/2016,3.7,Other,4080,4235,4158,
,20/10/2016,5.9,Other,3840,4180,4010,
,21/10/2016,6.3,Other,3550,4115,3835,
,22/10/2016,8.8,Other,3800,4051,3921,
,23/10/2016,5.8,Other,3700,4000,3850,
,24/10/2016,14.9,Other,3800,4040,3940,
,26/10/2016,10,Other,3500,4050,3700,
Bandikui(Geejgarh),21/10/2016,0.2,Other,4041,4041,4041,
,22/10/2016,0.2,Other,4040,4040,4040,
Baran,04/10/2016,38.3,Other,3901,4173,4020,
,05/10/2016,38.3,Other,3800,4186,3996,
,06/10/2016,51,Other,3811,4159,3985,
,08/10/2016,59.5,Other,3950,4241,4071,
,10/10/2016,17,Other,3861,4160,4000,
,12/10/2016,16.6,Other,3831,4124,4000,
,13/10/2016,76.5,Other,3700,4152,3950,
,14/10/2016,68,Other,3801,4092,3950,
,15/10/2016,68,Other,3931,4191,4021,
,17/10/2016,127.5,Other,3900,4036,3975,
,18/10/2016,68,Other,4000,4231,4070,
,19/10/2016,68,Other,3902,4161,4011,
,20/10/2016,85,Other,3945,4231,4081,
,21/10/2016,93.5,Other,3911,4275,4095,
,22/10/2016,85,Other,3952,4268,4052,
,24/10/2016,127.5,Other,3891,4176,4047,
,25/10/2016,68,Other,3850,4172,3990,
,26/10/2016,68,Other,3937,4191,4065,
,27/10/2016,42.5,Other,3930,4185,4060,
Bayana,04/10/2016,10.9,Mustard,3950,4365,4250,
,05/10/2016,9.1,Mustard,4027,4180,4180,
,06/10/2016,5.3,Mustard,4034,4034,4034,
,07/10/2016,8.4, ,NR,NR,NR,
,08/10/2016,15, ,NR,NR,NR,
,10/10/2016,14.8,Mustard,4034,4419,4310,
,11/10/2016,4,Mustard,3750,4126,4110,
,12/10/2016,11.2,Mustard,4083,4097,4090,
,13/10/2016,27.5,Mustard,4025,4303,4080,
,14/10/2016,15.9,Mustard,3881,4433,4090,
,15/10/2016,13.1,Mustard,3884,3996,3920,
,17/10/2016,8.8,Mustard,4361,4382,4382,
,18/10/2016,7.8,Mustard,4149,4334,4300,
,19/10/2016,15.8,Mustard,4150,4459,4300,
,20/10/2016,33.5,Mustard,4225,4491,4350,
,21/10/2016,11.4,Mustard,4200,4350,4300,
,22/10/2016,30,Mustard,4070,4301,4301,
,24/10/2016,29.2,Mustard,3711,4409,4115,
,25/10/2016,23,Mustard,3915,4215,4125,
,26/10/2016,39.4,Mustard,3700,4544,4210,
,27/10/2016,44.7,Mustard,3866,4310,4150,
,28/10/2016,15.2,Mustard,3933,3980,3950,
Beawar,18/10/2016,1.6,Other,4300,4500,4400,
,24/10/2016,2.2,Other,4100,4500,4300,
,26/10/2016,0.2,Other,4000,4200,4100,
,28/10/2016,2,Other,4000,4200,4100,
Begu,05/10/2016,40,Other,4200,4400,4300,
,13/10/2016,25,Other,4200,4450,4350,
,24/10/2016,40,Other,3400,3800,3600,
,25/10/2016,40,Other,3400,3600,3500,
,26/10/2016,20,Other,3600,3900,3750,
Bhadara,08/10/2016,0.2,Other,3800,3800,3800,
,15/10/2016,0.1,Other,3750,3750,3750,
,20/10/2016,0.8,Other,4000,4000,4000,
,25/10/2016,3,Other,3905,3905,3905,
,26/10/2016,6,Other,3920,3920,3920,
,27/10/2016,0.1,Other,3800,3800,3800,
,28/10/2016,2,Other,3846,3846,3846,
Bharatpur,03/10/2016,63.3,Other,4010,4552,4281,
,04/10/2016,47.8,Other,4000,4531,4266,
,05/10/2016,24.9,Other,3960,4475,4218,
,06/10/2016,19.7,Other,3975,4517,4246,
,07/10/2016,53.7,Other,3955,4540,4248,
,08/10/2016,47.8,Other,3970,4550,4260,
,10/10/2016,60.3,Other,3925,4560,4543,
,12/10/2016,71.8,Other,3930,4530,4230,
,13/10/2016,15.8,Other,3940,4490,4215,
,14/10/2016,36.5,Other,3975,4511,4243,
,15/10/2016,66.1,Other,3990,4525,4258,
,17/10/2016,74.7,Other,4005,4550,4278,
,18/10/2016,79.1,Other,3975,4511,4243,
,19/10/2016,44.8,Other,3995,4531,4263,
,20/10/2016,59,Other,4010,4540,4275,
,21/10/2016,93.7,Other,3950,4518,4234,
,22/10/2016,105.9,Other,3920,4510,4215,
,24/10/2016,97.8,Other,3850,4450,4150,
,25/10/2016,74.6,Other,3840,4460,4150,
,26/10/2016,111.7,Other,3830,4467,4149,
,27/10/2016,55.2,Other,3845,4460,4153,
,28/10/2016,81.2, ,NR,NR,NR,
,29/10/2016,26.2, ,NR,NR,NR,
Bharatpur(Kumer),01/10/2016,16.1,Other,4010,4588,4299,
,03/10/2016,24.2,Other,4015,4571,4293,
,04/10/2016,20.1,Other,4005,4551,4278,
,05/10/2016,13.4,Other,3975,4495,4235,
,06/10/2016,5.9,Other,3985,4535,4260,
,07/10/2016,5.3,Other,3970,4561,4266,
,08/10/2016,13.8,Other,3980,4571,4276,
,10/10/2016,6.6,Other,3950,4581,4266,
,11/10/2016,2,Other,3925,4551,4238,
,12/10/2016,8.5,Other,3945,4551,4248,
,14/10/2016,27.7,Other,3995,4531,4263,
,15/10/2016,15,Other,4000,4545,4273,
,17/10/2016,15.7,Other,4015,4561,4288,
,18/10/2016,22.9,Other,3985,4531,4258,
,19/10/2016,25.1,Other,4000,4551,4276,
,20/10/2016,27.3,Other,4020,4565,4293,
,21/10/2016,37.8,Other,3970,4540,4255,
,22/10/2016,72.3,Other,3935,4531,4233,
,24/10/2016,51.4,Other,3870,4475,4173,
,25/10/2016,46.5,Other,3870,4481,4176,
,26/10/2016,51.8,Other,3845,4485,4165,
,27/10/2016,33.7,Other,3850,4485,4168,
,28/10/2016,62.2, ,NR,NR,NR,
,29/10/2016,59.9, ,NR,NR,NR,
Bhawani Mandi,07/10/2016,3.5,Other,3600,3899,3749,
,08/10/2016,6,Other,3700,4031,3865,
,14/10/2016,6,Other,3700,3975,3837,
,19/10/2016,7,Other,3700,3949,3824,
,21/10/2016,1,Other,3700,3900,3800,
,22/10/2016,1,Other,3700,3880,3775,
,24/10/2016,5,Other,3700,3940,3820,
,25/10/2016,1,Other,3750,3900,3825,
,26/10/2016,2,Other,3000,3950,3475,
Bhawani Mandi(Choumehla),17/10/2016,37.5,Other,4400,4400,4400,
,20/10/2016,24,Other,4000,4000,4000,
Bhawani Mandi(Raipur),14/10/2016,2.4,Mustard,3951,3990,3970,
Bheenmal(Ranlwada),04/10/2016,0.34,Other,3400,3600,3500,
,08/10/2016,0.34,Other,3420,3660,3540,
Bhilwara,03/10/2016,1.8,Other,3800,3900,3850,
,04/10/2016,0.2,Other,3700,3825,3762,
,14/10/2016,1,Other,3700,3900,3800,
,17/10/2016,2.3,Other,3500,4000,3750,
,20/10/2016,1.2,Other,4000,4100,4050,
Bhinmal,21/10/2016,0.3,Other,3900,3900,3900,
,24/10/2016,1,Other,3900,3900,3900,
,26/10/2016,0.5,Other,3700,3700,3700,
Bijay Nagar,05/10/2016,0.3,Other,3750,3750,3750,
,20/10/2016,1,Other,3825,3825,3825,
Bikaner (Grain),01/10/2016,3.5,Other,3951,4001,3976,
,04/10/2016,10.8,Other,3751,4001,3876,
,06/10/2016,2.3,Other,3861,3931,3896,
,07/10/2016,6,Other,4041,4041,4041,
,10/10/2016,74.6,Other,3751,4081,3916,
,11/10/2016,2.2,Other,3851,3875,3863,
,12/10/2016,6.1,Other,3851,3901,3876,
,13/10/2016,13,Other,3701,3881,3791,
,17/10/2016,13,Other,3861,3861,3861,
,18/10/2016,10,Other,3901,3901,3901,
,19/10/2016,9,Other,3911,3911,3911,
,20/10/2016,0.6,Other,3531,3871,3701,
,22/10/2016,27,Other,3851,3911,3881,
,27/10/2016,3.3,Other,3751,3775,3763,
Bundi,04/10/2016,5,Other,3880,3999,3940,
,05/10/2016,1.5,Other,3860,3923,3892,
,10/10/2016,1, ,NR,NR,NR,
