Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aklera,01/12/2017,0.8,Other,3500,3625,3562,
,02/12/2017,6,Other,3600,3700,3650,
,04/12/2017,8.5,Other,3600,3750,3650,
,05/12/2017,1.7,Other,3626,3626,3626,
,07/12/2017,1.7,Other,3690,3722,3706,
,08/12/2017,3.8,Other,3550,3600,3575,
,09/12/2017,4.7,Other,3450,3550,3500,
,11/12/2017,5.5,Other,3470,3525,3498,
,12/12/2017,2.1,Other,3499,3550,3525,
,13/12/2017,2.5,Other,3563,3576,3570,
,14/12/2017,3,Other,3550,3564,3555,
,15/12/2017,4.2,Other,3500,3560,3530,
,16/12/2017,2.1,Other,3500,3550,3525,
,18/12/2017,2.1,Other,3500,3550,3525,
,19/12/2017,3,Other,3525,3600,3562,
,20/12/2017,3.4,Other,3500,3580,3540,
,21/12/2017,6,Other,3570,3585,3578,
,22/12/2017,1.7,Other,3539,3550,3545,
,23/12/2017,6,Other,3538,3576,3557,
,25/12/2017,5.1,Other,3480,3570,3525,
,27/12/2017,6.8,Other,3450,3570,3510,
,28/12/2017,9.4,Other,3550,3580,3565,
,29/12/2017,11,Other,3500,3528,3514,
Alwar,01/12/2017,189,Other,3550,3975,3750,
,02/12/2017,189.9,Other,3550,3975,3750,
,04/12/2017,210.6,Other,3550,4025,3775,
,05/12/2017,216.6,Other,3550,4000,3750,
,06/12/2017,152.8,Other,3525,3975,3750,
,07/12/2017,169.5,Other,3500,3950,3725,
,08/12/2017,146.5,Other,3550,3950,3750,
,09/12/2017,165.9,Other,3550,3975,3775,
,11/12/2017,146.3,Other,3550,3950,3750,
,12/12/2017,110.7,Other,3575,3975,3775,
,13/12/2017,118.3,Other,3575,3975,3775,
,14/12/2017,215.5,Other,3575,3975,3775,
,15/12/2017,139.1,Other,3525,3925,3725,
,16/12/2017,133.9,Other,3550,3925,3725,
,18/12/2017,166.4,Other,3500,3900,3700,
,19/12/2017,149.7,Other,3525,3925,3725,
,20/12/2017,155.8,Other,3525,3925,3725,
,21/12/2017,156.8,Other,3550,3925,3750,
,22/12/2017,137.4,Other,3550,3925,3750,
,23/12/2017,148.2,Other,3550,3950,3750,
,25/12/2017,202.9,Other,3550,3950,3750,
,26/12/2017,174.2,Other,3550,3950,3750,
,27/12/2017,177.9,Other,3550,3925,3750,
,28/12/2017,198.3,Other,3550,3925,3700,
,29/12/2017,201.7,Other,3550,3925,3725,
,30/12/2017,144.5,Other,3550,3925,3725,
Anoopgarh,01/12/2017,15,Other,3611,3676,3644,
,02/12/2017,9.8,Other,3600,3684,3642,
,04/12/2017,3.5,Other,3580,3631,3606,
,05/12/2017,34.1,Other,3432,3671,3552,
,06/12/2017,6.2,Other,3550,3661,3601,
,07/12/2017,33.4,Other,3450,3621,3535,
,08/12/2017,35.9,Other,3571,3607,3589,
,09/12/2017,16,Other,3570,3607,3589,
,11/12/2017,5.5,Other,3575,3575,3575,
,12/12/2017,3,Other,3541,3581,3561,
,13/12/2017,15.3,Other,3560,3615,3588,
,14/12/2017,42.8,Other,3575,3625,3600,
,15/12/2017,6.4,Other,3501,3530,3515,
,16/12/2017,26.8,Other,3571,3601,3586,
,18/12/2017,30.6,Other,3560,3600,3580,
,19/12/2017,17.9,Other,3400,3585,3493,
,20/12/2017,14.5,Other,3550,3571,3561,
,21/12/2017,18.2,Other,3550,3555,3553,
,22/12/2017,10.5, ,NR,NR,NR,
,23/12/2017,4,Other,3480,3577,3539,
,25/12/2017,5.4,Other,3570,3612,3591,
,26/12/2017,19.3,Other,3550,3641,3596,
,27/12/2017,10.7,Other,3580,3641,3601,
,28/12/2017,17.5,Other,3550,3611,3581,
,29/12/2017,62,Other,3550,3600,3575,
,30/12/2017,16.5,Other,3531,3585,3558,
Anta,08/12/2017,4.7,Other,3442,3481,3462,
,20/12/2017,1.4,Other,3461,3482,3472,
,27/12/2017,3.5,Other,3341,3341,3341,
,29/12/2017,3.7,Other,3400,3400,3400,
Atru,01/12/2017,14.6,Other,3645,3716,3680,
,02/12/2017,13.7,Other,3551,3701,3626,
,04/12/2017,15,Other,3601,3722,3662,
,05/12/2017,2.1,Other,3681,3681,3681,
,06/12/2017,1.7,Other,3648,3648,3648,
,07/12/2017,3.1,Other,3679,3684,3681,
,08/12/2017,2.9,Other,3500,3576,3538,
,09/12/2017,4.5,Other,2932,3638,3285,
,11/12/2017,18.1,Other,3460,3621,3540,
,13/12/2017,23.7,Other,3502,3602,3552,
,15/12/2017,6.5,Other,3550,3591,3570,
,16/12/2017,13.1,Other,3401,3597,3499,
,18/12/2017,11.3,Other,2556,3598,3077,
,19/12/2017,13.3,Other,3535,3551,3543,
,20/12/2017,9.7,Other,3469,3611,3540,
,21/12/2017,23.1,Other,2790,3585,3187,
,22/12/2017,23,Other,2870,3590,3230,
,23/12/2017,19.2,Other,2950,3583,3266,
,25/12/2017,4.5,Other,2720,3570,3145,
,26/12/2017,7.5,Other,3400,3588,3494,
,27/12/2017,14.6,Other,3539,3587,3563,
,28/12/2017,26.8,Other,3528,3550,3539,
,29/12/2017,14.7,Other,3400,3568,3484,
,30/12/2017,18.5,Other,3001,3538,3269,
Atru(Kawai Salpura),01/12/2017,1.2,Other,3631,3641,3636,
,02/12/2017,2,Other,2400,3531,2966,
,04/12/2017,5.1,Other,3600,3700,3650,
,05/12/2017,0.1,Other,3600,3600,3600,
,06/12/2017,2.1,Other,3699,3699,3699,
,07/12/2017,7,Other,3625,3671,3648,
,08/12/2017,9.8,Other,3510,3621,3566,
,13/12/2017,3.5,Other,3514,3549,3532,
,16/12/2017,3.1,Other,3501,3551,3526,
,18/12/2017,5,Other,3426,3530,3478,
,19/12/2017,3.7,Other,3401,3541,3471,
,20/12/2017,0.2,Other,3521,3521,3521,
,21/12/2017,6.1,Other,3486,3551,3519,
,22/12/2017,11.6,Other,3345,3548,3447,
,23/12/2017,8.2,Other,3511,3551,3531,
,25/12/2017,6.6,Other,3550,3571,3561,
,26/12/2017,13.9,Other,3499,3575,3537,
,27/12/2017,5.3,Other,3542,3564,3553,
,28/12/2017,1.7,Other,3430,3430,3430,
,29/12/2017,1.9,Other,3450,3475,3463,
,30/12/2017,2.1,Other,3520,3520,3520,
Badrisadri,01/12/2017,1.9,Other,3453,3600,3528,
,04/12/2017,3.4,Other,3500,3571,3538,
,08/12/2017,0.8,Other,3470,3531,3502,
,13/12/2017,6.2,Other,3421,3529,3476,
,14/12/2017,0.9,Other,3459,3475,3466,
,15/12/2017,2.3,Other,3430,3482,3453,
,16/12/2017,0.2,Other,3376,3476,3425,
,18/12/2017,2.4,Other,3456,3476,3464,
,19/12/2017,0.9,Other,3100,3459,3281,
,20/12/2017,2.7,Other,3351,3463,3405,
,21/12/2017,4.6,Other,3401,3650,3526,
,22/12/2017,2.7,Other,3051,3451,3253,
,26/12/2017,5,Other,3413,3433,3425,
,27/12/2017,2.3,Other,3381,3438,3411,
,28/12/2017,1.2,Other,3251,3431,3343,
,29/12/2017,0.9,Other,3301,3391,3344,
,30/12/2017,1.9,Other,2701,3440,3073,
Bandikui,01/12/2017,7,Other,3300,3771,3536,
,02/12/2017,13.5,Other,3640,3760,3700,
,03/12/2017,9.4,Other,3530,3780,3655,
,04/12/2017,8.6,Other,3551,3780,3666,
,06/12/2017,5.7,Other,3505,3735,3620,
,07/12/2017,3.2,Other,3500,3773,3637,
,08/12/2017,5.3,Other,3350,3732,3541,
,09/12/2017,12.8,Other,3450,3700,3575,
,10/12/2017,3.1,Other,3560,3702,3631,
,11/12/2017,10.2,Other,3470,3700,3585,
,13/12/2017,2.6,Other,3600,3715,3658,
,14/12/2017,3.4,Other,3630,3900,3765,
,15/12/2017,8.1,Other,3470,3625,3598,
,16/12/2017,4.2,Other,3400,3680,3540,
,17/12/2017,9,Other,3500,3700,3600,
,18/12/2017,4.3,Other,3280,3675,3478,
,20/12/2017,11.7,Other,3350,3700,3525,
,21/12/2017,6.9,Other,3550,3665,3608,
,22/12/2017,15.5,Other,3225,3675,3450,
,23/12/2017,15.1,Other,3550,3704,3627,
,24/12/2017,10.4,Other,3525,3720,3623,
,25/12/2017,20.9,Other,3540,3700,3620,
,27/12/2017,12,Other,3520,3610,3565,
,28/12/2017,8.6,Other,3480,3591,3536,
,29/12/2017,8.4,Other,3400,3565,3483,
Bandikui(Geejgarh),01/12/2017,7.8,Other,3638,3673,3656,
,21/12/2017,2.8,Other,3538,3600,3569,
Baran,01/12/2017,68,Other,3602,3712,3650,
,02/12/2017,59.5,Other,3584,3732,3695,
,04/12/2017,76.5,Other,3617,3741,3687,
,05/12/2017,42.5,Other,3596,3699,3601,
,06/12/2017,7.6,Other,3626,3731,3690,
,07/12/2017,68,Other,3401,3636,3550,
,08/12/2017,76.5,Other,3556,3738,3629,
,09/12/2017,51,Other,3508,3648,3620,
,11/12/2017,80.7,Other,3469,3650,3565,
,12/12/2017,51,Other,3530,3612,3575,
,13/12/2017,51,Other,3521,3671,3576,
,14/12/2017,68,Other,3471,3711,3557,
,16/12/2017,85,Other,3461,3685,3549,
,18/12/2017,68,Other,3401,3651,3545,
,19/12/2017,68,Other,3455,3699,3550,
,20/12/2017,127.5,Other,3481,3621,3549,
,21/12/2017,170,Other,3275,3634,3462,
,22/12/2017,153,Other,3360,3641,3481,
,23/12/2017,68,Other,3481,3666,3500,
,25/12/2017,85,Other,3435,3691,3547,
,26/12/2017,102,Other,3451,3660,3562,
,27/12/2017,153,Other,3475,3645,3550,
,28/12/2017,127.5,Other,3400,3627,3527,
,29/12/2017,127.5,Other,3430,3561,3500,
,30/12/2017,102,Other,3378,3582,3461,
Barmer,15/12/2017,15.6,Mustard,3400,3600,3500,
,22/12/2017,0.2,Mustard,3100,3300,3200,
Bayana,01/12/2017,53.2,Mustard,3635,3846,3700,
,02/12/2017,44,Mustard,3640,3855,3750,
,04/12/2017,37.9,Mustard,3736,3951,3850,
,05/12/2017,15.1,Mustard,3570,3914,3775,
,06/12/2017,18.9,Mustard,3573,3920,3750,
,07/12/2017,43.9,Mustard,3667,3857,3800,
,08/12/2017,81.7,Mustard,3686,3856,3800,
,09/12/2017,52,Mustard,3646,3866,3800,
,11/12/2017,36.4,Mustard,3562,3858,3800,
,12/12/2017,53,Mustard,3670,3884,3800,
,13/12/2017,47.8,Mustard,3622,3874,3750,
,14/12/2017,35.3,Mustard,3592,3870,3750,
,15/12/2017,76.6,Mustard,3598,3823,3750,
,16/12/2017,50.3,Mustard,3650,3795,3750,
,18/12/2017,48.3,Mustard,3425,3834,3750,
,19/12/2017,50.1,Mustard,3677,3886,3775,
,20/12/2017,84.1,Mustard,3610,3864,3750,
,21/12/2017,27.5,Mustard,3590,3725,3650,
,22/12/2017,55.8,Mustard,3547,3732,3700,
,23/12/2017,57.5,Mustard,3657,3789,3700,
,25/12/2017,36.5,Mustard,3657,3789,3700,
,26/12/2017,79.4,Mustard,3350,3758,3650,
,27/12/2017,72.6,Mustard,3497,3760,3650,
,28/12/2017,72.3,Mustard,3517,3735,3650,
,29/12/2017,50.7,Mustard,3515,3841,3650,
,30/12/2017,71.9,Mustard,3515,3694,3650,
Beawar,01/12/2017,2.5,Other,3300,3400,3350,
,02/12/2017,1.5,Other,3300,3450,3375,
,08/12/2017,1,Other,3400,3500,3450,
,15/12/2017,1.5,Other,3400,3550,3475,
,19/12/2017,3,Other,3400,3500,3450,
,23/12/2017,26.4,Other,4900,5131,5015,
,26/12/2017,1.2,Other,3500,3600,3550,
