Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,01/08/2016,3, ,NR,NR,NR,
,02/08/2016,2.5,Lohi Black,4170,4190,4180,
,03/08/2016,2,Lohi Black,4180,4220,4200,
,05/08/2016,2,Lohi Black,4200,4250,4230,
,06/08/2016,1.8,Lohi Black,4230,4300,4250,
,08/08/2016,2.5,Lohi Black,4230,4260,4250,
,09/08/2016,2,Lohi Black,4200,4300,4280,
,10/08/2016,1.7,Lohi Black,4270,4295,4290,
,11/08/2016,2.5,Lohi Black,4260,4280,4270,
,12/08/2016,2,Lohi Black,4280,4320,4300,
,13/08/2016,1.8,Lohi Black,4270,4320,4300,
,16/08/2016,1.5,Lohi Black,4300,4340,4320,
,17/08/2016,2.5, ,NR,NR,NR,
,18/08/2016,2.8,Lohi Black,4280,4320,4300,
,19/08/2016,2,Lohi Black,4270,4320,4300,
,20/08/2016,1.8,Lohi Black,4260,4320,4300,
,22/08/2016,2.5,Lohi Black,4260,4300,4280,
,25/08/2016,2.5,Lohi Black,4250,4280,4270,
,26/08/2016,2,Lohi Black,4250,4300,4280,
,27/08/2016,1.8,Lohi Black,4260,4290,4280,
,29/08/2016,2.8,Lohi Black,4230,4270,4250,
,30/08/2016,2,Lohi Black,4250,4300,4270,
,31/08/2016,1.8,Lohi Black,4250,4300,4280,
Achnera,07/08/2016,6,Sarson(Black),NR,NR,4400,
,08/08/2016,9,Sarson(Black),NR,NR,4350,
,09/08/2016,12,Sarson(Black),NR,NR,4300,
,10/08/2016,6,Sarson(Black),NR,NR,4300,
,11/08/2016,6,Sarson(Black),NR,NR,4300,
,12/08/2016,6,Sarson(Black),NR,NR,4250,
,13/08/2016,6,Sarson(Black),NR,NR,4300,
,14/08/2016,8,Sarson(Black),NR,NR,4300,
,15/08/2016,7,Sarson(Black),NR,NR,4300,
,16/08/2016,23,Sarson(Black),NR,NR,4250,
,17/08/2016,23,Sarson(Black),NR,NR,4300,
,20/08/2016,27,Sarson(Black),NR,NR,4300,
,21/08/2016,25,Sarson(Black),NR,NR,4200,
,22/08/2016,24,Sarson(Black),NR,NR,4250,
,23/08/2016,26,Sarson(Black),NR,NR,4260,
,25/08/2016,28,Sarson(Black),NR,NR,4280,
,26/08/2016,24,Sarson(Black),NR,NR,4270,
,27/08/2016,22,Sarson(Black),NR,NR,4280,
,28/08/2016,24,Sarson(Black),NR,NR,4250,
,29/08/2016,27,Sarson(Black),NR,NR,4200,
,30/08/2016,21,Sarson(Black),NR,NR,4340,
,31/08/2016,34,Sarson(Black),NR,NR,4240,
Agra,01/08/2016,450,Sarson(Black),NR,NR,4310,
,02/08/2016,480,Sarson(Black),NR,NR,4300,
,03/08/2016,460,Sarson(Black),NR,NR,4320,
,04/08/2016,500,Sarson(Black),NR,NR,4305,
,05/08/2016,440,Sarson(Black),NR,NR,4340,
,06/08/2016,420,Sarson(Black),NR,NR,4310,
,08/08/2016,420,Sarson(Black),NR,NR,4310,
,09/08/2016,425,Sarson(Black),NR,NR,4300,
,10/08/2016,390,Sarson(Black),NR,NR,4310,
,11/08/2016,380,Sarson(Black),NR,NR,4320,
,12/08/2016,370,Sarson(Black),NR,NR,4340,
,16/08/2016,350,Sarson(Black),NR,NR,4350,
,17/08/2016,400,Sarson(Black),NR,NR,4320,
,18/08/2016,470,Sarson(Black),NR,NR,4500,
,19/08/2016,470,Sarson(Black),NR,NR,4310,
,20/08/2016,440,Sarson(Black),NR,NR,4320,
,22/08/2016,438,Sarson(Black),NR,NR,4340,
,23/08/2016,430,Sarson(Black),NR,NR,4350,
,25/08/2016,492,Sarson(Black),NR,NR,4350,
,26/08/2016,486,Sarson(Black),NR,NR,4360,
,27/08/2016,450,Sarson(Black),NR,NR,4380,
,29/08/2016,475,Sarson(Black),NR,NR,4370,
,30/08/2016,485,Sarson(Black),NR,NR,4350,
,31/08/2016,500,Sarson(Black),NR,NR,4340,
Ahirora,26/08/2016,0.5,Other,NR,NR,4260,
Aligarh,01/08/2016,70,Sarson(Black),4150,4250,4200,
,02/08/2016,60,Sarson(Black),4200,4300,4250,
,03/08/2016,50,Sarson(Black),4250,4350,4300,
,04/08/2016,70,Sarson(Black),4200,4300,4250,
,05/08/2016,60,Sarson(Black),4250,4350,4300,
,06/08/2016,50,Sarson(Black),4200,4300,4250,
,08/08/2016,60,Sarson(Black),4250,4350,4300,
,09/08/2016,80,Sarson(Black),4250,4350,4300,
,10/08/2016,50,Sarson(Black),4200,4300,4250,
,11/08/2016,60,Sarson(Black),4250,4350,4300,
,12/08/2016,70,Sarson(Black),4200,4300,4250,
,13/08/2016,60,Sarson(Black),4200,4300,4250,
,15/08/2016,50,Sarson(Black),4200,4300,4250,
,16/08/2016,70,Sarson(Black),4250,4350,4300,
,17/08/2016,60,Sarson(Black),4200,4300,4250,
,19/08/2016,50,Sarson(Black),4250,4350,4300,
,20/08/2016,70,Sarson(Black),4200,4300,4250,
,22/08/2016,60,Sarson(Black),4150,4250,4200,
,25/08/2016,70,Sarson(Black),4150,4250,4200,
,26/08/2016,50,Sarson(Black),4200,4300,4250,
,31/08/2016,70,Sarson(Black),4200,4300,4250,
Allahabad,03/08/2016,20,Lohi Black,NR,NR,4180,
,04/08/2016,10,Lohi Black,NR,NR,4180,
,05/08/2016,15,Lohi Black,NR,NR,4200,
,06/08/2016,20,Lohi Black,NR,NR,4215,
,08/08/2016,30,Lohi Black,NR,NR,4220,
,10/08/2016,20,Lohi Black,NR,NR,4255,
,11/08/2016,25,Lohi Black,NR,NR,4260,
,12/08/2016,10,Lohi Black,NR,NR,4265,
,16/08/2016,15,Lohi Black,NR,NR,4270,
,17/08/2016,16,Lohi Black,NR,NR,4260,
,18/08/2016,18,Lohi Black,NR,NR,4275,
,19/08/2016,17.5,Lohi Black,NR,NR,4265,
,22/08/2016,30,Lohi Black,NR,NR,4270,
,23/08/2016,15,Lohi Black,NR,NR,4270,
,24/08/2016,30,Lohi Black,NR,NR,4270,
,25/08/2016,20,Lohi Black,NR,NR,4270,
,27/08/2016,30,Lohi Black,NR,NR,4275,
,29/08/2016,25,Lohi Black,NR,NR,4280,
,30/08/2016,20,Lohi Black,NR,NR,4280,
,31/08/2016,18,Lohi Black,NR,NR,4280,
Amroha,05/08/2016,9,Sarson(Black),NR,NR,4250,
Anandnagar,04/08/2016,4.5,Lohi Black,3500,3850,3625,
,24/08/2016,4.5,Lohi Black,3550,3850,3675,
Anwala,26/08/2016,115,Sarson(Black),NR,NR,4000,
Atarra,01/08/2016,1,Sarson(Black),4000,4250,4200,
,02/08/2016,1.5,Sarson(Black),4000,4300,4200,
,03/08/2016,2,Sarson(Black),4000,4300,4200,
,04/08/2016,1,Sarson(Black),4100,4300,4200,
,06/08/2016,1.5,Sarson(Black),4100,4300,4200,
,07/08/2016,2,Sarson(Black),4000,4300,4200,
,08/08/2016,2,Sarson(Black),4100,4300,4200,
,09/08/2016,3,Sarson(Black),4100,4300,4200,
,13/08/2016,2.5,Sarson(Black),4000,4300,4200,
,14/08/2016,2,Sarson(Black),4000,4300,4200,
,16/08/2016,0.5,Sarson(Black),4000,4300,4200,
,17/08/2016,1,Sarson(Black),4000,4300,4200,
,18/08/2016,1.5,Sarson(Black),4000,4300,4200,
,20/08/2016,1.5,Sarson(Black),4000,4200,4100,
,21/08/2016,1,Sarson(Black),4000,4200,4100,
,22/08/2016,2,Sarson(Black),4000,4200,4100,
,23/08/2016,1.5,Sarson(Black),4000,4200,4100,
,24/08/2016,1.5,Sarson(Black),4000,4200,4100,
,25/08/2016,2,Sarson(Black),4000,4200,4100,
,27/08/2016,3,Sarson(Black),4000,4200,4100,
,28/08/2016,1,Sarson(Black),4000,4200,4100,
,29/08/2016,2.5,Sarson(Black),4000,4200,4100,
,30/08/2016,3.5,Sarson(Black),4000,4200,4100,
,31/08/2016,3,Sarson(Black),4000,4200,4100,
Auraiya,01/08/2016,2,Lohi Black,NR,NR,4380,
,02/08/2016,1.5,Lohi Black,NR,NR,4385,
,03/08/2016,1,Lohi Black,NR,NR,4380,
,04/08/2016,1.5,Lohi Black,NR,NR,4370,
,05/08/2016,2,Lohi Black,NR,NR,4380,
,06/08/2016,2.5,Lohi Black,NR,NR,4350,
,08/08/2016,3.5,Lohi Black,NR,NR,4350,
,09/08/2016,2.5,Lohi Black,NR,NR,4365,
,10/08/2016,4,Lohi Black,NR,NR,4350,
,11/08/2016,3,Lohi Black,NR,NR,4360,
,12/08/2016,2.5,Lohi Black,NR,NR,4350,
,13/08/2016,2,Lohi Black,NR,NR,4360,
,16/08/2016,3.5,Lohi Black,NR,NR,4370,
,17/08/2016,4,Lohi Black,NR,NR,4360,
,18/08/2016,2.5,Lohi Black,NR,NR,4355,
,19/08/2016,3.5,Lohi Black,NR,NR,4350,
,20/08/2016,2,Lohi Black,NR,NR,4340,
,22/08/2016,2.5,Lohi Black,NR,NR,4335,
,23/08/2016,3.5,Lohi Black,NR,NR,4325,
,24/08/2016,2,Lohi Black,NR,NR,4320,
,26/08/2016,3,Lohi Black,NR,NR,4330,
,27/08/2016,50,Lohi Black,NR,NR,4320,
,29/08/2016,2,Lohi Black,NR,NR,4350,
,30/08/2016,2.5,Lohi Black,NR,NR,4340,
,31/08/2016,3.5,Lohi Black,NR,NR,4335,
Azamgarh,01/08/2016,12,Lohi Black,4150,4250,4210,
,02/08/2016,9,Lohi Black,4175,4275,4215,
,03/08/2016,8.5,Lohi Black,4175,4275,4225,
,04/08/2016,8,Lohi Black,4200,4250,4230,
,05/08/2016,7.5,Lohi Black,4175,4275,4240,
,06/08/2016,9.5,Lohi Black,4200,4250,4225,
,08/08/2016,10,Lohi Black,4175,4250,4220,
,09/08/2016,12,Lohi Black,4175,4275,4220,
,10/08/2016,11,Lohi Black,4175,4275,4220,
,11/08/2016,10,Lohi Black,4175,4275,4225,
,12/08/2016,12,Lohi Black,4150,4250,4200,
,13/08/2016,16,Lohi Black,4125,4225,4185,
,16/08/2016,18,Lohi Black,4125,4225,4175,
,17/08/2016,15,Lohi Black,4125,4225,4185,
