Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,01/01/2016,3,Lohi Black,NR,NR,4340,
,02/01/2016,2.2,Lohi Black,NR,NR,4350,
,04/01/2016,2.8,Lohi Black,NR,NR,4335,
,05/01/2016,2.5,Lohi Black,NR,NR,4345,
,06/01/2016,2, ,NR,NR,NR,
,07/01/2016,1.8,Lohi Black,NR,NR,4400,
,08/01/2016,1.5,Lohi Black,NR,NR,4425,
,09/01/2016,1.2,Lohi Black,NR,NR,4430,
,11/01/2016,3,Lohi Black,NR,NR,4420,
,12/01/2016,2.5,Lohi Black,NR,NR,4450,
,13/01/2016,2,Lohi Black,NR,NR,4470,
,14/01/2016,30,Lohi Black,NR,NR,4460,
,15/01/2016,2.4,Lohi Black,NR,NR,4480,
,16/01/2016,2,Lohi Black,NR,NR,4500,
,18/01/2016,3,Lohi Black,NR,NR,4500,
,19/01/2016,2.5,Lohi Black,NR,NR,4500,
,20/01/2016,2.2,Lohi Black,NR,NR,4520,
,22/01/2016,2.6,Lohi Black,NR,NR,4525,
,23/01/2016,2,Lohi Black,NR,NR,4530,
,25/01/2016,3,Lohi Black,NR,NR,4480,
,27/01/2016,3.5,Lohi Black,NR,NR,4450,
,28/01/2016,2.8,Lohi Black,NR,NR,4455,
,29/01/2016,2.2,Lohi Black,NR,NR,4460,
,30/01/2016,3,Lohi Black,NR,NR,4450,
Achnera,30/01/2016,280,Sarson(Black),NR,NR,4000,
Agra,01/01/2016,465,Sarson(Black),NR,NR,4270,
,02/01/2016,460,Sarson(Black),NR,NR,4250,
,06/01/2016,405,Sarson(Black),NR,NR,4300,
,07/01/2016,410,Sarson(Black),NR,NR,4280,
,08/01/2016,400,Sarson(Black),NR,NR,4310,
,09/01/2016,380,Sarson(Black),NR,NR,4340,
,11/01/2016,400,Sarson(Black),NR,NR,4320,
,12/01/2016,380,Sarson(Black),NR,NR,4350,
,13/01/2016,380,Sarson(Black),NR,NR,4310,
,14/01/2016,320, ,NR,NR,NR,
,16/01/2016,360,Sarson(Black),NR,NR,4250,
,18/01/2016,370,Sarson(Black),NR,NR,4210,
