Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,01/03/2016,3,Lohi Black,NR,NR,3385,
,02/03/2016,3.5,Lohi Black,NR,NR,3340,
,03/03/2016,4,Lohi Black,NR,NR,3280,
,04/03/2016,4.5,Lohi Black,NR,NR,3250,
,05/03/2016,3,Lohi Black,NR,NR,3260,
,07/03/2016,4,Lohi Black,NR,NR,3250,
,08/03/2016,3.5,Lohi Black,NR,NR,3270,
,09/03/2016,3,Lohi Black,NR,NR,3275,
,10/03/2016,4,Lohi Black,NR,NR,3250,
,11/03/2016,2.5,Lohi Black,NR,NR,3250,
,12/03/2016,2,Lohi Black,NR,NR,3285,
,14/03/2016,3.5,Lohi Black,NR,NR,3270,
,15/03/2016,3,Lohi Black,NR,NR,3300,
,16/03/2016,2.5,Lohi Black,NR,NR,3340,
,17/03/2016,4,Lohi Black,NR,NR,3325,
,18/03/2016,3.5,Lohi Black,NR,NR,3350,
,19/03/2016,3,Lohi Black,NR,NR,3400,
,21/03/2016,3.5,Lohi Black,NR,NR,3380,
,22/03/2016,2.8, ,NR,NR,NR,
,23/03/2016,2.5,Lohi Black,NR,NR,3400,
,25/03/2016,1.5,Lohi Black,NR,NR,3410,
,26/03/2016,2,Lohi Black,NR,NR,3400,
,28/03/2016,4,Lohi Black,NR,NR,3380,
,29/03/2016,3,Lohi Black,NR,NR,3380,
,30/03/2016,3,Lohi Black,NR,NR,3400,
,31/03/2016,3.5,Lohi Black,NR,NR,3380,
Achnera,31/03/2016,370,Sarson(Black),NR,NR,3400,
Agra,01/03/2016,520,Sarson(Black),NR,NR,3610,
,02/03/2016,560,Sarson(Black),NR,NR,3580,
,03/03/2016,92,Sarson(Black),NR,NR,5060,
,04/03/2016,560,Sarson(Black),NR,NR,3570,
,05/03/2016,550,Sarson(Black),NR,NR,3590,
,07/03/2016,580,Sarson(Black),NR,NR,3560,
,08/03/2016,560,Sarson(Black),NR,NR,3570,
,09/03/2016,580,Sarson(Black),NR,NR,3510,
,10/03/2016,550,Sarson(Black),NR,NR,3520,
,11/03/2016,590,Sarson(Black),NR,NR,3480,
,12/03/2016,570,Sarson(Black),NR,NR,3495,
,14/03/2016,600,Sarson(Black),NR,NR,3470,
,15/03/2016,620,Sarson(Black),NR,NR,3440,
,16/03/2016,610,Sarson(Black),NR,NR,3455,
,17/03/2016,660, ,NR,NR,NR,
,18/03/2016,620,Sarson(Black),NR,NR,3430,
,19/03/2016,640,Sarson(Black),NR,NR,3400,
,21/03/2016,620,Sarson(Black),NR,NR,3420,
,22/03/2016,610, ,NR,NR,NR,
,26/03/2016,650,Sarson(Black),NR,NR,3500,
,28/03/2016,660,Sarson(Black),NR,NR,3480,
,29/03/2016,630,Sarson(Black),NR,NR,3510,
,30/03/2016,600, ,NR,NR,NR,
,31/03/2016,620,Sarson(Black),NR,NR,3520,
Ahirora,29/03/2016,0.5,Other,3830,3900,3875,
Aligarh,01/03/2016,350,Sarson(Black),3450,3550,3500,
,02/03/2016,400,Sarson(Black),3450,3600,3550,
,03/03/2016,350,Sarson(Black),3450,3550,3500,
,04/03/2016,400,Sarson(Black),3300,3450,3400,
,05/03/2016,300,Sarson(Black),3300,3400,3350,
,07/03/2016,350,Sarson(Black),3250,3400,3340,
,08/03/2016,300,Sarson(Black),3200,3400,3220,
,09/03/2016,400,Sarson(Black),3250,3400,3350,
,10/03/2016,450,Sarson(Black),3300,3400,3340,
,11/03/2016,350,Sarson(Black),3300,3400,3350,
,12/03/2016,400,Sarson(Black),3350,3450,3400,
,14/03/2016,400,Sarson(Black),3400,3500,3450,
,15/03/2016,350,Sarson(Black),3400,3520,3470,
,16/03/2016,400,Sarson(Black),3400,3500,3450,
