Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,02/05/2016,3,Lohi Black,NR,NR,3900,
,03/05/2016,2,Lohi Black,NR,NR,3950,
,04/05/2016,1.8,Lohi Black,NR,NR,4000,
,05/05/2016,2.8,Lohi Black,NR,NR,4000,
,06/05/2016,2.2,Lohi Black,NR,NR,4050,
,07/05/2016,2,Lohi Black,NR,NR,4080,
,09/05/2016,3.8,Lohi Black,NR,NR,4070,
,10/05/2016,3.5,Lohi Black,NR,NR,4085,
,11/05/2016,3,Lohi Black,NR,NR,4100,
,12/05/2016,3.5,Lohi Black,NR,NR,4100,
,13/05/2016,3,Lohi Black,NR,NR,4120,
,14/05/2016,2.4,Lohi Black,NR,NR,4110,
,16/05/2016,3.5,Lohi Black,NR,NR,4100,
,17/05/2016,3,Lohi Black,NR,NR,4120,
,18/05/2016,2.5,Lohi Black,NR,NR,4130,
,19/05/2016,3,Lohi Black,NR,NR,4120,
,20/05/2016,2,Lohi Black,NR,NR,4130,
,21/05/2016,1.8,Lohi Black,NR,NR,4041,
,23/05/2016,3,Lohi Black,NR,NR,4125,
,24/05/2016,2.2,Lohi Black,NR,NR,4125,
,25/05/2016,2,Lohi Black,NR,NR,4130,
,26/05/2016,2.5,Lohi Black,NR,NR,4125,
,27/05/2016,2.2,Lohi Black,NR,NR,4130,
,28/05/2016,2,Lohi Black,NR,NR,4150,
,30/05/2016,3,Lohi Black,NR,NR,4120,
,31/05/2016,2.5,Lohi Black,NR,NR,4125,
Achnera,30/05/2016,320,Sarson(Black),NR,NR,3800,
Agra,02/05/2016,540,Sarson(Black),NR,NR,3680,
,05/05/2016,450,Sarson(Black),NR,NR,3760,
,06/05/2016,420,Sarson(Black),NR,NR,3780,
,07/05/2016,440,Sarson(Black),NR,NR,3775,
,09/05/2016,480,Sarson(Black),NR,NR,3755,
,10/05/2016,460,Sarson(Black),NR,NR,3770,
,11/05/2016,440,Sarson(Black),NR,NR,3800,
,12/05/2016,420,Sarson(Black),NR,NR,3820,
,13/05/2016,410,Sarson(Black),NR,NR,3830,
,14/05/2016,460,Sarson(Black),NR,NR,3815,
,16/05/2016,480,Sarson(Black),NR,NR,3795,
,17/05/2016,460,Sarson(Black),NR,NR,3800,
,18/05/2016,450,Sarson(Black),NR,NR,3810,
,19/05/2016,420,Sarson(Black),NR,NR,3825,
,20/05/2016,435,Sarson(Black),NR,NR,3815,
,21/05/2016,440,Sarson(Black),NR,NR,3810,
,23/05/2016,410,Sarson(Black),NR,NR,3840,
,24/05/2016,460,Sarson(Black),NR,NR,3805,
,25/05/2016,440,Sarson(Black),NR,NR,3835,
,26/05/2016,420,Sarson(Black),NR,NR,3850,
,27/05/2016,400,Sarson(Black),NR,NR,3870,
,30/05/2016,440,Sarson(Black),NR,NR,3900,
,31/05/2016,410,Sarson(Black),NR,NR,4010,
Ahirora,26/05/2016,1,Other,NR,NR,4100,
Aligarh,02/05/2016,150,Sarson(Black),3850,3950,3900,
,03/05/2016,160,Sarson(Black),3900,4000,3940,
,04/05/2016,180,Sarson(Black),3820,3950,3880,
,05/05/2016,200,Sarson(Black),3750,3850,3800,
,06/05/2016,170,Sarson(Black),3800,3850,3820,
,07/05/2016,150,Sarson(Black),3800,3900,3850,
,09/05/2016,160,Sarson(Black),3850,3900,3870,
,10/05/2016,140,Sarson(Black),3860,3950,3900,
,11/05/2016,120,Sarson(Black),3860,3950,3920,
,12/05/2016,110,Sarson(Black),3900,4000,3950,
,13/05/2016,100,Sarson(Black),3900,4000,3960,
,14/05/2016,120,Sarson(Black),3900,4000,3940,
,16/05/2016,110,Sarson(Black),3850,3950,3900,
,17/05/2016,100,Sarson(Black),3900,4000,3920,
,18/05/2016,90,Sarson(Black),3900,4000,3950,
,19/05/2016,110,Sarson(Black),3900,4050,4000,
,20/05/2016,100,Sarson(Black),3900,4000,3950,
,21/05/2016,90,Sarson(Black),3900,4000,3960,
,23/05/2016,110,Sarson(Black),3950,4000,3980,
,24/05/2016,90,Sarson(Black),3950,4050,4000,
,25/05/2016,100,Sarson(Black),3950,4050,4000,
,26/05/2016,80,Sarson(Black),3900,4000,3970,
,27/05/2016,90,Sarson(Black),3950,4050,4000,
,28/05/2016,100,Sarson(Black),3900,4050,3970,
,30/05/2016,80,Sarson(Black),3920,4050,4000,
,31/05/2016,90,Sarson(Black),3950,4050,4000,
Allahabad,02/05/2016,60,Lohi Black,NR,NR,3600,
,03/05/2016,63,Lohi Black,NR,NR,3600,
,04/05/2016,57.5,Lohi Black,NR,NR,3650,
,05/05/2016,65,Lohi Black,NR,NR,3650,
,06/05/2016,67.5,Lohi Black,NR,NR,3650,
,07/05/2016,75,Lohi Black,NR,NR,3625,
,09/05/2016,82.5,Lohi Black,NR,NR,3625,
,10/05/2016,67.5,Lohi Black,NR,NR,3625,
,11/05/2016,68,Lohi Black,NR,NR,3625,
,12/05/2016,70,Lohi Black,NR,NR,3600,
,13/05/2016,65,Lohi Black,NR,NR,3600,
,14/05/2016,57.5,Lohi Black,NR,NR,3600,
,16/05/2016,62.5,Lohi Black,NR,NR,3650,
,17/05/2016,65,Lohi Black,NR,NR,3650,
,18/05/2016,68,Lohi Black,NR,NR,3650,
,19/05/2016,55,Lohi Black,NR,NR,3660,
,20/05/2016,58,Lohi Black,NR,NR,3660,
,21/05/2016,49,Lohi Black,NR,NR,3660,
,23/05/2016,52.5,Lohi Black,NR,NR,3675,
,24/05/2016,55,Lohi Black,NR,NR,3675,
,25/05/2016,50,Lohi Black,NR,NR,3675,
,26/05/2016,47.5,Lohi Black,NR,NR,3685,
,27/05/2016,42.5,Lohi Black,NR,NR,3700,
,28/05/2016,41.5,Lohi Black,NR,NR,3750,
,30/05/2016,40,Lohi Black,NR,NR,3800,
,31/05/2016,35,Lohi Black,NR,NR,3850,
Amroha,28/05/2016,8,Sarson(Black),NR,NR,4000,
Anandnagar,19/05/2016,6,Lohi Black,3450,3700,3575,
Anwala,28/05/2016,146.5,Sarson(Black),NR,NR,3950,
Atarra,01/05/2016,2,Sarson(Black),3700,3900,3800,
,02/05/2016,3,Sarson(Black),3800,3900,3850,
,03/05/2016,2,Sarson(Black),3900,4100,4000,
,04/05/2016,1.5,Sarson(Black),3900,4100,4000,
,05/05/2016,1,Sarson(Black),3900,4100,4000,
,07/05/2016,2,Sarson(Black),3900,4100,4000,
,08/05/2016,2.5,Sarson(Black),3900,4100,4000,
,09/05/2016,1,Sarson(Black),3900,4100,4000,
,10/05/2016,4,Sarson(Black),3900,4100,4000,
,11/05/2016,3.5,Sarson(Black),3900,4100,4000,
,12/05/2016,5,Sarson(Black),3900,4100,4000,
,14/05/2016,1.5,Sarson(Black),4000,4200,4100,
,15/05/2016,2.5,Sarson(Black),4000,4200,4100,
,16/05/2016,3,Sarson(Black),4000,4200,4100,
,17/05/2016,4,Sarson(Black),4000,4200,4100,
,18/05/2016,3.5,Sarson(Black),4100,4300,4200,
,19/05/2016,3,Sarson(Black),4000,4200,4100,
,21/05/2016,3,Sarson(Black),4000,4200,4100,
,22/05/2016,3,Sarson(Black),4000,4200,4100,
,23/05/2016,4,Sarson(Black),4000,4200,4100,
,24/05/2016,3,Sarson(Black),4000,4200,4100,
,25/05/2016,2.5,Sarson(Black),4000,4200,4100,
,26/05/2016,3.5,Sarson(Black),4000,4200,4100,
,28/05/2016,3.5,Sarson(Black),4000,4200,4100,
,29/05/2016,4,Sarson(Black),4000,4200,4100,
,30/05/2016,2.5,Sarson(Black),4000,4200,4100,
,31/05/2016,3,Sarson(Black),4000,4200,4100,
Atrauli,27/05/2016,150,Sarson(Black),3900,4000,3950,
Auraiya,02/05/2016,2,Lohi Black,NR,NR,3940,
,03/05/2016,5,Lohi Black,NR,NR,3950,
,04/05/2016,4, ,NR,NR,NR,
,05/05/2016,6,Lohi Black,NR,NR,3965,
,06/05/2016,2.5,Lohi Black,NR,NR,3970,
,07/05/2016,2.5,Lohi Black,NR,NR,4025,
,09/05/2016,4,Lohi Black,NR,NR,4005,
,10/05/2016,2,Lohi Black,NR,NR,4010,
,11/05/2016,5,Lohi Black,NR,NR,4025,
,12/05/2016,4.5,Lohi Black,NR,NR,4015,
,13/05/2016,2.5,Lohi Black,NR,NR,4015,
,14/05/2016,3,Lohi Black,NR,NR,4010,
,16/05/2016,1.5,Lohi Black,NR,NR,4015,
,17/05/2016,2.5,Lohi Black,NR,NR,4025,
,18/05/2016,2.5,Lohi Black,NR,NR,4050,
,19/05/2016,2.5,Lohi Black,NR,NR,4060,
,20/05/2016,4,Lohi Black,NR,NR,4050,
,21/05/2016,6,Lohi Black,NR,NR,4010,
,23/05/2016,5,Lohi Black,NR,NR,4030,
,24/05/2016,4.5,Lohi Black,NR,NR,4050,
,25/05/2016,6.5,Lohi Black,NR,NR,4050,
,26/05/2016,5,Lohi Black,NR,NR,4060,
,27/05/2016,2.5,Lohi Black,NR,NR,4065,
,28/05/2016,3,Lohi Black,NR,NR,4050,
,30/05/2016,4,Lohi Black,NR,NR,4050,
,31/05/2016,3.5,Lohi Black,NR,NR,4045,
Azamgarh,02/05/2016,2.5,Lohi Black,3750,3800,3785,
,03/05/2016,4,Lohi Black,3750,3780,3765,
,05/05/2016,5,Lohi Black,3765,3800,3785,
,07/05/2016,3,Lohi Black,3785,3850,3820,
,10/05/2016,4,Lohi Black,3845,3890,3860,
,11/05/2016,7,Lohi Black,3800,3870,3835,
,12/05/2016,5,Lohi Black,3730,3875,3850,
,17/05/2016,6,Lohi Black,NR,NR,3890,
,19/05/2016,8,Lohi Black,3850,3900,3880,
,20/05/2016,5.5,Lohi Black,NR,NR,3890,
,23/05/2016,2,Lohi Black,3875,3940,3915,
,24/05/2016,2,Lohi Black,3885,3940,3915,
,26/05/2016,5,Lohi Black,NR,NR,3930,
,27/05/2016,7,Lohi Black,NR,NR,3950,
,31/05/2016,8,Lohi Black,3950,4020,3970,
Baberu,01/05/2016,10,Sarson(Black),3350,4025,4000,
,02/05/2016,15,Sarson(Black),3350,4000,3950,
,03/05/2016,7,Sarson(Black),3350,4000,3950,
,05/05/2016,5,Sarson(Black),NR,NR,3950,
,06/05/2016,4,Sarson(Black),NR,NR,3950,
,07/05/2016,8,Sarson(Black),3350,4000,3950,
,08/05/2016,6,Sarson(Black),NR,NR,3950,
,09/05/2016,5,Sarson(Black),NR,NR,3950,
,10/05/2016,8,Sarson(Black),3350,4000,3900,
,12/05/2016,11,Sarson(Black),3350,3900,3850,
,13/05/2016,5,Sarson(Black),3350,4150,4000,
,14/05/2016,4,Sarson(Black),3350,4150,4100,
,15/05/2016,6,Sarson(Black),3350,4150,4100,
,16/05/2016,3.5,Sarson(Black),3350,4200,4150,
,17/05/2016,7,Sarson(Black),3350,4150,4100,
,19/05/2016,10,Sarson(Black),3350,4100,4050,
,20/05/2016,15,Sarson(Black),3350,4050,4000,
,21/05/2016,8,Sarson(Black),3350,4050,4000,
,22/05/2016,7,Sarson(Black),3350,4050,4000,
,23/05/2016,8,Sarson(Black),3350,4050,3975,
,24/05/2016,10,Sarson(Black),3350,3950,3925,
,26/05/2016,6,Sarson(Black),3350,4000,3950,
,27/05/2016,4,Sarson(Black),3350,4025,3975,
,28/05/2016,5,Sarson(Black),3350,4025,3975,
,29/05/2016,7,Sarson(Black),NR,NR,3975,
,30/05/2016,5,Sarson(Black),3350,4025,3975,
,31/05/2016,15,Sarson(Black),3350,3950,3900,
Badayoun,03/05/2016,8,Other,3500,4050,4010,
,04/05/2016,7,Other,3570,4070,4020,
,05/05/2016,6,Other,4000,4070,4030,
,06/05/2016,5,Other,4000,4090,4040,
,07/05/2016,6,Other,3980,4080,4030,
,11/05/2016,7,Other,3980,4080,4030,
,12/05/2016,6,Other,4000,4090,4040,
,13/05/2016,7,Other,3950,4050,4000,
,16/05/2016,5,Other,3950,4050,4000,
