Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achnera,29/10/2016,315,Sarson(Black),NR,NR,4140,
Agra,01/10/2016,295,Sarson(Black),NR,NR,4200,
,03/10/2016,450,Sarson(Black),NR,NR,4240,
,04/10/2016,500,Sarson(Black),NR,NR,4200,
,05/10/2016,480,Sarson(Black),NR,NR,4220,
,06/10/2016,490,Sarson(Black),NR,NR,4200,
,07/10/2016,450,Sarson(Black),NR,NR,4200,
,12/10/2016,400,Sarson(Black),NR,NR,4200,
,13/10/2016,400,Sarson(Black),NR,NR,4200,
,14/10/2016,465,Sarson(Black),NR,NR,4180,
,15/10/2016,510,Sarson(Black),NR,NR,4150,
,17/10/2016,480,Sarson(Black),NR,NR,4100,
,18/10/2016,470,Sarson(Black),NR,NR,4110,
,19/10/2016,510,Sarson(Black),NR,NR,4100,
,20/10/2016,480,Sarson(Black),NR,NR,4130,
,21/10/2016,550,Sarson(Black),NR,NR,4120,
,22/10/2016,580,Sarson(Black),NR,NR,4080,
,24/10/2016,610,Sarson(Black),NR,NR,4060,
,25/10/2016,650,Sarson(Black),NR,NR,4050,
,26/10/2016,645,Sarson(Black),NR,NR,4120,
,27/10/2016,700,Sarson(Black),NR,NR,4140,
,28/10/2016,590,Sarson(Black),NR,NR,4130,
,29/10/2016,540,Sarson(Black),NR,NR,4120,
Ahirora,27/10/2016,1,Other,NR,NR,4250,
Aligarh,03/10/2016,60,Sarson(Black),4050,4150,4100,
,04/10/2016,70,Sarson(Black),4100,4200,4150,
,06/10/2016,60,Sarson(Black),4100,4200,4150,
,07/10/2016,70,Other,4050,4150,4100,
,08/10/2016,60,Sarson(Black),4000,4100,4050,
,10/10/2016,70,Sarson(Black),4050,4150,4100,
,11/10/2016,80,Sarson(Black),4000,4100,4050,
,12/10/2016,60,Sarson(Black),4050,4150,4100,
,13/10/2016,100,Sarson(Black),4000,4100,4050,
,14/10/2016,80,Sarson(Black),4050,4150,4100,
,15/10/2016,70,Sarson(Black),4000,4100,4050,
,17/10/2016,80,Sarson(Black),4050,4150,4100,
,18/10/2016,70,Sarson(Black),4050,4150,4100,
,19/10/2016,90,Sarson(Black),4000,4100,4050,
,20/10/2016,80,Sarson(Black),4050,4150,4100,
,21/10/2016,70,Sarson(Black),4000,4100,4050,
,22/10/2016,60,Sarson(Black),4050,4150,4100,
,24/10/2016,70,Sarson(Black),4100,4200,4150,
,25/10/2016,60,Sarson(Black),4050,4150,4100,
,26/10/2016,70,Sarson(Black),4100,4200,4150,
,27/10/2016,80,Sarson(Black),4050,4150,4100,
,28/10/2016,70,Sarson(Black),4100,4200,4150,
,29/10/2016,60, ,NR,NR,NR,
Allahabad,01/10/2016,10,Lohi Black,NR,NR,4370,
,03/10/2016,12.5,Lohi Black,NR,NR,4375,
,06/10/2016,15,Lohi Black,NR,NR,4365,
,08/10/2016,15,Lohi Black,NR,NR,4360,
,10/10/2016,15.5,Lohi Black,NR,NR,4360,
,12/10/2016,16.5,Lohi Black,NR,NR,4365,
,13/10/2016,17,Lohi Black,NR,NR,4365,
,14/10/2016,20,Lohi Black,NR,NR,4350,
,15/10/2016,18,Lohi Black,NR,NR,4350,
,17/10/2016,30,Lohi Black,NR,NR,4355,
,18/10/2016,27.5,Lohi Black,NR,NR,4355,
,19/10/2016,25,Lohi Black,NR,NR,4360,
,20/10/2016,30,Lohi Black,NR,NR,3780,
,21/10/2016,20,Lohi Black,NR,NR,4320,
,22/10/2016,10,Lohi Black,NR,NR,4300,
,24/10/2016,12,Lohi Black,NR,NR,4250,
,25/10/2016,13,Lohi Black,NR,NR,4250,
,26/10/2016,14,Lohi Black,NR,NR,4255,
,27/10/2016,16,Lohi Black,NR,NR,4255,
,28/10/2016,15,Lohi Black,NR,NR,4250,
,29/10/2016,14,Lohi Black,NR,NR,4250,
,31/10/2016,16,Lohi Black,NR,NR,4250,
Amroha,07/10/2016,8,Sarson(Black),NR,NR,4250,
,14/10/2016,9,Sarson(Black),NR,NR,4200,
