Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,01/09/2016,3,Lohi Black,4250,4280,4270,
,02/09/2016,2.5,Lohi Black,4260,4290,4280,
,03/09/2016,2,Lohi Black,4250,4300,4280,
,05/09/2016,2.8,Lohi Black,4240,4280,4250,
,06/09/2016,2.2,Lohi Black,4250,4280,4270,
,07/09/2016,1.8,Lohi Black,4260,4300,4280,
,08/09/2016,2.5,Lohi Black,4250,4290,4270,
,09/09/2016,2,Lohi Black,4280,4330,4300,
,10/09/2016,1.5,Lohi Black,4300,4350,4320,
,12/09/2016,2.5,Lohi Black,4280,4320,4300,
,13/09/2016,2,Lohi Black,4300,4330,4320,
,14/09/2016,1.8,Lohi Black,4300,4335,4325,
,15/09/2016,2.5,Lohi Black,4300,4335,4320,
,16/09/2016,2,Lohi Black,4320,4360,4350,
,17/09/2016,1.5,Lohi Black,4340,4360,4350,
,19/09/2016,2, ,NR,NR,NR,
,20/09/2016,1.8,Lohi Black,4330,4365,4350,
,22/09/2016,2.5,Lohi Black,4280,4320,4300,
,23/09/2016,2,Lohi Black,4270,4320,4300,
,24/09/2016,1.8,Lohi Black,4260,4320,4300,
,26/09/2016,2.5,Lohi Black,4270,4300,4280,
,28/09/2016,1.8,Lohi Black,4300,4330,4320,
,29/09/2016,2.5,Lohi Black,4280,4320,4300,
Achnera,01/09/2016,28,Sarson(Black),NR,NR,4200,
,04/09/2016,26,Sarson(Black),NR,NR,4280,
,05/09/2016,23,Sarson(Black),NR,NR,4290,
,06/09/2016,25,Sarson(Black),NR,NR,4300,
,07/09/2016,21,Sarson(Black),NR,NR,4300,
,08/09/2016,24,Sarson(Black),NR,NR,4280,
,09/09/2016,23,Sarson(Black),NR,NR,4250,
,12/09/2016,21,Sarson(Black),NR,NR,4200,
,13/09/2016,23,Sarson(Black),NR,NR,4240,
,14/09/2016,24,Sarson(Black),NR,NR,4220,
,16/09/2016,21,Sarson(Black),NR,NR,4100,
,17/09/2016,29,Sarson(Black),NR,NR,4280,
,18/09/2016,31,Sarson(Black),NR,NR,4280,
,19/09/2016,31,Sarson(Black),NR,NR,4250,
Agra,01/09/2016,490,Sarson(Black),NR,NR,4350,
,02/09/2016,500,Sarson(Black),NR,NR,4340,
,03/09/2016,480,Sarson(Black),NR,NR,4350,
,05/09/2016,450,Sarson(Black),NR,NR,4360,
,06/09/2016,500,Sarson(Black),NR,NR,4350,
,07/09/2016,480,Sarson(Black),NR,NR,4360,
,08/09/2016,460,Sarson(Black),NR,NR,4410,
,09/09/2016,450,Sarson(Black),NR,NR,4420,
,12/09/2016,465,Sarson(Black),NR,NR,4400,
,13/09/2016,460,Sarson(Black),NR,NR,4420,
,14/09/2016,420,Sarson(Black),NR,NR,4470,
,15/09/2016,400,Sarson(Black),NR,NR,4480,
,16/09/2016,460,Sarson(Black),NR,NR,4450,
,17/09/2016,440,Sarson(Black),NR,NR,4460,
,20/09/2016,460,Sarson(Black),NR,NR,4370,
,22/09/2016,500,Sarson(Black),NR,NR,4250,
,23/09/2016,520,Sarson(Black),NR,NR,4240,
,24/09/2016,500,Sarson(Black),NR,NR,4250,
,26/09/2016,480,Sarson(Black),NR,NR,4260,
,27/09/2016,500,Sarson(Black),NR,NR,4250,
,28/09/2016,520,Sarson(Black),NR,NR,4240,
,30/09/2016,508,Sarson(Black),NR,NR,4240,
Ahirora,27/09/2016,1,Other,NR,NR,4260,
Aligarh,01/09/2016,60,Sarson(Black),4150,4250,4200,
,03/09/2016,80,Sarson(Black),4150,4250,4200,
,05/09/2016,60,Other,4200,4300,4250,
,06/09/2016,70,Sarson(Black),4150,4250,4200,
,07/09/2016,60,Sarson(Black),4200,4300,4250,
,08/09/2016,50,Sarson(Black),4250,4350,4300,
