Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achnera,01/12/2017,1.2,Sarson(Black),3600,3800,3700,
,02/12/2017,1.3,Sarson(Black),3600,3800,3700,
,03/12/2017,1.2,Sarson(Black),3600,3800,3700,
,04/12/2017,1,Sarson(Black),3700,3800,3750,
,05/12/2017,1,Sarson(Black),3700,3820,3750,
,06/12/2017,0.8,Sarson(Black),3700,3800,3760,
,08/12/2017,1.1,Sarson(Black),3700,3820,3760,
,10/12/2017,14,Sarson(Black),3680,3800,3700,
,11/12/2017,10,Sarson(Black),3580,3650,3600,
,12/12/2017,16,Sarson(Black),3500,3600,3550,
,13/12/2017,1.1,Sarson(Black),3400,3600,3500,
,15/12/2017,12,Sarson(Black),3400,3500,3450,
,16/12/2017,13,Sarson(Black),3400,3500,3480,
,17/12/2017,14,Sarson(Black),3500,3600,3550,
,18/12/2017,14,Sarson(Black),3350,3450,3400,
,19/12/2017,14,Sarson(Black),3500,3600,3550,
,20/12/2017,13,Sarson(Black),3300,3400,3350,
,22/12/2017,14,Sarson(Black),3600,3800,3700,
,23/12/2017,11,Sarson(Black),3700,3780,3740,
,24/12/2017,10,Sarson(Black),3750,3950,3850,
,25/12/2017,10,Sarson(Black),3800,4000,3900,
,26/12/2017,9,Sarson(Black),3800,4000,3900,
,27/12/2017,10,Sarson(Black),3800,4000,3900,
,29/12/2017,11,Sarson(Black),3800,4000,3900,
,31/12/2017,12,Sarson(Black),3800,3900,3850,
Agra,02/12/2017,330,Sarson(Black),3200,3500,3350,
,04/12/2017,341,Sarson(Black),3250,3450,3320,
,05/12/2017,285,Sarson(Black),3250,3450,3380,
,06/12/2017,276,Sarson(Black),3200,3500,3350,
,07/12/2017,230,Sarson(Black),3200,3500,3360,
,08/12/2017,223,Sarson(Black),3300,3550,3420,
,09/12/2017,215,Sarson(Black),3300,3600,3450,
,11/12/2017,197,Sarson(Black),3350,3600,3480,
,12/12/2017,208,Sarson(Black),3300,3600,3460,
,13/12/2017,211,Sarson(Black),3300,3600,3450,
,14/12/2017,208,Sarson(Black),3400,3550,3480,
,15/12/2017,212,Sarson(Black),3400,3550,3450,
,16/12/2017,226,Sarson(Black),3380,3550,3440,
,18/12/2017,238,Sarson(Black),3300,3500,3400,
,19/12/2017,230,Sarson(Black),3400,3550,3480,
,20/12/2017,120,Sarson(Black),3450,3550,3510,
,21/12/2017,226,Sarson(Black),3400,3600,3500,
,22/12/2017,220,Sarson(Black),3400,3600,3520,
,23/12/2017,224,Sarson(Black),3400,3580,3470,
,25/12/2017,231,Sarson(Black),3300,3600,3450,
,26/12/2017,220,Sarson(Black),3350,3600,3480,
,27/12/2017,230,Sarson(Black),3400,3550,3475,
,28/12/2017,240,Sarson(Black),3300,3580,3460,
