Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,15/02/2017,29,Lohi Black,NR,NR,3640,
,28/02/2017,31,Lohi Black,NR,NR,3650,
Achnera,01/02/2017,22,Sarson(Black),NR,NR,3770,
,02/02/2017,24,Sarson(Black),NR,NR,3780,
,03/02/2017,23,Sarson(Black),NR,NR,3770,
,04/02/2017,20,Sarson(Black),NR,NR,3760,
,05/02/2017,22,Sarson(Black),NR,NR,3770,
,06/02/2017,22,Sarson(Black),NR,NR,3750,
,07/02/2017,22,Sarson(Black),NR,NR,3750,
,08/02/2017,23,Sarson(Black),NR,NR,3740,
,09/02/2017,19,Sarson(Black),NR,NR,3740,
,10/02/2017,19,Sarson(Black),NR,NR,3770,
,11/02/2017,22,Sarson(Black),NR,NR,3740,
,12/02/2017,16,Sarson(Black),NR,NR,3740,
,13/02/2017,13,Sarson(Black),NR,NR,3740,
,14/02/2017,21,Sarson(Black),NR,NR,3740,
,15/02/2017,23,Sarson(Black),NR,NR,3550,
,16/02/2017,23,Sarson(Black),NR,NR,3540,
,17/02/2017,21,Sarson(Black),NR,NR,3500,
,18/02/2017,220,Sarson(Black),NR,NR,3580,
,19/02/2017,23,Sarson(Black),NR,NR,3530,
,20/02/2017,24,Sarson(Black),NR,NR,3500,
,21/02/2017,28,Sarson(Black),NR,NR,3430,
,24/02/2017,320,Sarson(Black),NR,NR,3480,
,25/02/2017,23,Sarson(Black),NR,NR,3400,
,26/02/2017,24,Sarson(Black),NR,NR,3440,
,27/02/2017,18,Sarson(Black),NR,NR,3440,
,28/02/2017,23,Sarson(Black),NR,NR,3440,
Agra,01/02/2017,249,Sarson(Black),NR,NR,3940,
,02/02/2017,260,Sarson(Black),NR,NR,3800,
,04/02/2017,259,Sarson(Black),NR,NR,3820,
,06/02/2017,270,Sarson(Black),NR,NR,3750,
,07/02/2017,305,Sarson(Black),NR,NR,3740,
,08/02/2017,315,Sarson(Black),NR,NR,3750,
,09/02/2017,330,Sarson(Black),NR,NR,3700,
,13/02/2017,332,Sarson(Black),NR,NR,3650,
,14/02/2017,340,Sarson(Black),NR,NR,3600,
,15/02/2017,350,Sarson(Black),NR,NR,3580,
,16/02/2017,388,Sarson(Black),NR,NR,3500,
,17/02/2017,360,Sarson(Black),NR,NR,3520,
,18/02/2017,405,Sarson(Black),NR,NR,3500,
,20/02/2017,430,Sarson(Black),NR,NR,3150,
,21/02/2017,415,Sarson(Black),NR,NR,3250,
,22/02/2017,440,Sarson(Black),NR,NR,3200,
,23/02/2017,450,Sarson(Black),NR,NR,3250,
,25/02/2017,459,Sarson(Black),NR,NR,3250,
,27/02/2017,455,Sarson(Black),NR,NR,3200,
,28/02/2017,445,Sarson(Black),NR,NR,3250,
Ahirora,25/02/2017,1,Other,NR,NR,4165,
Akbarpur,01/02/2017,1.7,Lohi Black,4025,4075,4050,
,02/02/2017,2,Lohi Black,4015,4045,4030,
,03/02/2017,1.8,Lohi Black,4020,4060,4040,
,04/02/2017,2.2,Lohi Black,4000,4040,4020,
,05/02/2017,1.6,Lohi Black,4015,4045,4030,
,06/02/2017,1.5,Lohi Black,4000,4050,4025,
,10/02/2017,2.2,Lohi Black,4000,4030,4015,
,11/02/2017,1.5,Lohi Black,4015,4045,4025,
,12/02/2017,1.6,Lohi Black,4000,4020,4010,
,13/02/2017,2,Lohi Black,4000,4040,4020,
,15/02/2017,1.8,Lohi Black,4000,4050,4025,
,16/02/2017,1.5,Lohi Black,4000,4050,4025,
,17/02/2017,1.8,Lohi Black,4000,4030,4015,
,18/02/2017,2,Lohi Black,3980,4020,4000,
,19/02/2017,1.5,Lohi Black,3960,4000,3980,
,20/02/2017,1.8,Lohi Black,3950,4000,3975,
,22/02/2017,2,Lohi Black,3930,3970,3950,
,23/02/2017,1.6,Lohi Black,3925,3975,3950,
,24/02/2017,1.2,Lohi Black,3900,3950,3925,
,25/02/2017,1.5,Lohi Black,3880,3920,3900,
,26/02/2017,1.8,Lohi Black,3860,3900,3880,
Aligarh,01/02/2017,100,Sarson(Black),3800,3900,3850,
,02/02/2017,120,Sarson(Black),3750,3850,3800,
,03/02/2017,140,Sarson(Black),3700,3800,3750,
,04/02/2017,150,Sarson(Black),3750,3850,3800,
,06/02/2017,170,Sarson(Black),3750,3850,3800,
,07/02/2017,150,Sarson(Black),3700,3800,3750,
,08/02/2017,170,Sarson(Black),3700,3800,3750,
,09/02/2017,180,Sarson(Black),3650,3750,3700,
,10/02/2017,200,Sarson(Black),3550,3650,3600,
,13/02/2017,150,Sarson(Black),3450,3550,3500,
,14/02/2017,170,Sarson(Black),3450,3550,3500,
,15/02/2017,200,Sarson(Black),3400,3500,3450,
,16/02/2017,250,Sarson(Black),3300,3400,3350,
,17/02/2017,200,Sarson(Black),3350,3450,3400,
,18/02/2017,220,Sarson(Black),3300,3400,3350,
,20/02/2017,200,Sarson(Black),3250,3350,3300,
,21/02/2017,250,Sarson(Black),3200,3300,3250,
