Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Asansol,01/04/2016,50,Other,4000,4500,4200,
,02/04/2016,55,Other,4000,4500,4200,
,03/04/2016,55,Other,4000,4500,4200,
,04/04/2016,50,Other,4200,4600,4400,
,05/04/2016,50.5,Other,4200,4600,4400,
,06/04/2016,50,Other,4200,4600,4400,
,07/04/2016,55,Other,4200,4600,4400,
,08/04/2016,50,Other,4200,4600,4400,
,09/04/2016,50.5,Other,4200,4600,4400,
,10/04/2016,52,Other,1100,1300,1200,
,11/04/2016,50.5,Other,4200,4600,4400,
,12/04/2016,50, ,NR,NR,NR,
,13/04/2016,50.5, ,NR,NR,NR,
,14/04/2016,50,Other,4300,4700,4500,
,15/04/2016,55,Other,4300,4700,4500,
,16/04/2016,55,Other,4300,4700,4500,
,17/04/2016,50,Other,4300,4700,4500,
,18/04/2016,50,Other,4300,4700,4500,
,19/04/2016,52,Other,4300,4700,4500,
,20/04/2016,50,Other,4300,4700,4500,
,21/04/2016,52,Other,4300,4700,4500,
,22/04/2016,50,Other,4300,4700,4500,
,23/04/2016,55,Other,4300,4700,4500,
,24/04/2016,50,Other,4300,4700,4500,
,25/04/2016,52,Other,4300,4700,4500,
,26/04/2016,50,Other,4300,4700,4500,
,27/04/2016,52,Other,4300,4700,4500,
,28/04/2016,50,Other,4300,4700,4500,
,29/04/2016,55,Other,4300,4700,4500,
,30/04/2016,50,Other,4300,4700,4500,
Balarampur,01/04/2016,0.31,Mustard,4400,4600,4500,
,02/04/2016,0.22,Mustard,4400,4600,4500,
,05/04/2016,0.35,Mustard,4600,4800,4700,
,06/04/2016,0.36,Mustard,4600,4800,4700,
,07/04/2016,0.35,Mustard,4600,4800,4700,
,08/04/2016,0.36,Other,4600,4800,4700,
,09/04/2016,0.35,Other,4600,4800,4700,
,11/04/2016,0.34,Other,4600,4800,4700,
,12/04/2016,0.36,Other,4600,4800,4700,
,13/04/2016,0.32,Other,4600,4800,4700,
,14/04/2016,0.34,Mustard,4600,4800,4700,
,15/04/2016,0.36,Mustard,4600,4800,4700,
,16/04/2016,0.4,Mustard,4600,4800,4700,
,18/04/2016,0.38,Mustard,4700,5000,4800,
,19/04/2016,0.42,Mustard,4700,5000,4800,
,20/04/2016,0.4,Mustard,4700,5000,4800,
,21/04/2016,0.38,Mustard,4700,5000,4800,
,22/04/2016,0.42,Mustard,4700,5000,4800,
,23/04/2016,0.43,Mustard,4800,5000,4900,
,24/04/2016,0.42,Mustard,4800,5000,4900,
,25/04/2016,0.45,Mustard,4800,5000,4900,
